CRISIS,CRISIS ID,COUNTRY,Iso3,Total sq.km.,Total population,Ethnic Fractionalisation Index,Empowerment Rights Index,size of excluded ethnic groups,BTI - Democracy Status,Gender Inequality Index,Income Gini coefficient,Conflict Intensity (HIIK),People killed in all crises,Rule of Law (WGI),Rule of Law (BTI),Freedom in the World Index,CPI
,,,,Index,Index,%,Index,Index,Index,Index,Number,Index,Index,Index,Index,Number,sq. Km
Regional Boko Haram Crisis,REG001,"Nigeria, Niger, Chad, Cameroon","NGA, NER, TCD, CMR",3909380,267437000,0.8092625009060836,6.25,0.075,4.508333333333334,0.6381952533561487,41.79999923706052,3.5,4189,-0.9582950472831726,3.9375,32.5,25.75
Venezuela Regional Crisis,REG002,"Venezuela, Uruguay, Ecuador, Argentina, Chile, Brazil, Guyana, Trinidad and Tobago, Colombia, Peru, Bolivia, Dominican Republic, Costa Rica, Panama, Mexico","VEN, URY, ECU, ARG, CHL, BRA, GUY, TTO, COL, PER, BOL, DOM, CRI, PAN, MEX",11883180,338382000,0.4789911613484022,9.833333333333334,0.26605,6.563888888888889,0.391213940683714,47.88000106811522,3,x,-0.6837853354712328,5.916666666666667,62.666666666666664,33.666666666666664
Kashmir Regional conflict,REG003,"India, Pakistan","IND, PAK",3744070,1561970000,0.7580873794248184,5,0.0835,5.5,0.5241090421529013,35.649999618530245,3.5,134,-0.34916854836046696,5.125,54.5,36.5
Rohingya Regional Crisis,REG011,"Bangladesh, Myanmar","BGD, MMR",783250,194566000,0.3555800120291112,3.5,0.21250000000000002,3.858333333333333,0.49717238361116234,31.5500011444092,3.5,126,-0.8495461046695709,3.125,34.5,27.5
Western Mediterranean Route,REG008,"Algeria, Morocco, Spain","DZA, MAR, ESP",3328251,125787000,0.4669926491665737,6.333333333333333,0.324,4.191666666666666,0.3364960775143729,33.93333371480307,3,173,0.00931309163570404,3.75,54.333333333333336,46
Central Mediterranean Route,REG007,"Algeria, Tunisia, Libya, Italy","DZA, TUN, LBY, ITA",4590781,121936000,0.21078298663015724,5.75,0.068875,4.566666666666666,0.24606424357680326,32.1000003814697,2.75,604,-0.5802770275622606,4.166666666666667,50.5,37.25
Syrian Regional Crisis,REG004,"Syria, Turkey, Iraq, Egypt, Jordan, Lebanon","SYR, TUR, IRQ, EGY, JOR, LBN",2482040,258289000,0.5096342366105452,3.5,0.32666666666666666,3.9666666666666663,0.44548120719046125,33.68000030517578,4.166666666666667,3043,-0.8694431111216545,3.4583333333333335,27.5,30.5
Eatern Mediterranean Route,REG006,"Turkey, Greece","TUR, GRC",898530,91602000,0.2414492392951832,8,0.18350000000000002,4.916666666666666,0.2136633258877612,38.1500015258789,4,26,-0.04206264764070511,3.5,60,43.5
Southern Africa Regional Food Security Crisis,REG012,"Lesotho,Madagascar,Malawi,Mozambique,Namibia,Eswatini,Zambia,Zimbabwe","LSO, MDG, MWI, MOZ, NAM, SWZ, ZMB, ZWE",3463550,113413000,0.4829631226000003,7.25,0.0445,5.3604166666666675,0.5477177356540556,50.16249942779541,1.25,689,-0.5814623609185219,4.3125,51.25,33.125
Conflict in Nagorno-Karabakh,REG013,"Armenia, Azerbaijan","ARM, AZE",111133,13025000,0.09712560672010451,5,0.0365,5.266666666666667,0.2897298506676131,34.4000015258789,3,138,-0.3542730435729027,4.5,31.5,36
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
