,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,0.9,2,0.8,0,1.8,58.9,0,Very High
ARM002,1,2.3,0.8,0,1.9,58.4,0,Very High
AZE002,2.5,x,1.7,3.3,x,125.5,2,Medium
BDI001,1.2,2.3,1.3,0,1.9,94.4,0,High
BFA002,1.6,2.3,2.4,0,1.9,176,0,High
BGD002,0.9,2,0.8,0,1.8,61,0,Very High
BRA002,2,3.5,2.6,0,2.4,189.4,0,High
CAF001,1.9,3.8,1.9,0,2.5,137.6,0,High
CMR001,1.2,2,1.5,0,1.8,111.6,0,High
CMR002,1.1,1.8,1.4,0,1.7,104.1,0,High
CMR003,1.2,2.3,1.3,0,1.9,92.8,0,High
CMR004,1.9,2.3,1.8,1.7,1.9,133.4,1,High
COD001,1.6,2.8,1.9,0,2.1,140.4,0,High
COG001,2.6,3.3,1.1,3.3,2.3,83,2,Medium
COL001,1.9,2.3,3.5,0,1.9,258.7,0,High
COL002,2.4,2.3,3.2,1.7,1.9,237.3,1,Medium
COL003,2,3,1.3,1.7,2.2,97.4,1,High
CRI002,2,3,3,0,2.2,217.3,0,High
DJI001,2.5,3.8,1.9,1.7,2.5,139.8,1,Medium
DJI002,2.2,3.8,2.9,0,2.5,211.6,0,Medium
DJI003,2.4,2.5,3.1,1.7,2,226.1,1,Medium
DZA002,5,x,4.9,5,x,357.3,3,Very Low
DZA003,2.9,3.8,5,0,2.5,444.2,0,Medium
DZA004,4.2,x,3.4,5,x,249.9,3,Very Low
ECU002,2,3.8,2.2,0,2.5,159.8,0,High
EGY002,1.7,3.8,1.3,0,2.5,93.5,0,High
ERI001,2.1,4,2.3,0,2.6,169.2,0,Medium
ESP002,2.1,3.5,2.8,0,2.4,204.8,0,Medium
ETH001,1.3,2.5,1.3,0,2,95.3,0,High
ETH002,1.6,1.5,3.2,0,1.6,235.7,0,High
ETH003,2.4,2.3,3.2,1.7,1.9,231.7,1,Medium
ETH004,1.5,3.5,1.1,0,2.4,77.8,0,High
FJI002,1.4,3.3,0.8,0,2.3,61,0,High
GRC002,1.3,2.3,1.6,0,1.9,116.6,0,High
GTM001,1.5,1.8,2.7,0,1.7,199.7,0,High
GTM003,1.2,2.3,1.2,0,1.9,85.6,0,High
HND001,1.6,1.8,3.1,0,1.7,229.6,0,High
HND002,1.2,2.5,1.2,0,2,91.5,0,High
HTI001,1.3,2,1.8,0,1.8,131.7,0,High
IDN002,4.2,x,5,3.3,x,373.1,2,Very Low
IDN006,1,2.3,0.8,0,1.9,62.6,0,Very High
IDN007,1.5,3.8,0.8,0,2.5,57.4,0,High
IND002,3.1,2.8,1.4,5,2.1,106.3,3,Low
IRN004,1.7,4.3,0.8,0,2.7,61.5,0,High
IRQ001,1,2.3,0.7,0,1.9,54.3,0,Very High
IRQ002,0.7,1.3,0.8,0,1.5,56.7,0,Very High
IRQ003,1.3,2.5,1.4,0,2,104.5,0,High
ITA002,3.5,2.3,5,3.3,1.9,721,2,Low
JOR002,1.4,2.8,1.3,0,2.1,92.9,0,High
KEN002,2.7,2,4.5,1.7,1.8,329.9,1,Medium
LBN002,1.1,2.5,0.8,0,2,59.8,0,High
LBN004,1.5,2,0.7,1.7,1.8,51.3,1,High
LBY001,1,1.8,1.1,0,1.7,79.7,0,Very High
LBY002,1,2,0.9,0,1.8,64.7,0,Very High
LSO002,2,2.3,3.8,0,1.9,279.2,0,High
MAR002,5,x,5,5,x,392.7,3,Very Low
MDG002,1.9,2,2,1.7,1.8,145.2,1,High
MEX001,4.2,x,5,3.3,x,421.4,2,Very Low
MEX002,4.2,x,5,3.3,x,441.5,2,Very Low
MEX003,3.4,x,5,1.7,x,438.9,1,Low
MLI001,1.1,2,1.4,0,1.8,105.6,0,High
MMR001,1.1,2.5,0.7,0,2,55.1,0,High
MMR002,1.1,2.5,0.7,0,2,55.1,0,High
MMR003,1.1,2.5,0.8,0,2,56.3,0,High
MOZ001,1.5,3,1.4,0,2.2,102.5,0,High
MOZ004,1.7,3.8,1.2,0,2.5,90.5,0,High
MOZ006,2.3,2.5,2.6,1.7,2,187.2,1,Medium
MOZ007,1.3,3.5,0.5,0,2.4,37.8,0,High
MRT002,2.7,2.3,2.6,3.3,1.9,187.8,2,Medium
MRT003,2.9,2.3,1.4,5,1.9,106.3,4,Medium
MWI002,2,2,2.3,1.7,1.8,171.1,1,High
MYS001,0.8,2.5,0,0,2,3.2,0,Very High
NAM002,3.3,2,2.8,5,1.8,202.5,3,Low
NER001,1.2,2,1.7,0,1.8,127.5,0,High
NER002,1.7,3.3,1.7,0,2.3,127.5,0,High
NER003,1.7,3.5,1.7,0,2.4,127.5,0,High
NER004,1.7,3.8,1.3,0,2.5,96.8,0,High
NGA001,1.7,3.8,1.3,0,2.5,97.6,0,High
NGA003,1.5,3.3,1.1,0,2.3,80.3,0,High
NGA004,2.1,3.5,1.1,1.7,2.4,80.4,1,Medium
NGA007,1.4,3.3,0.9,0,2.3,63.6,0,High
NGA008,1.9,2,2.1,1.7,1.8,152,1,High
NIC001,3.4,x,5,1.7,x,549.4,1,Low
NIC002,1.2,2.3,1.4,0,1.9,103.3,0,High
PAK001,1.9,2.3,3.4,0,1.9,251.2,0,High
PAK004,3.4,3.5,5,1.7,2.4,562.4,1,Low
PER002,2.9,3.8,5,0,2.5,368.6,0,Medium
PHL001,1.1,2.3,0.9,0,1.9,65.8,0,High
PHL003,1.1,2.3,1.1,0,1.9,81.3,0,High
PHL004,1.6,2,2.9,0,1.8,215.1,0,High
PHL009,1,2.3,0.6,0,1.9,44.5,0,Very High
PRK001,2.7,2.5,3.8,1.7,2,277.1,1,Medium
PSE002,0.8,1,1.5,0,1.4,113.4,0,Very High
REG001,1.1,2,1.2,0,1.8,86.5,0,High
REG002,3.2,3.3,2.9,3.3,2.3,213.9,2,Low
REG003,4.2,x,5,3.3,x,483.3,2,Very Low
REG004,1.8,4,1.3,0,2.6,93.2,0,High
REG006,5,x,5,5,x,568.9,6,Very Low
REG007,5,x,5,5,x,576.1,5,Very Low
REG008,5,x,5,5,x,576.1,5,Very Low
REG011,0.9,2.3,0.3,0,1.9,25.7,0,Very High
REG012,0.9,2,0.8,0,1.8,57.7,0,Very High
REG013,2.5,x,1.7,3.3,x,128.1,2,Medium
RWA002,2.4,2,2,3.3,1.8,147.9,2,Medium
SDN001,1,1.8,1.1,0,1.7,81.2,0,Very High
SDN005,1.8,2,1.6,1.7,1.8,119.6,1,High
SDN006,2.6,3.8,2.3,1.7,2.5,165.8,1,Medium
SDN007,1.9,3.3,0.7,1.7,2.3,53.5,1,High
SEN002,2.3,1.8,3.5,1.7,1.7,255.6,1,Medium
SLV001,1.6,2,2.9,0,1.8,213.2,0,High
SOM001,1.1,2,1.3,0,1.8,96.8,0,High
SOM002,3,2.3,5,1.7,1.9,409.5,1,Medium
SOM004,2.1,2.3,3.9,0,1.9,284,0,Medium
SSD001,1.4,1.8,2.3,0,1.7,171.8,0,High
SWZ001,2.9,2,1.8,5,1.8,131.1,3,Medium
SYR001,0.9,1,1.6,0,1.4,114.2,0,Very High
TCD001,1.5,3.5,1.1,0,2.4,80.2,0,High
TCD003,2.1,4,2.4,0,2.6,175,0,Medium
TCD004,2.4,2.3,5,0,1.9,391.2,0,Medium
TCD005,2.3,2.5,4.3,0,2,314.2,0,Medium
TCD006,2.6,3.8,4.1,0,2.5,301.9,0,Medium
THA001,1.4,2.3,1.9,0,1.9,136.8,0,High
THA002,4.2,x,5,3.3,x,398.4,2,Very Low
THA003,2,2.3,1.9,1.7,1.9,139.4,1,High
TTO002,2.8,3.3,5,0,2.3,405,0,Medium
TUN002,3.7,2.8,5,3.3,2.1,548.9,2,Low
TUR001,1.6,3.5,1.2,0,2.4,91.6,0,High
TUR002,1.9,3.5,2.3,0,2.4,168.9,0,High
TUR003,1.6,3.5,1.2,0,2.4,91.6,0,High
TUR004,2.5,2.5,5,0,2,632.7,0,Medium
TZA002,1.6,2,2.7,0,1.8,195.9,0,High
UGA001,1.6,2.3,2.6,0,1.9,186.9,0,High
UGA005,2.4,2.3,3.3,1.7,1.9,238.8,1,Medium
UKR002,1,1.8,1.3,0,1.7,94.9,0,Very High
VEN001,2.1,3.3,3,0,2.3,217.9,0,Medium
VNM002,1.5,3.5,1,0,2.4,70.5,0,High
VUT002,2.2,2,4.6,0,1.8,333.8,0,Medium
YEM001,2.2,2,4.6,0,1.8,335.5,0,Medium
YEM002,2.4,2.3,5,0,1.9,462.1,0,Medium
ZMB002,2.9,2.3,3.1,3.3,1.9,225.7,2,Medium
ZWE001,1.1,2,1.4,0,1.8,104.8,0,High
0,0.9,-2.3,5,0,0.1,44286,0,Very High
0,0.9,-2.3,5,0,0.1,44286,0,Very High
0,0.9,-2.3,5,0,0.1,44286,0,Very High
0,0.9,-2.3,5,0,0.1,44286,0,Very High
0,0.9,-2.3,5,0,0.1,44286,0,Very High
0,0.9,-2.3,5,0,0.1,44286,0,Very High
0,0.9,-2.3,5,0,0.1,44286,0,Very High
0,0.9,-2.3,5,0,0.1,44286,0,Very High
0,-0.8,-2.3,0,0,0.1,0,0,Very Low
0,-0.8,-2.3,0,0,0.1,3.2,0,Very Low
0,0.9,-2.3,5,0,0.1,721,0,Very High
0,-0.8,-2.3,0,0,0.1,0,0,Very Low
