,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
AFG001,791,63,63,16,8,63,63,63,63,63,63,124,124,124,124,124,124,124,124,124,58.9
ARM002,126,20,20,20,126,20,63,20,63,63,63,126,126,126,126,126,126,126,126,126,58.4
AZE002,147,104,104,17,126,147,147,147,147,147,147,126,126,126,126,126,126,126,126,126,125.5
BDI001,176,7,7,7,7,7,7,7,7,7,763,125,125,125,125,125,125,125,125,125,94.4
BFA002,285,8,8,8,8,167,167,167,167,167,775,126,126,126,126,126,126,126,126,126,176
BGD002,63,16,16,16,8,16,16,16,16,16,366,124,124,124,124,124,124,124,124,124,61
BRA002,488,61,61,61,176,61,61,61,61,61,775,516,516,516,516,516,516,516,516,516,189.4
CAF001,778,99,99,5,5,155,155,155,155,155,366,126,126,126,126,126,126,126,126,126,137.6
CMR001,589,34,34,5,5,34,34,34,34,34,777,125,125,125,125,125,125,125,125,125,111.6
CMR002,589,34,34,5,5,34,34,34,34,34,702,125,125,125,125,125,125,125,125,125,104.1
CMR003,777,34,34,5,5,34,34,34,34,34,589,125,125,125,125,125,125,125,125,125,92.8
CMR004,777,61,61,5,61,61,61,61,61,61,777,125,125,125,125,125,125,125,125,125,133.4
COD001,177,5,82,5,5,82,82,82,82,82,777,125,125,125,125,125,125,125,125,125,140.4
COG001,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
COL001,175,103,336,62,62,167,167,167,167,167,776,516,516,516,516,516,516,516,516,516,258.7
COL002,62,62,62,62,419,62,176,62,62,176,776,516,516,516,516,516,516,516,516,516,237.3
COL003,62,62,62,121,121,62,62,62,121,121,121,121,121,121,121,121,121,121,121,121,97.4
CRI002,419,176,62,62,274,62,62,62,176,176,720,517,517,517,517,517,517,517,517,517,217.3
DJI001,175,48,48,470,48,48,48,48,48,48,470,122,122,122,122,122,122,122,122,122,139.8
DJI002,175,48,48,488,48,48,48,48,48,48,776,516,516,516,516,516,516,516,516,516,211.6
DJI003,175,48,48,735,48,48,48,48,48,48,674,516,516,516,516,516,516,516,516,516,226.1
DZA002,488,419,294,294,127,488,488,488,488,488,294,124,124,124,124,124,124,124,124,124,357.3
DZA003,419,775,488,488,127,488,488,488,488,488,775,124,124,124,124,124,124,124,124,124,444.2
DZA004,281,281,281,281,127,281,281,281,281,281,281,124,124,124,124,124,124,124,124,124,249.9
ECU002,419,61,61,61,274,61,61,61,61,61,776,121,121,121,121,121,121,121,121,121,159.8
EGY002,336,1,1,1,27,1,1,1,1,1,779,122,122,122,122,122,122,122,122,122,93.5
ERI001,175,496,61,61,61,122,122,122,122,122,777,122,122,122,122,122,122,122,122,122,169.2
ESP002,62,62,62,62,62,62,62,62,62,62,776,776,776,776,776,776,776,776,776,776,204.8
ETH001,175,7,7,7,7,7,7,7,7,7,775,122,122,122,122,122,122,122,122,122,95.3
ETH002,299,163,175,175,299,222,222,222,222,222,299,299,298,299,298,299,298,299,299,299,235.7
