,,,,,,,,,,,,,,,,,,,,,
CRISIS,Website name,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical Impact,Human Impact,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,0.3,,,,
(a-z),,,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Complex crisis in Afghanistan,Complex crisis,AFG001,Afghanistan,AFG,Complex crisis,4.6,5,Very High,Stable,High,5,4.9,5,4.5,5,4,4.3,4,4.5,Asia,2021-04-28
Nagorno-Karabakh Conflict in Armenia,Nagorno-Karabakh Conflict in Armenia,ARM002,Armenia,ARM,Conflict,1.7,2,Low,Stable,High,2.3,3.5,1.6,1.2,1.4,1,1.8,2,1.5,Middle east,2021-04-26
Nagorno-Karabakh conflict in Azerbaijan,Nagorno-Karabakh conflict in Azerbaijan,AZE002,Azerbaijan,AZE,Conflict,x,x,x,-,Medium,3.1,2.5,3.4,x,x,x,3,2.9,3,Middle east,2021-03-14
Complex in Burundi,Complex crisis ,BDI001,Burundi,BDI,Complex crisis,3.8,4,High,Increasing,High,3.9,4,3.8,4,4,4,3.3,3.1,3.5,Africa,2021-03-24
Conflict in Burkina Faso,Conflict,BFA002,Burkina Faso,BFA,Conflict,3.9,4,High,Stable,High,3.8,2.9,4.1,4.45,3.9,5,3.1,2.7,3.5,Africa,2021-03-23
Rohingya refugee crisis,Rohingya Refugees,BGD002,Bangladesh,BGD,International displacement,3.2,4,High,Stable,Very High,2.7,0.1,3.6,3.6,3.2,4,3,2.5,3.5,Asia,2021-05-18
Venezuela displacement in Brazil,Venezuelan refugees,BRA002,Brazil,BRA,International displacement,2.4,3,Medium,Stable,Medium,2.3,1.2,2.8,2.9,2.8,3,1.6,2.2,1,Americas,2021-01-29
Complex crisis in CAR,Complex crisis,CAF001,CAR,CAF,Complex crisis,4.1,5,Very High,Increasing,Medium,4.3,4.3,4.3,4.05,4.1,4,3.9,3.8,4,Africa,2021-03-26
Multiple crises in Cameroon,Country level,CMR001,Cameroon,CMR,Multiple crises country,4.1,5,Very High,Increasing,Very High,4.1,4.7,3.7,4.15,4.3,4,4.1,3.5,4.5,Africa,2021-05-31
Boko Haram in Cameroon,Boko Haram,CMR002,Cameroon,CMR,Conflict,3.2,4,High,Stable,High,3.1,1.5,3.7,3,3,3,3.5,3.5,3.5,Africa,2021-03-26
Anglophone Crisis in Cameroon,Anglophone crisis,CMR003,Cameroon,CMR,Conflict,3.4,4,High,Stable,High,3.2,1.7,3.8,3.15,3.3,3,3.8,3.5,4,Africa,2021-03-26
CAR refugees in Cameroon,CAR refugees,CMR004,Cameroon,CMR,International displacement,2.8,3,Medium,Increasing,Medium,2.8,1.7,3.2,2.75,2.5,3,3,3.5,2.5,Africa,2021-03-26
Complex crisis in DRC,Complex crisis,COD001,DRC,COD,Complex crisis,4.5,5,Very High,Stable,High,4.5,5,4.1,4.5,5,4,4.4,4.3,4.5,Africa,2021-03-26
Complex crisis in Congo,Complex crisis,COG001,Congo,COG,Complex crisis,3.2,4,High,Stable,Medium,3.6,4.2,3.3,3.25,3.5,3,2.7,2.8,2.5,Africa,2021-01-07
Complex crisis in Colombia,Complex crisis,COL001,Colombia,COL,Complex crisis,3.7,4,High,Decreasing,High,4.2,5,3.6,3.65,4.3,3,3.5,2.9,4,Americas,2021-05-19
Venezuela displacement in Colombia,Venezuelan refugees ,COL002,Colombia,COL,International displacement,3.4,4,High,Stable,Medium,3.6,2.7,4,3.65,4.3,3,3,2.9,3,Americas,2021-01-28
Nicaraguan refugees in Costa Rica,Nicaraguan refugees,CRI002,Costa Rica,CRI,International displacement,1.1,2,Low,Stable,Medium,1.3,1,1.5,1.05,1.1,1,1,0.9,1,Americas,2021-01-28
Multiple crises in Djibouti,Country level,DJI001,Djibouti,DJI,Multiple crises country,2.7,3,Medium,Decreasing,Medium,2.2,3.1,1.6,2.65,2.3,3,3.2,2.8,3.5,Africa,2021-02-11
Mixed migration in Djibouti,Mixed Migration,DJI002,Djibouti,DJI,International displacement,1.7,2,Low,Stable,Medium,2.6,3.1,2.3,0.9,0.8,1,2.2,2.8,1.5,Africa,2021-02-11
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,Drought,2.7,3,Medium,Decreasing,Medium,2.7,3.1,2.5,2.55,2.1,3,2.9,2.8,3,Africa,2021-02-11
Mixed migration flows in Algeria,Mixed Migration,DZA002,Algeria,DZA,International displacement,x,x,x,-,Very Low,4.4,5,4,x,x,x,2.5,3,2,Africa,2020-11-27
Sahrawi refugees in Algeria,Sahrawi refugees,DZA003,Algeria,DZA,International displacement,2.3,3,Medium,Stable,Medium,2.2,1.1,2.6,2.3,1.6,3,2.3,3,1.5,Africa,2020-11-27
Multiple crises in Algeria,Country level,DZA004,Algeria,DZA,Multiple crises country,x,x,x,-,Very Low,4.4,5,4,x,x,x,2.5,3,2,Africa,2020-11-27
Venezuela displacement in Ecuador,Venezuelan refugees ,ECU002,Ecuador,ECU,International displacement,2.3,3,Medium,Stable,Medium,1.9,1.4,2.2,2.85,2.7,3,1.8,2.1,1.5,Americas,2021-01-29
Syrian Refugee Crisis in Egypt,Refugee crisis,EGY002,Egypt,EGY,International displacement,2.4,3,Medium,Decreasing,High,2.3,2.4,2.3,2.4,2.8,2,2.6,3.2,2,Africa,2021-04-29
Complex crisis in Eritrea,Complex crisis,ERI001,Eritrea,ERI,Complex crisis,3.7,4,High,Stable,Medium,3.4,3.8,3.1,3.5,4,3,4.1,2.6,5,Africa,2021-01-29
Mixed migration flows in spain,Mixed Migration,ESP002,Spain,ESP,International displacement,1.5,2,Low,Stable,Medium,2.4,2.2,2.5,1,1,1,1.5,2,1,Europe,2021-01-28
Complex crisis in Ethiopia,Complex crisis,ETH001,Ethiopia,ETH,Complex crisis,4.5,5,Very High,Increasing,High,4.6,5,4.3,5,5,5,3.7,3.4,4,Africa,2021-03-24
Flood Crisis in Ethiopia,Floods,ETH002,Ethiopia,ETH,Flood,2.4,3,Medium,Stable,High,3,4.1,2.3,1.85,2.7,1,2.8,3.4,2,Africa,2020-11-30
International Displacement,International Displacement,ETH003,Ethiopia,ETH,International displacement,2.9,3,Medium,Increasing,Medium,3.8,4.5,3.3,2.05,3.1,1,3.2,3.4,3,Africa,2020-11-30
Crisis in Tigray,Crisis in Tigray,ETH004,Ethiopia,ETH,Conflict,3.6,4,High,Decreasing,High,3.1,1.4,3.7,3.75,4.5,3,3.7,3.4,4,Africa,2021-02-22
Mixed migration flows in Greece,Mixed Migration,GRC002,Greece,GRC,International displacement,1.5,2,Low,Decreasing,High,2,0.3,2.7,1.2,0.4,2,1.7,1.8,1.5,Europe,2021-04-28
Complex crisis in Guatemala,Complex crisis,GTM001,Guatemala,GTM,Complex crisis,3.4,4,High,Stable,High,3.7,4.3,3.4,3.6,4.2,3,2.9,3.3,2.5,Americas,2021-01-28
Hurricane Eta and Iota in Guatemala,Hurricane Eta and Iota,GTM003,Guatemala,GTM,Tropical cyclone,3.1,4,High,Increasing,High,2.9,3.6,2.4,3.4,3.8,3,2.7,3.3,2,Americas,2021-01-28
