,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,1.4,2.5,1.6,0,2,118,0,High
ARM002,1.7,2,3.2,0,1.8,231,0,High
AZE002,4.1,x,4.8,3.3,x,350.6,2,Very Low
BDI001,2.2,2.3,4.4,0,1.9,318.9,0,Medium
BFA002,1.1,0.5,2.9,0,1.2,213.4,0,High
BGD002,1.5,0.8,2.1,1.7,1.3,151.7,1,High
BRA002,2.3,3.3,3.5,0,2.3,254.6,0,Medium
CAF001,2.6,3.5,4.4,0,2.4,324.9,0,Medium
CMR001,1.2,0.5,3.2,0,1.2,231.5,0,High
CMR002,0.8,0.3,2.1,0,1.1,150.4,0,Very High
CMR003,2.2,2.3,4.4,0,1.9,317.9,0,Medium
CMR004,3,2.3,4.9,1.7,1.9,358.5,1,Medium
COD001,2.2,2.3,4.3,0,1.9,317.5,0,Medium
COG001,3.6,3.3,4.3,3.3,2.3,311.7,2,Low
COL001,1.4,2,2.3,0,1.8,171.7,0,High
COL002,2.4,2.3,3.2,1.7,1.9,236.9,1,Medium
CRI002,2.8,3.3,5,0,2.3,403.1,0,Medium
DJI001,0.9,2.3,0.5,0,1.9,39.1,0,Very High
DJI002,0.9,2.3,0.5,0,1.9,38.8,0,Very High
DJI003,1.7,2.3,1.1,1.7,1.9,81.1,1,High
DZA002,5,x,5,5,x,556.6,3,Very Low
DZA003,2.9,3.8,5,0,2.5,643.5,0,Medium
DZA004,5,x,5,5,x,474.4,3,Very Low
ECU002,2.9,3.8,5,0,2.5,385.5,0,Medium
EGY002,2.3,3.8,3.1,0,2.5,230.2,0,Medium
ERI001,2.9,3.8,5,0,2.5,394.6,0,Medium
ESP002,1.9,2.3,3.3,0,1.9,243.6,0,High
ETH001,1.4,2.3,1.9,0,1.9,137.1,0,High
ETH002,1.2,2.3,1.3,0,1.9,93.7,0,High
ETH003,1,2.3,0.8,0,1.9,56.7,0,Very High
ETH004,1.2,3.3,0.4,0,2.3,31.4,0,High
GRC002,1.4,2.5,1.7,0,2,126.8,0,High
GTM001,0.8,2,0.4,0,1.8,30.6,0,Very High
HND001,0.8,2,0.4,0,1.8,29.4,0,Very High
HTI001,1.6,3.3,1.4,0,2.3,104.4,0,High
HTI002,1.7,3.8,1.4,0,2.5,101.5,0,High
IDN002,3.4,x,5,1.7,x,523.5,1,Low
IND002,3.9,2.3,4.4,5,1.9,324,3,Low
IRN004,1.9,4.3,1.5,0,2.7,109.9,0,High
IRQ001,1.3,2.3,1.5,0,1.9,112.6,0,High
IRQ002,1.5,1.3,3.2,0,1.5,234,0,High
IRQ003,1.6,2.5,2.2,0,2,162.8,0,High
ITA002,1.9,2.3,3.3,0,1.9,243.3,0,High
JOR002,1.4,2.8,1.5,0,2.1,111.9,0,High
KEN001,1.1,2.8,0.5,0,2.1,37.1,0,High
KEN002,1.9,2.8,1.1,1.7,2.1,84,1,High
KEN003,2.2,2.8,0.5,3.3,2.1,37.1,2,Medium
LBN002,2,3.5,2.4,0,2.4,179.1,0,High
LBN004,2.5,3.5,2.3,1.7,2.4,167.1,1,Medium
LBY001,1.9,1.8,3.8,0,1.7,279.3,0,High
LBY002,1.4,1.8,2.3,0,1.7,170.5,0,High
LSO002,0.5,0.5,1,0,1.2,73.3,0,Very High
MAR002,5,x,5,5,x,604.8,3,Very Low
MDG002,0.4,0.8,0.5,0,1.3,40.9,0,Very High
MEX001,1.7,4,1,0,2.6,73.6,0,High
MEX002,2.7,4,2.3,1.7,2.6,164.8,1,Medium
MEX003,1.7,4,1,0,2.6,73.6,0,High
MLI001,2,2,3.9,0,1.8,281.7,0,High
MMR001,1.5,2.3,2.1,0,1.9,155.5,0,High
MMR002,1.9,2.3,3.5,0,1.9,255.5,0,High
MMR003,1.9,2.3,3.5,0,1.9,255.4,0,High
MMR004,1.5,2.8,1.8,0,2.1,129.5,0,High
MOZ004,1.3,2.3,1.5,0,1.9,107.4,0,High
MRT002,1.7,2.3,2.8,0,1.9,208.2,0,High
MRT003,2.8,2.3,2.8,3.3,1.9,205.4,2,Medium
MWI002,0.8,0.8,1.6,0,1.3,114.9,0,Very High
MYS001,1.4,2.3,2,0,1.9,144.9,0,High
NAM002,1.7,2,1.4,1.7,1.8,104.1,1,High
NER001,2,1.8,4.2,0,1.7,304.2,0,High
NER002,2.4,3,4.3,0,2.2,315,0,Medium
NER003,2.5,3.3,4.3,0,2.3,315,0,Medium
NER004,2.4,3.3,3.9,0,2.3,284.3,0,Medium
NGA001,1.8,4,1.5,0,2.6,108.6,0,High
NGA003,1.8,3.8,1.5,0,2.5,108.7,0,High
NGA004,2.4,3,2.4,1.7,2.2,173.6,1,Medium
NGA007,1.7,3.8,1.3,0,2.5,92,0,High
