,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
AFG001,1035,307,307,8,8,76,76,76,76,76,307,170,170,170,170,170,170,170,170,170,118
ARM002,370,218,218,218,117,218,218,218,307,307,307,182,182,182,182,182,182,182,182,182,231
AZE002,391,348,348,261,370,391,391,391,391,391,391,181,181,181,181,181,181,181,181,181,350.6
BDI001,420,251,251,251,251,251,251,251,251,251,1007,174,174,174,174,174,174,174,174,174,318.9
BFA002,153,153,153,11,11,153,153,153,153,153,1019,175,175,175,175,175,175,175,175,175,213.4
BGD002,307,196,196,196,15,64,64,71,64,64,610,173,175,175,175,175,175,175,175,173,151.7
BRA002,732,5,5,305,420,5,5,5,305,305,1019,172,172,172,172,172,172,172,172,172,254.6
CAF001,1022,343,343,63,63,399,399,399,399,399,610,175,175,175,175,175,175,175,175,175,324.9
CMR001,184,184,184,8,8,183,183,183,183,183,1021,179,179,179,176,179,179,176,176,176,231.5
CMR002,833,35,35,56,8,56,56,56,56,56,946,179,179,179,179,179,179,179,179,179,150.4
CMR003,1021,278,278,249,249,278,278,278,278,278,833,180,180,180,180,180,180,180,180,180,317.9
CMR004,1021,305,305,249,305,305,305,305,305,305,1021,180,180,180,180,180,180,180,180,180,358.5
COD001,421,249,326,11,11,326,326,326,326,326,1021,176,176,176,176,176,176,176,176,176,317.5
COG001,327,327,327,327,327,327,327,327,327,327,327,174,174,174,174,174,174,174,174,174,311.7
COL001,419,74,74,36,42,74,74,74,74,74,1020,175,175,175,175,175,175,175,175,175,171.7
COL002,306,74,74,74,663,74,74,74,74,74,1020,168,168,168,168,168,168,168,168,168,236.9
CRI002,663,420,306,306,518,306,306,306,420,420,964,179,179,179,179,179,179,179,179,179,403.1
DJI001,79,79,9,9,79,9,9,9,9,9,79,170,170,170,170,170,170,170,170,170,39.1
DJI002,79,79,9,9,9,9,9,9,9,9,146,170,170,170,170,170,170,170,170,170,38.8
DJI003,79,79,79,79,9,79,79,79,79,79,79,170,170,170,170,170,170,170,170,170,81.1
DZA002,732,663,538,538,119,732,732,732,732,732,538,173,173,173,173,173,173,173,173,173,556.6
DZA003,663,1019,732,732,119,732,732,732,732,732,1019,173,173,173,173,173,173,173,173,173,643.5
DZA004,525,525,525,525,371,525,525,525,525,525,525,173,173,173,173,173,173,173,173,173,474.4
ECU002,663,305,305,305,518,305,305,305,305,305,1020,182,182,182,182,182,182,182,182,182,385.5
EGY002,580,245,119,155,119,119,119,155,155,155,1023,183,183,183,183,183,183,183,183,183,230.2
ERI001,419,740,305,305,305,366,366,366,366,366,1021,180,180,180,180,180,180,180,180,180,394.6
ESP002,306,306,154,154,154,154,154,154,154,154,1020,184,184,184,184,184,184,184,184,184,243.6
ETH001,167,167,167,16,16,167,167,167,167,167,167,170,170,170,170,170,170,170,170,170,137.1
ETH002,167,75,75,75,75,75,75,75,75,75,167,170,170,170,170,170,170,170,170,170,93.7
ETH003,167,167,167,9,9,9,9,9,9,9,167,170,170,170,170,170,170,170,170,170,56.7
ETH004,16,16,16,16,16,16,16,16,16,16,16,170,170,170,170,170,170,170,170,170,31.4
GRC002,945,8,8,8,8,8,8,8,8,8,1029,175,175,175,175,175,175,175,175,175,126.8
GTM001,14,14,14,14,14,14,14,14,14,14,14,180,180,179,179,180,180,179,179,179,30.6
HND001,13,13,13,13,13,13,13,13,13,13,13,177,177,177,177,179,179,177,177,177,29.4
HTI001,1037,104,104,104,104,91,91,91,91,91,104,173,173,173,173,173,173,173,173,173,104.4
HTI002,104,104,91,104,102,102,102,102,102,102,104,104,104,104,104,104,104,104,104,104,101.5
IDN002,671,671,671,0,167,671,671,671,671,671,854,188,188,188,188,188,188,188,188,188,523.5
IND002,307,307,307,307,167,307,307,307,307,307,734,190,190,190,190,195,195,190,190,190,324
