Crisis,TYPE OF CRISIS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Complex crisis in Afghanistan,Complex crisis,AFG001,Afghanistan,AFG,652867,38042000,38042000,8493000,x,x,35638,x,x,#N/A,13114,0,19642000,12100000,5800000,500000,5,x,x,0.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0
Nagorno-Karabakh Conflict in Armenia,Conflict,ARM002,Armenia,ARM,28203,3024000,84000,66000,x,x,1,x,x,#N/A,x,2874000,18000,66000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Nagorno-Karabakh conflict in Azerbaijan,Conflict,AZE002,Azerbaijan,AZE,31560,5874000,5874000,91000,x,x,91,x,x,#N/A,x,x,x,x,x,x,3,x,x,2.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0
Complex in Burundi,Complex crisis,BDI001,Burundi,BDI,25680,12600000,12600000,416000,x,70187,262,x,x,#N/A,444,0,10200000,1272000,1032000,96000,5,x,x,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Conflict in Burkina Faso,Conflict,BFA002,Burkina Faso,BFA,166445,3523000,3442000,1241000,x,x,3145,x,x,#N/A,x,81000,2000000,983000,175000,284000,4,x,x,0.0,2.0,2.0,0.0,0.0,3.0,2.0,0.0,3.0
Rohingya refugee crisis,International displacement,BGD002,Bangladesh,BGD,650,1356000,1356000,884000,607,0,29,x,x,#N/A,x,0,0,1356000,0,0,3,0,0,2.0,2.0,2.0,0.0,2.0,3.0,0.0,0.0,2.0
Venezuela displacement in Brazil,International displacement,BRA002,Brazil,BRA,224274,1495000,889000,490000,x,x,0,x,x,#N/A,x,606000,399000,490000,0,0,2,x,x,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,1.0
Complex crisis in CAR,Complex crisis,CAF001,CAR,CAF,623000,4900000,4900000,1557000,x,x,708,x,x,#N/A,x,0,2100000,900000,1900000,0,5,x,x,1.0,3.0,2.0,2.0,0.0,3.0,3.0,0.0,3.0
Multiple crises in Cameroon,Multiple crises country,CMR001,Cameroon,CMR,440640,25876000,4343000,1946000,150,x,454,x,x,#N/A,x,21533000,343000,2000000,2000000,0,5,x,x,1.0,3.0,3.0,0.0,2.0,3.0,3.0,1.0,3.0
