,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
AFG001,974,246,246,15,15,15,15,15,15,15,246,109,109,109,109,109,109,109,109,109,70.6
ARM002,309,157,157,157,56,157,157,157,246,246,246,121,121,121,121,121,121,121,121,121,170
AZE002,330,287,287,200,309,330,330,330,330,330,330,120,120,120,120,120,120,120,120,120,289.6
BDI001,359,190,190,190,190,190,190,190,190,190,946,113,113,113,113,113,113,113,113,113,257.9
BFA002,92,92,92,92,92,92,92,92,92,92,958,114,114,114,114,114,114,114,114,114,180.8
BGD002,246,135,135,135,11,3,3,10,3,3,549,112,114,114,114,114,114,114,114,112,96.4
BRA002,671,244,244,244,359,244,244,244,244,244,958,111,111,111,111,111,111,111,111,111,313.6
CAF001,961,282,282,2,2,338,338,338,338,338,549,114,114,114,114,114,114,114,114,114,263.9
CMR001,123,123,123,123,122,122,122,122,122,122,960,118,118,118,115,118,118,115,115,115,205.6
CMR002,772,217,217,188,188,217,217,217,217,217,885,118,118,118,118,118,118,118,118,118,268.1
CMR003,960,217,217,188,188,217,217,217,217,217,772,119,119,119,119,119,119,119,119,119,256.9
CMR004,960,244,244,188,244,244,244,244,244,244,960,119,119,119,119,119,119,119,119,119,297.5
COD001,360,188,265,73,73,265,265,265,265,265,960,115,115,115,115,115,115,115,115,115,281.1
COG001,266,266,266,266,266,266,266,266,266,266,266,113,113,113,113,113,113,113,113,113,250.7
COL001,358,13,13,13,245,13,13,13,13,13,959,114,114,114,114,114,114,114,114,114,140.9
COL002,245,13,13,13,602,13,13,13,13,13,959,107,107,107,107,107,107,107,107,107,175.9
CRI002,602,359,245,245,457,245,245,245,359,359,903,118,118,118,118,118,118,118,118,118,342.1
DJI001,18,18,18,18,18,18,18,18,18,18,18,109,109,109,109,109,109,109,109,109,27.1
DJI002,18,18,18,18,18,18,18,18,18,18,85,109,109,109,109,109,109,109,109,109,33.8
DJI003,18,18,18,18,18,18,18,18,18,18,18,109,109,109,109,109,109,109,109,109,27.1
DZA002,671,602,477,477,58,671,671,671,671,671,477,112,112,112,112,112,112,112,112,112,495.6
DZA003,602,958,671,671,58,671,671,671,671,671,958,112,112,112,112,112,112,112,112,112,582.5
DZA004,464,464,464,464,310,464,464,464,464,464,464,112,112,112,112,112,112,112,112,112,413.4
ECU002,602,244,244,244,457,244,244,244,244,244,959,121,121,121,121,121,121,121,121,121,324.5
EGY002,519,184,58,94,58,58,58,94,94,94,962,122,122,122,122,122,122,122,122,122,169.2
ERI001,358,679,244,244,244,305,305,305,305,305,960,119,119,119,119,119,119,119,119,119,333.6
ESP002,245,245,93,93,93,93,93,93,93,93,959,123,123,123,123,123,123,123,123,123,182.6
ETH001,106,106,106,14,14,106,106,106,106,106,106,109,109,109,109,109,109,109,109,109,87.9
ETH002,106,14,14,14,14,14,14,14,14,14,106,109,109,109,109,109,109,109,109,109,32.7
ETH003,106,106,106,14,14,14,14,14,14,14,106,109,109,109,109,109,109,109,109,109,41.9
ETH004,106,106,14,14,14,14,14,14,14,14,106,109,109,109,109,109,109,109,109,109,32.7
GRC002,884,15,15,15,15,15,15,15,15,15,968,114,114,114,114,114,114,114,114,114,120.2
GTM001,358,359,359,359,245,245,245,245,245,359,825,119,119,118,118,119,119,118,118,118,324.6
HND001,358,359,359,359,245,286,286,286,286,359,960,116,116,116,116,118,118,116,116,116,354.2
HND002,304,245,245,245,304,245,245,245,304,304,304,108,108,108,108,108,108,108,108,108,254.9
HTI001,976,43,43,43,43,30,30,30,30,30,43,112,112,112,112,112,112,112,112,112,43.4
HTI002,43,43,30,43,41,41,41,41,41,41,43,43,43,43,43,43,43,43,43,43,40.5
IDN002,610,610,610,63,106,610,610,610,610,610,793,127,127,127,127,127,127,127,127,127,474.9
IND002,246,246,246,246,106,246,246,246,246,246,673,129,129,129,129,134,134,129,129,129,263
IRN004,199,199,15,15,549,15,15,15,15,15,199,112,112,112,112,112,112,112,112,112,96.5
IRQ001,245,245,245,15,15,15,15,15,15,15,519,116,116,116,116,116,116,116,116,116,98.5
IRQ002,245,215,186,15,15,186,186,186,186,186,602,116,116,116,116,116,116,116,116,116,186.4
IRQ003,245,15,15,15,308,15,15,15,15,15,958,116,116,116,116,116,116,116,116,116,148.7
ITA002,958,93,93,93,93,93,93,93,93,93,958,121,121,121,121,121,121,121,121,121,182.3
JOR002,93,93,15,15,304,93,93,93,93,93,454,115,115,115,115,115,115,115,115,115,136.8
KEN001,13,13,13,13,13,13,13,13,13,13,13,10,10,10,9,10,10,10,10,10,12.7
KEN002,13,13,13,13,13,13,13,13,13,13,13,113,113,113,9,113,113,113,113,9,23
KEN003,13,13,13,13,13,13,13,13,13,13,13,10,10,10,10,10,10,10,10,10,12.7
LBN002,50,50,50,15,337,50,50,50,50,50,482,114,114,114,114,114,114,114,114,114,124.8
LBN004,50,50,15,215,15,50,50,50,50,50,519,114,114,114,114,114,114,114,114,114,112.8
LBY001,519,184,519,57,57,183,183,183,183,183,519,116,116,116,116,116,116,116,116,116,218.3
LBY002,367,184,57,57,57,57,57,57,57,57,519,120,120,120,120,120,120,120,120,120,109.5
LSO002,18,18,18,356,18,18,18,18,18,18,18,113,113,113,113,113,113,113,113,113,61.3
MAR002,366,477,477,477,56,671,671,671,671,671,958,115,115,115,115,115,115,115,115,115,543.8
MDG002,18,18,18,18,18,18,18,18,18,18,18,127,127,127,127,127,127,127,127,127,28.9
MEX001,2,2,2,2,2,2,2,2,2,2,2,108,111,111,108,111,111,111,111,111,12.6
MEX002,2,2,2,2,245,2,2,2,2,2,671,108,108,108,108,108,108,108,108,108,103.8
MEX003,2,2,2,2,2,2,2,2,2,2,2,108,108,108,108,108,108,108,108,108,12.6
MLI001,360,202,202,65,65,202,202,202,202,202,980,115,115,115,115,115,115,115,115,115,243.7
MMR001,64,64,94,10,10,64,94,64,241,241,241,114,114,114,114,114,114,114,114,114,117.3
MMR002,241,241,241,30,191,241,241,241,241,241,241,114,114,114,114,114,114,114,114,114,202.2
MMR003,241,241,241,10,191,241,241,241,241,241,241,114,114,114,114,114,114,114,114,114,200.2
MMR004,65,65,65,10,99,65,99,65,99,99,99,99,99,99,99,99,99,99,99,99,79.9
MOZ004,216,77,77,77,77,77,77,77,77,77,77,111,111,111,111,111,111,111,111,111,80.4
MRT002,959,50,50,50,50,50,50,50,50,50,959,113,113,113,113,113,113,113,113,113,147.2
MRT003,367,50,50,400,50,50,50,50,50,231,400,113,113,113,113,113,113,113,113,113,144.4
MWI002,18,18,18,763,18,18,18,18,18,18,18,122,122,122,122,122,122,122,122,122,102.9
MYS001,188,185,10,10,188,10,188,10,185,185,185,116,116,116,116,116,116,116,116,116,108.7
NAM002,81,81,81,601,18,81,81,81,81,81,81,113,113,113,113,113,113,113,113,113,129.9
NER001,961,244,244,2,2,244,244,244,244,244,961,113,113,113,113,113,113,113,113,113,254.2
NER002,961,244,244,1,1,244,244,244,244,244,961,113,113,113,113,113,113,113,113,113,254
NER003,961,244,244,1,1,244,244,244,244,244,961,113,113,113,113,113,113,113,113,113,254
NER004,244,244,244,1,1,244,244,244,244,244,654,113,113,113,113,113,113,113,113,113,223.3
NGA001,820,51,51,51,93,51,51,51,51,51,820,112,112,112,112,112,112,112,112,112,138.2
NGA003,304,51,51,188,93,51,51,51,51,51,821,112,112,112,112,112,112,112,112,112,152
NGA004,822,188,51,51,93,51,51,51,51,51,822,112,112,112,112,112,112,112,112,112,138.4
NGA007,520,51,51,188,93,51,51,51,51,51,654,112,112,112,112,112,112,112,112,112,135.3
NGA008,93,93,93,93,93,93,93,93,93,93,610,112,112,112,112,112,112,112,112,112,146.6
