,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
,,,,MAX,,,,,,7,0.05,0.05,0.05,0.05,0.05,,
,,,,MIN,,,,,,4,,,,,,,
CRISIS,TYPE OF CRISIS,CRISIS ID,COUNTRY,Iso3,,,,,,,,,,,,,
Complex crisis in Afghanistan,Complex crisis,AFG001,Afghanistan,AFG,5.9,11.5,15.1,9.3,0,5,0.14114832535885166,0.2751196172248804,0.361244019138756,0.22248803827751196,0,4,4.5
Drought in South-West Angola,Food Security,AGO002,Angola,AGO,0.54,0.837,1.026,0.324,0,3.6,0.19801980198019803,0.3069306930693069,0.37623762376237624,0.1188118811881188,0,4,3.8
Nagorno-Karabakh Conflict in Armenia,Conflict,ARM002,Armenia,ARM,2.874,0.018,0.066,0,0,1.4,0.9503968253968254,0.005952380952380952,0.021825396825396824,0,0,1,1.2
Nagorno-Karabakh conflict in Azerbaijan,Conflict,AZE002,Azerbaijan,AZE,x,x,x,x,x,x,x,x,x,x,x,x,x
Complex in Burundi,Complex crisis,BDI001,Burundi,BDI,0,11.2,1.692,0.108,0,3.8,0,0.8615384615384616,0.13015384615384615,0.008307692307692308,0,3,3.4
Conflict in Burkina Faso,Conflict,BFA002,Burkina Faso,BFA,0.081,2,0.983,0.175,0.284,3.6,0.022991768379222254,0.5676979846721544,0.27902355946636387,0.04967357365881351,0.08061311382344592,5,4.3
Rohingya refugee crisis,International displacement,BGD002,Bangladesh,BGD,0,0.039,1.356,0,0,3.6,0,0.02795698924731183,0.9720430107526882,0,0,3,3.3
Country level Brazil,Multiple crises country,BRA001,Brazil,BRA,52.065,0.879,0.478,0,0,2.8,0.9745984800269551,0.01645389539889933,0.008947624574145482,0,0,1,1.9
Venezuela displacement in Brazil,International displacement,BRA002,Brazil,BRA,0.272,0.069,0.312,0,0,2.5,0.4165390505359878,0.10566615620214395,0.4777947932618683,0,0,3,2.75
Floods in rainy season 2022,Flood,BRA003,Brazil,BRA,51.816,0.854,0.099,0,0,1.7,0.9819215463331439,0.016183437559219253,0.0018760659465605458,0,0,1,1.35
Complex crisis in CAR,Complex crisis,CAF001,CAR,CAF,0,2.1,0.9,1.9,0,4.1,0,0.42857142857142855,0.1836734693877551,0.3877551020408163,0,4,4.05
Venezuela displacement in Chile,International displacement,CHL002,Chile,CHL,10.359,0.135,0.481,0,0,2.8,0.9437864431486881,0.012299562682215744,0.043822886297376094,0,0,2,2.4
Multiple crises in Cameroon,Multiple crises country,CMR001,Cameroon,CMR,21.533,0.343,2,2,0,4.3,0.8321610759004483,0.013255526356469316,0.07729169887154119,0.07729169887154119,0,4,4.15
Boko Haram in Cameroon,Conflict,CMR002,Cameroon,CMR,1.912,0,0.917,0.284,0,3.5,0.6143958868894601,0,0.29466580976863754,0.09125964010282776,0,4,3.75
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,7.902,0.011,1.048,0.509,0,3.7,0.8344244984160507,0.0011615628299894403,0.11066525871172123,0.05374868004223865,0,4,3.85
CAR refugees in Cameroon,International displacement,CMR004,Cameroon,CMR,4.9,0.121,0.637,0,0,3,0.8660303994344292,0.021385648639095086,0.11258395192647579,0,0,3,3
Complex crisis in DRC,Complex crisis,COD001,DRC,COD,1.5,9.5,12.5,2.9,0.6,5,0.05555555555555555,0.35185185185185186,0.46296296296296297,0.10740740740740741,0.022222222222222223,4,4.5
Complex crisis in Congo,Complex crisis,COG001,Congo,COG,4.399,0,1.2,0,0,3.5,0.7856760135738525,0,0.21432398642614753,0,0,3,3.25
Complex crisis in Colombia,Complex crisis,COL001,Colombia,COL,39.9,3.4,4.507,2.9,0.293,4.8,0.7823529411764706,0.06666666666666667,0.08837254901960784,0.056862745098039215,0.005745098039215686,4,4.4
Venezuela displacement in Colombia,International displacement,COL002,Colombia,COL,17.453,0.679,4.831,0,0,4.5,0.7600487741148805,0.029569307146278798,0.21038191873884074,0,0,3,3.75
Nicaraguan refugees in Costa Rica,International displacement,CRI002,Costa Rica,CRI,1.644,0.043,0.043,0,0,1.1,0.9502890173410404,0.02485549132947977,0.02485549132947977,0,0,1,1.05
