,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
AFG001,233,233,233,4,4,147,147,147,147,92,581,112,112,112,112,112,112,112,112,112,161.4,,
AFG005,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,,
AGO002,0,62,62,0,258,62,62,62,62,62,0,111,111,111,111,111,111,111,111,111,74.1,,
ARM002,84,84,84,84,4,84,84,84,581,581,581,107,107,107,107,107,107,107,107,107,227.4,,
AZE002,37,57,57,535,4,57,62,57,57,57,665,107,107,107,107,107,107,107,107,107,165.8,,
BDI001,93,93,93,29,93,93,93,93,93,93,93,111,111,111,111,111,111,111,111,111,88.4,,
BFA002,427,427,427,184,184,427,427,427,427,427,1293,128,128,128,128,128,128,128,128,128,435.1,,
BGD001,63,6,6,6,6,63,63,6,63,63,63,63,63,63,63,63,63,63,63,63,40.2,,
BGD002,121,6,6,6,6,56,56,6,56,56,884,104,107,107,107,107,107,107,107,107,123.6,,
BGD008,63,63,63,6,6,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,51.6,,
BRA001,0,0,0,0,0,0,0,0,0,0,0,126,126,126,126,126,126,126,126,126,12.6,,
BRA002,0,0,0,0,0,0,0,0,0,0,0,126,126,126,126,126,126,126,126,126,12.6,,
BRA003,0,0,0,0,0,0,0,0,0,0,0,126,126,126,126,126,126,126,126,126,12.6,,
CAF001,1296,35,35,35,35,30,30,30,30,30,884,126,126,126,126,126,126,126,126,126,126.5,,
