Crisis,Crisis ID,Country,Indicator,Figure,Source and Date,Reliability,Reliability Score,Link,Justification,Helper,Date of entry,Type of entry
Complex crisis in Mali,MLI001,Mali,Buildings damaged,x,,x,x,,No data available,MLI001Buildings damaged,2019-01-24,Humanitarian development
Complex crisis in Mali,MLI001,Mali,Buildings destroyed,1,Complex crisis in Mali,Low,3,MLI001,Complex crisis in Mali,MLI001Buildings destroyed,2019-01-24,Humanitarian development
Complex crisis in Mali,MLI001,Mali,Economic Losses,x,,x,x,,No data available,MLI001Economic Losses,2019-01-24,Humanitarian development
Complex crisis in Mali,MLI001,Mali,People facing limited access constraints,x,,x,x,,No data available,MLI001People facing limited access constraints,2019-01-24,Humanitarian development
Complex crisis in Mali,MLI001,Mali,People facing restricted access constraints,x,,x,x,,No data available,MLI001People facing restricted access constraints,2019-01-24,Humanitarian development
Drought in Senegal,SEN002,Senegal,Buildings damaged,0,,Medium,2,,,SEN002Buildings damaged,2019-01-24,Humanitarian development
Drought in Senegal,SEN002,Senegal,Buildings destroyed,0,,Medium,2,,,SEN002Buildings destroyed,2019-01-24,Humanitarian development
Drought in Senegal,SEN002,Senegal,Economic Losses,x,,Low,3,,"No recent number reflecting agricultural losses, or the impact of the drought on smallholder agricutlure and transhumance patterns disrupting rural economies",SEN002Economic Losses,2019-01-24,Humanitarian development
Drought in Senegal,SEN002,Senegal,Illness cases reported,0,,Medium,2,,,SEN002Illness cases reported,2019-01-24,Humanitarian development
Drought in Senegal,SEN002,Senegal,Injuries reported,0,,Medium,2,,,SEN002Injuries reported,2019-01-24,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,Buildings damaged,x,,x,x,,,PRK001Buildings damaged,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,Buildings destroyed,x,,x,x,,,PRK001Buildings destroyed,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,Crisis affected groups,1,,Medium,2,,Country population,PRK001Crisis affected groups,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,Economic Losses,x,,x,x,,,PRK001Economic Losses,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,Illness cases reported,x,,x,x,,,PRK001Illness cases reported,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,Injuries reported,x,,x,x,,,PRK001Injuries reported,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,People facing limited access constraints,x,,x,x,,,PRK001People facing limited access constraints,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,People facing restricted access constraints,x,,x,x,,,PRK001People facing restricted access constraints,2019-01-28,Humanitarian development
Conflict in Yemen,YEM001,Yemen,Buildings damaged,x,,x,x,,,YEM001Buildings damaged,2019-01-28,Humanitarian development
Conflict in Yemen,YEM001,Yemen,Buildings destroyed,x,,x,x,,,YEM001Buildings destroyed,2019-01-28,Humanitarian development
Conflict in Yemen,YEM001,Yemen,Economic Losses,x,,x,x,,,YEM001Economic Losses,2019-01-28,Humanitarian development
Conflict in Yemen,YEM001,Yemen,People facing limited access constraints,x,,x,x,,,YEM001People facing limited access constraints,2019-01-28,Humanitarian development
Conflict in Yemen,YEM001,Yemen,People facing restricted access constraints,x,,x,x,,,YEM001People facing restricted access constraints,2019-01-28,Humanitarian development
Complex crisis in Afghanistan,AFG001,Afghanistan,Buildings damaged,x,,x,x,,,AFG001Buildings damaged,2019-01-30,Humanitarian development
Complex crisis in Afghanistan,AFG001,Afghanistan,Economic Losses,13114,"Economic Institute of Peace, World Bank",Medium,2,"http://visionofhumanity.org/app/uploads/2018/11/Economic-Value-of-Peace-2018.pdf, https://data.worldbank.org/indicator/NY.GDP.MKTP.CD","Based on Economic Insitute of Peace estimates the economic costs due to conflict in Afghanistan at 63% of the GDP (2017), subsequent calculation based on 2017 World Bank figures. This does not include any estimations for economic losses due to the drought.",AFG001Economic Losses,2019-01-30,Humanitarian development
Complex crisis in Afghanistan,AFG001,Afghanistan,Illness cases reported,x,,x,x,,,AFG001Illness cases reported,2019-01-30,Humanitarian development
Complex crisis in Afghanistan,AFG001,Afghanistan,People facing limited access constraints,x,,x,x,,,AFG001People facing limited access constraints,2019-01-30,Humanitarian development
Complex crisis in Afghanistan,AFG001,Afghanistan,People facing restricted access constraints,x,,x,x,,,AFG001People facing restricted access constraints,2019-01-30,Humanitarian development
Drought in Lesotho,LSO002,Lesotho,Buildings damaged,0,,Medium,2,,No damages related to the crisis,LSO002Buildings damaged,2019-01-30,Humanitarian development
Drought in Lesotho,LSO002,Lesotho,Buildings destroyed,0,,Medium,2,,No damages related to the crisis,LSO002Buildings destroyed,2019-01-30,Humanitarian development
Drought in Lesotho,LSO002,Lesotho,Economic Losses,x,,Medium,2,,No data available,LSO002Economic Losses,2019-01-30,Humanitarian development
Drought in Lesotho,LSO002,Lesotho,Illness cases reported,0,,Medium,2,,No cases of illness directly related to the crisis,LSO002Illness cases reported,2019-01-30,Humanitarian development
Drought in Lesotho,LSO002,Lesotho,Injuries reported,0,,Medium,2,,No cases of injuries directly related to the crisis,LSO002Injuries reported,2019-01-30,Humanitarian development
Drought in Lesotho,LSO002,Lesotho,People facing limited access constraints,0,,Medium,2,,There are no access constraints observed,LSO002People facing limited access constraints,2019-01-30,Humanitarian development
