,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,1.6,3.8,1.1,0,2.5,80.4,0,High
AFG005,1.6,0.8,2.4,1.7,1.3,172.5,1,High
AGO002,1.3,1.8,2.1,0,1.7,155.1,0,High
ARM002,2.2,2.3,4.4,0,1.9,320.3,0,Medium
AZE002,3.4,x,3.5,3.3,x,258.6,2,Low
BDI001,1.4,2,2.2,0,1.8,158.4,0,High
BFA002,1.7,2.3,2.9,0,1.9,214,0,High
BGD001,1.1,1.8,1.4,0,1.7,101.4,0,High
BGD002,1.4,1.8,2.5,0,1.7,180.7,0,High
BGD008,1.3,1.8,2.2,0,1.7,161.2,0,High
BRA001,0.7,1.8,0.2,0,1.7,13.5,0,Very High
BRA002,1.1,1.3,0.2,1.7,1.5,13.5,1,High
BRA003,0.7,2,0.2,0,1.8,13.5,0,Very High
CAF001,1.7,2.3,2.8,0,1.9,205.3,0,High
CHL002,0.7,1.8,0.2,0,1.7,13.5,0,Very High
CMR001,1.1,2,1.2,0,1.8,91.1,0,High
CMR002,1.2,1.8,1.7,0,1.7,121.6,0,High
CMR003,1.2,2,1.7,0,1.8,121.6,0,High
CMR004,1.9,2.3,3.4,0,1.9,251,0,High
COD001,1.5,1,3.4,0,1.4,245.2,0,High
COG001,1.6,2,2.7,0,1.8,195.7,0,High
COL001,0.2,0.5,0.2,0,1.2,16.2,0,Very High
COL002,0.7,1.8,0.2,0,1.7,16.2,0,Very High
CRI002,1.9,2.3,0.1,3.3,1.9,10.8,2,High
DJI001,0.9,2.3,0.3,0,1.9,20.4,0,Very High
DJI002,0.8,2,0.3,0,1.8,22.6,0,Very High
DJI003,2,2.3,0.5,3.3,1.9,35.8,2,High
DOM002,1.9,2.3,0.1,3.3,1.9,10.8,2,High
DZA002,1.3,2.5,1.4,0,2,101.5,0,High
DZA003,2.5,4.3,1.6,1.7,2.7,115.8,1,Medium
DZA004,1.4,3.5,0.7,0,2.4,49.7,0,High
ECU002,0.7,1.8,0.2,0,1.7,13.5,0,Very High
