,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
AFG001,4,4,4,4,4,4,4,4,4,4,703,69,69,69,68,72,69,68,68,67,80.4,,
AFG005,185,185,185,185,185,185,185,185,185,185,185,60,60,60,60,60,60,60,60,60,172.5,,
AGO002,122,184,184,2,380,184,184,184,184,184,2,63,63,63,63,63,63,63,63,63,155.1,,
ARM002,206,206,206,206,2,206,206,206,703,703,703,62,62,62,62,62,62,62,62,62,320.3,,
AZE002,159,179,179,657,2,179,184,179,179,179,787,61,61,61,61,61,61,61,61,61,258.6,,
BDI001,215,215,215,9,9,215,215,215,215,215,215,61,61,61,61,61,61,61,61,61,158.4,,
BFA002,110,110,110,1,1,110,110,110,110,110,1415,63,63,63,63,63,63,63,63,63,214,,
BGD001,185,7,7,7,7,185,185,7,185,185,185,61,61,61,61,61,61,61,61,61,101.4,,
BGD002,243,7,7,7,7,178,178,7,178,178,1006,61,61,61,61,61,61,61,61,61,180.7,,
BGD008,185,185,185,128,128,185,185,185,185,185,185,61,61,61,61,61,61,61,61,61,161.2,,
BRA001,8,8,8,8,8,8,8,8,8,8,8,63,63,63,63,63,63,63,63,63,13.5,,
BRA002,8,8,8,8,8,8,8,8,8,8,8,63,63,63,63,63,63,63,63,63,13.5,,
BRA003,8,8,8,8,8,8,8,8,8,8,8,63,63,63,63,63,63,63,63,63,13.5,,
CAF001,1418,31,157,31,157,31,152,152,152,152,1006,63,63,63,63,63,63,63,63,63,205.3,,
CHL002,8,8,8,8,8,8,8,8,8,8,8,63,63,63,63,63,63,63,63,63,13.5,,
CMR001,580,184,101,29,29,101,101,101,101,101,184,63,63,63,63,63,63,63,63,63,91.1,,
CMR002,1229,162,162,29,29,162,162,162,162,162,123,63,63,63,63,63,63,63,63,63,121.6,,
CMR003,285,162,162,29,29,162,162,162,162,162,123,63,63,63,63,63,63,63,63,63,121.6,,
CMR004,285,162,162,29,29,162,162,162,162,162,1417,63,63,63,63,63,63,63,63,63,251,,
COD001,817,31,163,31,31,31,179,179,179,179,1417,63,63,63,63,63,63,63,63,63,245.2,,
COG001,122,185,185,122,2,185,185,185,185,723,122,63,63,63,63,63,63,63,63,63,195.7,,
COL001,11,11,11,11,11,11,11,11,11,11,11,63,63,63,63,63,63,63,63,63,16.2,,
COL002,11,11,11,11,11,11,11,11,11,11,11,63,63,63,63,63,63,63,63,63,16.2,,
CRI002,5,5,5,5,5,5,5,5,5,5,5,63,63,63,63,63,63,63,63,63,10.8,,
DJI001,33,33,33,11,11,11,11,11,11,11,33,61,61,61,61,61,61,61,61,61,20.4,,
DJI002,33,33,11,11,11,11,11,11,33,33,33,61,61,61,61,61,61,61,61,61,22.6,,
DJI003,33,33,33,33,33,33,33,33,33,33,33,61,61,61,61,61,61,61,61,61,35.8,,
DOM002,5,5,5,5,5,5,5,5,5,5,5,63,63,63,63,63,63,63,63,63,10.8,,
DZA002,153,10,129,129,10,10,129,129,129,129,153,68,68,68,68,68,68,68,68,68,101.5,,
DZA003,153,153,153,129,10,129,129,129,129,129,153,68,68,68,68,68,68,68,68,68,115.8,,
DZA004,230,10,10,129,10,10,10,10,10,10,230,68,68,68,68,68,68,68,68,68,49.7,,
ECU002,8,8,8,8,8,8,8,8,8,8,8,63,63,63,63,63,63,63,63,63,13.5,,
EGY002,153,1,1,1,1,1,1,1,1,1,153,68,68,68,68,68,68,68,68,68,22.9,,
ERI001,227,227,9,9,9,9,9,9,9,9,227,61,61,61,61,61,61,61,61,61,36,,
ESP002,153,10,10,10,10,10,10,10,10,10,153,66,66,66,66,66,66,66,66,66,29.9,,
ETH001,31,31,31,4,4,4,4,4,4,4,190,55,55,55,55,55,55,55,55,55,30.4,,
ETH003,31,31,31,11,11,11,11,11,11,11,563,58,58,58,58,58,58,58,58,58,72.9,,
ETH004,94,94,94,11,11,72,72,72,72,72,412,57,57,57,57,57,57,57,57,57,94.5,,
ETH005,94,31,11,72,11,11,11,11,11,11,326,57,57,57,57,57,57,57,57,57,53.2,,
GMB002,122,122,122,57,122,122,122,122,122,122,57,63,63,63,63,63,63,63,63,63,103.1,,
GRC002,32,32,32,32,12,32,32,32,32,32,1425,61,61,61,61,61,61,61,61,61,172.2,,
GTM001,5,5,5,5,5,5,5,5,5,5,5,63,63,63,63,63,63,63,63,63,10.8,,
HND001,5,5,5,5,5,5,5,5,5,5,5,63,63,63,63,63,63,63,63,63,10.8,,
HTI001,5,5,5,5,5,5,5,5,5,5,5,63,63,63,63,63,63,63,63,63,10.8,,
HTI002,5,5,5,5,5,5,5,5,5,5,5,63,63,63,63,63,63,63,63,63,10.8,,
HUN002,153,11,11,11,11,11,11,11,11,11,153,64,64,64,64,64,64,64,64,64,30.5,,
IDN002,243,243,243,298,7,208,214,243,243,243,1250,61,61,61,61,61,61,61,61,61,301,,
IDN007,33,33,33,33,33,33,33,33,33,33,33,32,32,32,32,32,32,32,32,32,32.9,,
IDN008,33,33,33,33,33,33,33,33,33,33,33,32,32,32,32,32,32,32,32,32,32.9,,
IND002,703,703,703,703,7,703,703,703,703,703,1130,61,61,61,61,61,61,61,61,61,611.9,,
IRN004,656,656,193,193,269,193,269,193,193,269,656,61,61,61,61,61,61,61,61,61,248.9,,
IRQ001,33,33,33,33,12,33,33,33,33,33,976,61,61,61,61,61,61,61,61,61,128,,
IRQ002,33,33,33,33,12,33,33,33,270,33,1059,61,61,61,61,61,61,61,61,61,160,,
IRQ003,33,33,33,33,33,33,33,33,33,33,1415,61,61,61,61,61,61,61,61,61,174,,
ITA002,153,1,1,1,1,1,1,1,1,1,153,66,66,66,66,66,66,66,66,66,22.7,,
JOR002,32,32,12,12,761,12,12,12,12,12,911,61,61,61,61,61,61,61,61,61,181.7,,
KEN001,190,2,2,2,117,2,2,2,2,2,190,64,64,64,64,64,64,64,64,64,38.5,,
KEN002,190,117,37,37,190,117,117,117,117,117,190,64,64,64,64,64,64,64,64,64,110.3,,
KEN003,190,32,32,190,117,32,32,32,32,32,190,64,64,64,64,64,64,64,64,64,75.3,,
LBN002,32,32,12,12,262,12,12,12,12,12,939,61,61,61,61,61,61,61,61,61,134.6,,
LBN004,32,32,12,262,12,12,12,12,12,12,976,61,61,61,61,61,61,61,61,61,138.3,,
LBY001,153,153,153,1,1,153,153,153,153,153,153,66,66,66,66,66,66,66,66,66,113.9,,
LBY002,153,153,1,1,1,1,1,1,1,1,153,66,66,66,66,66,66,66,66,66,22.7,,
LKA002,194,37,37,194,4,194,37,2,2,2,194,61,61,61,61,61,61,61,61,61,72.7,,
LSO003,33,33,33,33,33,33,33,33,33,33,33,31,31,31,31,31,31,31,31,31,32.8,,
MAR002,153,10,153,153,10,10,153,153,153,153,153,68,68,68,68,68,68,68,68,68,115.9,,
MDA002,153,11,11,11,11,11,11,11,11,11,153,64,64,64,64,64,64,64,64,64,30.5,,
MDG001,95,1,11,95,95,11,11,11,11,11,95,61,61,61,61,61,61,61,61,61,41.2,,
MDG002,95,11,11,11,95,11,11,11,11,11,95,61,61,61,61,61,61,61,61,61,32.8,,
MDG006,95,1,1,1,95,1,1,1,1,1,95,61,61,61,61,61,61,61,61,61,25.8,,
MEX001,5,5,5,5,5,5,5,5,5,5,5,63,63,63,63,63,63,63,63,63,10.8,,
MEX002,5,5,5,5,5,5,5,5,5,5,5,63,63,63,63,63,63,63,63,63,10.8,,
MEX003,5,5,5,5,5,5,5,5,5,5,5,63,63,63,63,63,63,63,63,63,10.8,,
MLI001,122,117,110,2,2,110,110,110,110,110,2,63,63,63,63,63,63,63,63,63,72.9,,
MMR001,236,207,207,7,7,207,236,236,207,236,698,61,61,61,61,61,61,61,61,61,210.2,,
MMR002,236,207,207,7,7,207,207,342,207,342,698,61,61,61,61,61,61,61,61,61,228.5,,
MMR003,698,341,341,128,7,341,341,341,341,341,698,61,61,61,61,61,61,61,61,61,294,,
MMR004,236,207,236,7,7,207,236,236,236,236,556,61,61,61,61,61,61,61,61,61,201.8,,
MOZ001,60,60,60,60,31,60,60,60,60,60,281,66,66,66,66,66,66,66,66,66,79.8,,
MOZ004,60,60,60,60,31,60,60,60,60,60,534,66,66,66,66,66,66,66,66,66,105.1,,
MOZ008,60,60,60,60,31,60,60,60,60,60,281,66,66,66,66,66,66,66,66,66,79.8,,
MRT002,158,158,158,19,19,19,19,19,19,19,103,66,66,66,66,66,66,66,66,66,46,,
MRT003,824,158,158,857,19,158,158,158,158,158,125,66,66,66,66,66,66,66,66,66,201.5,,
MWI002,475,475,73,6,6,73,73,73,73,73,311,61,61,61,61,61,61,61,61,61,82.2,,
MWI004,334,334,123,132,123,179,131,131,131,131,334,61,61,61,61,61,61,61,61,61,147.6,,
MYS001,214,214,214,7,31,262,65,7,262,262,642,61,61,61,61,61,61,61,61,61,181.3,,
NAM002,103,369,369,1058,12,369,369,369,369,369,538,65,65,65,65,65,65,65,65,65,388.7,,
NER001,122,101,101,2,2,101,101,101,101,101,2,63,63,63,63,63,63,63,63,63,67.5,,
NER002,1418,123,123,29,29,123,123,123,123,123,123,63,63,63,63,63,63,63,63,63,98.2,,
NER003,1418,110,110,2,2,110,123,123,123,123,2,63,63,63,63,63,63,63,63,63,78.1,,
NER004,701,110,103,2,2,110,103,103,103,103,2,63,63,63,63,63,63,63,63,63,69.4,,
NGA001,93,38,7,7,7,7,7,7,7,7,1277,61,61,61,61,61,61,61,61,61,139.4,,
NGA003,93,185,93,7,7,93,93,93,93,93,1278,62,62,62,62,62,62,62,62,62,191.2,,
