INFORM Severity Index - all countries. Release: February 2022,,,,,,,,,,,,,,,,,,,,
CRISIS,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,,,,
(a-z),,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Complex crisis in Afghanistan,AFG001,Afghanistan,AFG,Complex crisis,4.7,5,Very High,Stable,High,4.8,4.9,4.8,4.5,5,4,4.9,4.8,5,Asia,2022-02-27 00:00:00
Drought in South-West Angola,AGO002,Angola,AGO,Food Security,3.2,4,High,-,Very High,2,1.7,2.2,3.8,3.6,4,2.9,3.6,2,Africa,2021-12-20 00:00:00
Nagorno-Karabakh Conflict in Armenia,ARM002,Armenia,ARM,Conflict,1.6,2,Low,Stable,Medium,2.3,3.5,1.5,1.2,1.4,1,1.6,2.2,1,Middle east,2021-10-27 00:00:00
Nagorno-Karabakh conflict in Azerbaijan,AZE002,Azerbaijan,AZE,Conflict,x,x,x,-,Very Low,3.1,2.5,3.4,x,x,x,3.3,4,2.5,Middle east,2021-10-27 00:00:00
Complex in Burundi,BDI001,Burundi,BDI,Complex crisis,3.9,4,High,Stable,Medium,3.9,4,3.8,4,4,4,3.6,3.6,3.5,Africa,2021-10-29 00:00:00
Conflict in Burkina Faso,BFA002,Burkina Faso,BFA,Conflict,4.1,5,Very High,Stable,High,4,2.5,4.5,4.3,3.6,5,3.7,3.9,3.5,Africa,2022-02-28 00:00:00
Rohingya refugee crisis,BGD002,Bangladesh,BGD,International displacement,3.3,4,High,Increasing,High,3.4,0.1,4.3,3.3,3.6,3,3.2,3.4,3,Asia,2022-02-22 00:00:00
Country level Brazil,BRA001,Brazil,BRA,Multiple crises country,2.3,3,Medium,-,High,2.4,3,2.1,1.9,2.8,1,2.9,3.6,2,Americas,2022-02-22 00:00:00
Complex crisis in CAR,CAF001,CAR,CAF,Complex crisis,4.3,5,Very High,Stable,Medium,4.5,4.3,4.6,4.05,4.1,4,4.5,4.5,4.5,Africa,2022-02-28 00:00:00
Venezuela displacement in Chile,CHL002,Chile,CHL,International displacement,2.2,3,Medium,-,Very High,2.4,2.4,2.4,2.4,2.8,2,1.8,2,1.5,Americas,2022-02-21 00:00:00
Multiple crises in Cameroon,CMR001,Cameroon,CMR,Multiple crises country,4.3,5,Very High,Stable,High,4.1,4.7,3.7,4.15,4.3,4,4.6,4.2,5,Africa,2021-11-22 00:00:00
Complex crisis in DRC,COD001,DRC,COD,Complex crisis,4.6,5,Very High,Stable,Very High,4.7,4.3,4.9,4.5,5,4,4.8,5.1,4.5,Africa,2022-02-28 00:00:00
Complex crisis in Congo,COG001,Congo,COG,Complex crisis,3.4,4,High,Stable,Low,3.6,4.2,3.3,3.25,3.5,3,3.3,3.1,3.5,Africa,2021-10-28 00:00:00
Complex crisis in Colombia,COL001,Colombia,COL,Complex crisis,4.2,5,Very High,Stable,High,4,5,3.3,4.3,4.6,4,4.1,3.5,4.5,Americas,2021-10-25 00:00:00
Nicaraguan refugees in Costa Rica,CRI002,Costa Rica,CRI,International displacement,1.1,2,Low,Stable,Medium,1.3,1,1.5,1.05,1.1,1,1,0.9,1,Americas,2021-10-26 00:00:00
Multiple crises in Djibouti,DJI001,Djibouti,DJI,Multiple crises country,2.8,3,Medium,Stable,Very High,2.4,3.1,2,2.65,2.3,3,3.2,2.9,3.5,Africa,2022-02-23 00:00:00
Venezuela displacement in Dominican Republic,DOM002,Dominican Republic,DOM,International displacement,1.9,2,Low,-,High,3.2,4.1,2.7,1.35,1.7,1,1.6,2.1,1,Americas,2022-02-21 00:00:00
Multiple crises in Algeria,DZA004,Algeria,DZA,Multiple crises country,x,x,x,-,Very Low,4.4,5,4,x,x,x,2.9,3.6,2,Africa,2021-10-21 00:00:00
Venezuela displacement in Ecuador,ECU002,Ecuador,ECU,International displacement,2.6,3,Medium,Increasing,Medium,2,1.7,2.2,3.1,3.2,3,2.1,2.6,1.5,Americas,2022-02-17 00:00:00
Syrian Refugee Crisis in Egypt,EGY002,Egypt,EGY,International displacement,2.5,3,Medium,Stable,Medium,2.3,2.4,2.3,2.4,2.8,2,2.8,3.7,1.5,Africa,2021-10-21 00:00:00
Complex crisis in Eritrea,ERI001,Eritrea,ERI,Complex crisis,3.8,4,High,Stable,Medium,3.4,3.8,3.1,3.5,4,3,4.6,4.1,5,Africa,2021-10-29 00:00:00
Mixed migration flows in spain,ESP002,Spain,ESP,International displacement,1.8,2,Low,Stable,Medium,2.5,2.2,2.6,1.4,1.8,1,1.8,2.1,1.5,Europe,2021-10-25 00:00:00
Complex crisis in Ethiopia,ETH001,Ethiopia,ETH,Complex crisis,4.8,5,Very High,Stable,High,4.7,5,4.5,5,5,5,4.6,4.6,4.5,Africa,2022-02-23 00:00:00
Mixed migration flows in Greece,GRC002,Greece,GRC,International displacement,1.6,2,Low,Decreasing,High,1.9,0.3,2.5,1.2,0.4,2,2.1,2.2,2,Europe,2021-12-29 00:00:00
Complex crisis in Guatemala,GTM001,Guatemala,GTM,Complex crisis,3.6,4,High,Increasing,High,3.8,4.4,3.5,3.65,4.3,3,3.2,3.8,2.5,Americas,2021-11-16 00:00:00
Complex crisis in Honduras,HND001,Honduras,HND,Complex crisis,3.8,4,High,Increasing,High,3.8,4.2,3.5,4.1,4.2,4,3.3,3.6,3,Americas,2021-11-17 00:00:00
Complex crisis in Haiti,HTI001,Haiti,HTI,Complex crisis,4.1,5,Very High,Stable,High,3.8,4,3.7,4.75,4.5,5,3.3,3.6,3,Americas,2021-10-26 00:00:00
Displacement from Ukraine conflict in Hungary,HUN002,Hungary,HUN,International displacement,1.2,2,Low,-,Very High,1.3,0,1.8,1,0,2,1.4,1.7,1,Europe,2022-02-28 00:00:00
Papua Conflict,IDN002,Indonesia,IDN,Conflict,2.3,3,Medium,Increasing,Medium,2.9,1.9,3.3,1.15,1.3,1,3.4,3.2,3.5,Asia,2022-02-21 00:00:00
Conflict in Jammu and Kashmir,IND002,India,IND,Conflict,x,x,x,-,Very Low,3.4,2,3.9,x,x,x,2.2,3.2,1,Asia,2022-02-21 00:00:00
Afghan Refugees in Iran,IRN004,Iran,IRN,International displacement,3.5,4,High,Stable,Medium,2.8,2.7,2.8,4.1,4.2,4,2.9,3.3,2.5,Middle east,2021-12-28 00:00:00
Multiple crises in Iraq,IRQ001,Iraq,IRQ,Multiple crises country,4,4,High,Decreasing,High,4.3,4.9,3.9,3.55,4.1,3,4.5,4.4,4.5,Middle east,2022-02-16 00:00:00
Mixed migration flows in Italy,ITA002,Italy,ITA,International displacement,1.9,2,Low,Stable,Medium,2.7,1.7,3.1,1.6,2.2,1,1.5,1.5,1.5,Europe,2021-10-25 00:00:00
Syrian refugees in Jordan,JOR002,Jordan,JOR,International displacement,2.7,3,Medium,Decreasing,High,2.7,3,2.6,3.05,3.1,3,2.3,3,1.5,Middle east,2022-02-10 00:00:00
Multiple crisis in Kenya ,KEN001,Kenya,KEN,Multiple crises country,3.3,4,High,Stable,High,3.1,3.8,2.6,3.6,4.2,3,3.1,3.6,2.5,Africa,2021-12-17 00:00:00
Socioeconomic crisis in Lebanon,LBN004,Lebanon,LBN,Political and economic crisis,3.6,4,High,Stable,Medium,2.9,3.6,2.5,4.1,4.2,4,3.2,3.3,3,Middle east,2022-02-14 00:00:00
Complex crisis in Libya,LBY001,Libya,LBY,Multiple crises country,3.7,4,High,Decreasing,Very High,4,4.6,3.6,3.1,3.2,3,4.2,4.4,4,Africa,2022-02-21 00:00:00
Drought in Lesotho,LSO002,Lesotho,LSO,Drought,2.2,3,Medium,Increasing,High,2.1,3,1.5,2.75,2.5,3,1.3,1.6,1,Africa,2022-02-23 00:00:00
Mixed migration flows in Morocco,MAR002,Morocco,MAR,International displacement,x,x,x,-,Very Low,3.9,4.8,3.2,x,x,x,2.7,3.6,1.5,Africa,2021-10-25 00:00:00
Multiple crisis in Madagascar,MDG001,Madagascar,MDG,Multiple crises country,3,3,Medium,-,Very High,3.6,4.9,2.5,3.35,3.7,3,1.9,2.3,1.5,Africa,2022-02-23 00:00:00
Multiple crisis in Mexico,MEX001,Mexico,MEX,Multiple crises country,x,x,x,-,High,3.8,5,2.8,x,x,x,3.4,3.7,3,Americas,2021-10-20 00:00:00
Complex crisis in Mali,MLI001,Mali,MLI,Complex crisis,4.4,5,Very High,Stable,Medium,4.3,4.9,3.9,4.3,4.6,4,4.6,4,5,Africa,2022-02-28 00:00:00
Multiple crises in Myanmar,MMR001,Myanmar,MMR,Multiple crises country,4.4,5,Very High,Increasing,High,4.4,4.9,4,4.5,5,4,4.2,4.4,4,Asia,2022-02-22 00:00:00
Multiple Crises in Mozambique,MOZ001,Mozambique,MOZ,Multiple crises country,3.6,4,High,-,High,3.6,4,3.3,3.3,3.6,3,4.1,4.5,3.5,Africa,2022-02-16 00:00:00
Food Security in Mauritania,MRT003,Mauritania,MRT,Drought,2.9,3,Medium,Stable,Low,3.4,4.4,2.8,2.9,2.8,3,2.4,2.7,2,Africa,2021-10-25 00:00:00
Complex crisis in Malawi,MWI002,Malawi,MWI,Complex crisis,3,3,Medium,Increasing,Very High,3.1,4.4,2.2,3.4,3.8,3,2.3,2,2.5,Africa,2022-02-23 00:00:00
International Refugees in Malaysia,MYS001,Malaysia,MYS,International displacement,1.7,2,Low,Stable,High,1.5,1,1.8,1.55,2.1,1,2.1,2.1,2,Asia,2022-02-21 00:00:00
Food Security Crisis in Namibia,NAM002,Namibia,NAM,Food Security,2.4,3,Medium,Increasing,High,2.8,4.3,1.7,3.05,3.1,3,1,1.5,0.5,Africa,2022-02-23 00:00:00
Multiple crises in Niger,NER001,Niger,NER,Multiple crises country,3.9,4,High,Stable,Medium,4.1,4.9,3.6,3.65,4.3,3,4,3.3,4.5,Africa,2022-02-28 00:00:00
Complex crisis in Nigeria,NGA001,Nigeria,NGA,Complex crisis,4.3,5,Very High,Stable,High,4.5,5,4.1,4,5,3,4.7,4.3,5,Africa,2022-02-23 00:00:00
