,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
AFG001,49,49,49,1,1,49,49,49,49,49,397,131,131,131,131,131,131,131,131,131,82.4
AGO002,74,74,74,74,74,74,74,74,74,74,70,74,74,74,74,74,74,74,74,74,73.6
ARM002,460,308,308,308,207,308,308,308,397,397,397,124,124,124,124,124,124,124,124,124,306.2
AZE002,481,438,438,351,460,481,481,481,481,481,481,124,124,124,124,124,124,124,124,124,425.9
BDI001,510,341,341,341,341,341,341,341,341,341,1097,122,122,122,122,122,122,122,122,122,394.7
BFA002,243,243,243,0,0,243,243,243,243,243,1109,124,124,124,124,125,124,124,124,124,269.1
BGD002,397,35,35,6,105,154,35,161,154,154,700,127,127,127,265,131,131,127,127,127,163.1
BRA001,6,6,6,6,6,6,6,6,6,6,6,52,52,52,52,52,52,52,52,52,10.6
BRA002,822,11,11,5,510,11,11,11,11,11,1109,123,123,123,123,123,123,123,123,123,181.3
BRA003,6,6,6,6,6,6,6,6,6,6,6,52,52,52,52,52,52,52,52,52,10.6
CAF001,1112,433,433,0,0,489,489,489,489,489,700,124,124,124,124,124,124,124,124,124,370.2
CHL002,10,10,10,10,10,10,10,10,10,10,7,10,10,10,10,10,10,10,10,10,9.7
CMR001,274,274,274,98,98,273,273,273,273,273,1111,122,122,122,122,122,122,122,122,122,306.8
CMR002,923,125,125,146,98,146,146,146,146,146,1036,123,123,123,123,123,123,123,123,123,225.8
CMR003,1111,368,368,339,339,368,368,368,368,368,923,123,123,123,123,123,123,123,123,123,393.2
CMR004,1111,395,395,339,395,395,395,395,395,395,1111,123,123,123,123,123,123,123,123,123,433.8
COD001,511,53,53,0,0,53,53,53,53,53,1111,124,124,124,124,124,124,124,124,124,155.3
COG001,417,417,417,417,417,417,417,417,417,417,417,123,123,123,123,123,123,123,123,123,387.6
COL001,509,164,164,126,132,164,164,164,164,164,1110,137,137,137,137,137,137,137,132,137,248.9
COL002,396,11,11,164,753,11,11,11,11,11,1110,137,137,137,137,137,137,137,132,137,223
CRI002,753,510,396,396,608,396,396,396,510,510,1054,125,125,125,125,125,125,125,125,125,478.7
DJI001,169,5,5,5,5,5,5,5,5,5,169,124,124,124,124,124,124,124,124,124,33.3
DJI002,169,5,5,5,5,5,5,5,5,5,236,124,124,124,124,124,124,124,124,124,40
