,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score
AFG001,21,21,21,21,21,21,21,21,21,21,369,103,103,103,103,103,103,103,103,103,64
AGO002,46,46,46,46,46,46,46,46,46,46,42,46,46,46,46,46,46,46,46,46,45.6
ARM002,432,280,280,280,179,280,280,280,369,369,369,96,96,96,96,96,96,96,96,96,278.2
AZE002,453,410,410,323,432,453,453,453,453,453,453,96,96,96,96,96,96,96,96,96,397.9
BDI001,482,313,313,313,313,313,313,313,313,313,1069,94,94,94,94,94,94,94,94,94,366.7
BFA002,215,215,215,25,25,215,215,215,215,215,1081,96,96,96,96,97,96,96,96,96,251.7
BGD002,369,7,7,7,77,126,7,133,126,126,672,99,99,99,237,103,103,99,99,99,138
BRA001,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
BRA002,794,67,67,367,482,67,67,67,367,367,1081,95,95,95,95,95,95,95,95,95,302.7
BRA003,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24
CAF001,1084,405,405,125,125,461,461,461,461,461,672,96,96,96,96,96,96,96,96,96,372.8
CMR001,246,246,246,70,70,245,245,245,245,245,1083,94,94,94,94,94,94,94,94,94,278.8
CMR002,895,97,97,118,70,118,118,118,118,118,1008,95,95,95,95,95,95,95,95,95,197.8
CMR003,1083,340,340,311,311,340,340,340,340,340,895,95,95,95,95,95,95,95,95,95,365.2
CMR004,1083,367,367,311,367,367,367,367,367,367,1083,95,95,95,95,95,95,95,95,95,405.8
COD001,483,25,25,25,25,25,25,25,25,25,1083,96,96,96,96,96,96,96,96,96,137.9
COG001,389,389,389,389,389,389,389,389,389,389,389,95,95,95,95,95,95,95,95,95,359.6
COL001,481,136,136,98,104,136,136,136,136,136,1082,109,109,109,109,109,109,109,104,109,220.9
COL002,368,136,136,136,725,136,136,136,136,136,1082,109,109,109,109,109,109,109,104,109,286.8
