,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
AFG001,202,202,202,17,17,116,116,116,116,61,550,81,81,81,81,81,81,81,81,81,139.2,,
AFG005,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,,
AGO002,31,31,31,31,227,31,31,31,31,31,31,80,80,80,80,80,80,80,80,80,55.5,,
ARM002,53,53,53,53,6,53,53,53,550,550,550,76,76,76,76,76,76,76,76,76,199.7,,
AZE002,6,26,26,504,6,26,31,26,26,26,634,76,76,76,76,76,76,76,76,76,138.1,,
BDI001,62,62,62,62,62,62,62,62,62,62,62,80,80,80,80,80,80,80,80,80,63.8,,
BFA002,396,396,396,153,153,396,396,396,396,396,1262,97,97,97,97,97,97,97,97,97,404.1,,
BGD001,32,7,7,7,7,32,32,7,32,32,32,32,32,32,32,32,32,32,32,32,22,,
BGD002,90,7,7,7,7,25,25,7,25,25,853,73,76,76,76,76,76,76,76,76,105.4,,
BGD008,32,32,32,7,7,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,27,,
BRA001,0,0,0,0,0,0,0,0,0,0,0,95,95,95,95,95,95,95,95,95,9.5,,
BRA002,0,0,0,0,0,0,0,0,0,0,0,95,95,95,95,95,95,95,95,95,9.5,,
BRA003,0,0,0,0,0,0,0,0,0,0,0,95,95,95,95,95,95,95,95,95,9.5,,
CAF001,1265,4,4,4,4,31,31,31,31,31,853,95,95,95,95,95,95,95,95,95,111.5,,
CHL002,0,0,0,0,0,0,0,0,0,0,0,95,95,95,95,95,95,95,95,95,9.5,,
CMR001,427,31,31,31,31,31,31,31,31,26,31,82,82,82,82,82,82,82,82,82,35.6,,
CMR002,1076,9,9,9,9,9,9,9,9,9,1189,82,82,82,82,82,82,82,82,82,134.3,,
CMR003,132,9,9,9,9,9,9,9,9,9,1076,82,82,82,82,82,82,82,82,82,123,,
CMR004,132,9,9,9,9,9,9,9,9,9,1264,82,82,82,82,82,82,82,82,82,141.8,,
COD001,664,10,10,10,10,10,26,26,26,26,1264,95,95,95,95,95,95,95,95,95,150.3,,
COG001,32,32,32,32,570,32,32,32,32,570,32,80,80,80,80,80,80,80,80,80,144.4,,
COL001,3,3,3,3,3,3,3,3,3,3,3,82,82,82,82,82,82,82,82,82,10.9,,
COL002,1,1,1,1,1,1,1,1,1,1,1,82,82,82,82,82,82,82,82,82,9.1,,
CRI002,6,6,6,6,6,6,6,6,6,6,6,95,95,95,95,95,95,95,95,95,14.9,,
DJI001,322,5,5,5,5,5,5,5,67,67,322,78,78,78,78,78,78,78,78,78,56.4,,
DJI002,5,5,5,5,5,5,5,5,5,5,5,78,78,78,78,78,78,78,78,78,12.3,,
DJI003,322,5,5,5,5,5,5,5,5,5,322,78,78,78,78,78,78,78,78,78,44,,
DOM002,5,5,5,5,5,5,5,5,5,5,5,95,95,95,95,95,95,95,95,95,14,,
DZA002,0,0,0,0,0,0,0,0,0,0,0,82,82,82,82,82,82,82,82,82,8.2,,
DZA003,0,0,0,0,0,0,0,0,0,0,0,82,82,82,82,82,82,82,82,82,8.2,,
DZA004,77,77,77,77,77,77,77,77,77,77,77,82,82,82,82,82,82,82,82,82,77.5,,
ECU002,0,0,0,0,0,0,0,0,0,0,0,95,95,95,95,95,95,95,95,95,9.5,,
EGY002,0,0,0,0,0,0,0,0,0,0,0,82,82,82,82,82,82,82,82,82,8.2,,
ERI001,74,74,74,74,74,74,74,74,74,74,74,79,79,79,79,79,79,79,79,79,74.5,,
ESP002,0,0,0,0,0,0,0,0,0,0,0,81,81,81,81,81,81,81,81,81,8.1,,
ETH001,37,37,37,37,11,37,37,37,37,37,37,78,78,78,78,78,78,78,78,78,38.5,,
ETH003,37,37,37,11,11,11,11,11,11,11,410,78,78,78,78,78,78,78,78,78,60.2,,
ETH004,37,37,37,11,11,37,37,37,37,37,259,78,78,78,78,78,78,78,78,78,58.1,,
ETH005,35,35,35,35,11,35,35,35,35,35,173,78,78,78,78,78,78,78,78,78,50.7,,
GRC002,1188,102,102,102,6,102,102,102,102,102,1272,96,96,96,96,96,96,96,96,96,208.8,,
GTM001,6,6,6,6,6,6,6,6,6,6,6,87,87,87,87,87,87,87,87,87,14.1,,
HND001,6,6,6,6,6,6,6,5,5,5,5,87,87,87,87,87,87,87,87,87,13.7,,
HTI001,6,6,6,6,6,6,6,6,6,6,6,82,82,82,82,82,82,82,82,82,13.6,,
HTI002,6,6,6,6,6,6,6,6,6,6,6,82,82,82,82,82,82,82,82,82,13.6,,
HUN002,0,0,0,0,0,0,0,0,0,0,0,80,80,80,80,80,80,80,80,80,8,,
IDN002,90,90,90,145,10,55,61,90,90,90,1097,76,76,76,76,76,76,76,76,76,180.4,,
IND002,550,550,550,550,10,550,550,550,550,550,977,76,76,76,76,76,76,76,76,76,491.3,,
IRN004,503,503,40,40,116,40,116,40,40,116,503,84,84,84,84,84,84,84,84,84,113.5,,
IRQ001,117,117,117,6,6,6,6,6,6,6,823,80,80,80,80,80,80,80,80,80,106.2,,
IRQ002,117,117,117,117,6,117,117,117,117,117,906,80,80,80,80,80,80,80,80,80,181.1,,
IRQ003,117,117,117,6,117,6,6,6,6,6,1262,80,80,80,80,80,80,80,80,80,161.2,,
ITA002,0,0,0,0,0,0,0,0,0,0,0,81,81,81,81,81,81,81,81,81,8.1,,
JOR002,397,397,12,12,608,12,12,115,115,115,758,83,83,83,83,83,83,83,83,83,184.2,,
KEN001,37,37,37,37,37,37,37,37,37,37,37,80,80,80,80,80,80,80,80,80,41.3,,
KEN002,37,37,37,37,37,37,37,37,37,37,37,80,80,80,80,80,80,80,80,80,41.3,,
KEN003,37,37,37,37,37,37,37,37,37,37,37,80,80,80,80,80,80,80,80,80,41.3,,
LBN002,354,354,109,109,109,109,109,109,109,109,786,77,77,77,77,77,77,77,77,77,173.5,,
LBN004,354,109,109,109,6,109,109,109,109,109,823,77,77,77,77,77,77,77,77,77,166.9,,
LBY001,0,0,0,0,0,0,0,0,0,0,0,77,77,77,77,77,77,77,77,77,7.7,,
LBY002,0,0,0,0,0,0,0,0,0,0,0,77,77,77,77,77,77,77,77,77,7.7,,
LKA002,41,41,41,41,3,41,41,41,41,41,41,40,40,40,40,40,40,40,40,40,37.1,,
LSO002,322,182,182,660,64,182,182,182,182,182,322,78,78,78,78,78,78,78,78,78,221.6,,
MAR002,0,0,0,0,0,0,0,0,0,0,0,82,82,82,82,82,82,82,82,82,8.2,,
MDA002,0,0,0,0,0,0,0,0,0,0,0,80,80,80,80,80,80,80,80,80,8,,
MDG001,158,158,132,132,94,132,132,132,132,132,187,78,78,78,78,78,78,78,78,78,128.3,,
MDG002,187,187,187,187,11,11,11,11,11,187,187,78,78,78,78,78,78,78,78,78,88.1,,
MDG006,158,158,132,132,132,132,132,132,132,132,187,78,78,78,78,78,78,78,78,78,132.1,,
MEX001,6,6,6,6,6,6,6,6,6,6,6,80,80,80,80,80,80,80,80,80,13.4,,
MEX002,6,6,6,6,6,6,6,6,6,6,6,80,80,80,80,80,80,80,80,80,13.4,,
MEX003,6,6,6,6,6,6,6,6,6,6,6,80,80,80,80,80,80,80,80,80,13.4,,
MLI001,32,32,32,32,32,32,32,32,32,32,32,97,97,97,97,97,97,97,97,97,38.5,,
MMR001,83,54,54,7,7,54,83,83,54,83,545,76,76,76,76,76,76,76,76,76,104.6,,
MMR002,83,54,54,7,7,54,54,189,54,189,545,76,76,76,76,76,76,76,76,76,122.9,,
MMR003,545,188,188,34,7,188,188,188,188,188,545,76,76,76,76,76,76,76,76,76,179,,
MMR004,83,54,83,7,7,54,83,83,83,83,403,76,76,76,76,76,76,76,76,76,96.2,,
MOZ001,181,181,100,4,4,100,100,100,100,100,128,79,79,79,79,79,79,79,79,79,81.5,,
MOZ004,520,381,181,4,4,128,128,128,128,128,381,79,79,79,79,79,79,79,79,79,128.9,,
MOZ008,128,128,100,100,100,100,100,100,100,100,128,79,79,79,79,79,79,79,79,79,100.7,,
MRT002,5,5,5,5,5,5,5,5,5,5,1263,77,77,77,77,77,77,77,77,77,138,,
MRT003,671,5,5,704,5,5,5,5,5,5,704,77,77,77,77,77,77,77,77,77,152,,
MWI002,322,322,125,125,13,125,42,42,125,125,158,78,78,78,78,78,78,78,78,78,95.8,,
MWI004,181,181,181,181,181,26,42,42,181,181,181,78,78,78,78,78,78,78,78,78,127.4,,
MYS001,61,61,61,34,34,109,34,34,109,109,489,76,76,76,76,76,76,76,76,76,108.9,,
NAM002,385,216,216,905,13,216,216,216,216,216,385,78,78,78,78,78,78,78,78,78,267.7,,
NER001,31,31,31,31,31,31,31,31,31,31,31,97,97,97,97,97,97,97,97,97,37.6,,
NER002,1265,548,548,153,153,548,548,548,548,548,1265,97,97,97,97,97,97,97,97,97,495.6,,
NER003,1265,548,548,153,153,548,548,548,548,548,1265,97,97,97,97,97,97,97,97,97,495.6,,
NER004,548,548,548,305,305,548,548,548,548,548,958,97,97,97,97,97,97,97,97,97,495.3,,
NGA001,1124,158,6,6,6,6,6,6,6,6,1124,77,77,77,77,77,77,77,77,77,124.9,,
NGA003,608,32,6,6,6,6,6,6,6,6,1125,77,77,77,77,77,77,77,77,77,125,,
NGA004,1126,32,32,6,6,32,32,32,32,32,1126,80,80,80,80,80,80,80,80,80,141,,
NGA007,824,34,6,6,6,6,6,6,6,6,958,79,79,79,79,79,79,79,79,79,108.5,,
NGA008,397,34,6,6,6,6,6,6,6,6,914,79,79,79,79,79,79,79,79,79,104.1,,
NIC001,5,5,5,5,5,5,5,5,5,5,5,95,95,95,95,95,95,95,95,95,14,,
PAK001,215,202,202,215,3,202,202,202,202,202,1270,83,83,83,83,83,83,83,83,83,278.3,,
PAK004,215,215,215,215,116,215,215,215,215,215,1250,76,76,76,76,76,76,76,76,76,294.7,,
PAK005,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,,
PAN002,5,5,5,5,5,5,5,5,5,5,5,95,95,95,95,95,95,95,95,95,14,,
PER002,0,0,0,0,0,0,0,0,0,0,0,90,90,90,90,90,90,90,90,90,9,,
PHL001,189,224,7,7,7,7,7,7,224,224,224,76,76,76,76,76,76,76,76,76,79,,
PHL003,975,370,7,7,7,7,515,7,515,515,975,76,76,76,76,76,76,76,76,76,263.1,,
PHL010,189,224,7,7,7,7,7,224,224,224,224,76,76,76,76,76,76,76,76,76,100.7,,
POL002,0,0,0,0,0,0,0,0,0,0,0,80,80,80,80,80,80,80,80,80,8,,
PRK001,495,495,495,409,6,853,853,853,853,853,1280,76,76,76,76,76,76,76,76,76,653.1,,
PSE002,193,193,193,193,34,117,117,117,117,117,1270,83,83,83,83,83,83,83,83,83,235.8,,
REG001,794,492,492,492,492,492,492,492,492,492,1187,97,97,97,97,97,97,97,97,97,522,,
REG002,139,139,139,139,139,139,139,139,139,139,1188,79,79,79,79,79,79,79,79,79,237.9,,
REG003,986,986,663,986,7,986,1193,1193,1193,1193,1193,76,76,76,76,76,76,76,76,76,868.3,,
REG004,32,32,6,6,6,6,6,6,6,6,1167,77,77,77,77,77,77,77,77,77,129.2,,
REG006,101,101,6,6,6,6,6,6,6,101,1170,77,77,77,77,77,77,77,77,77,139,,
REG007,1192,1192,1192,1192,487,1192,1192,1192,1192,1192,1192,77,77,77,77,77,77,77,77,77,1010,,
REG008,1192,1192,1192,1192,487,1192,1192,1192,1192,1192,1192,77,77,77,77,77,77,77,77,77,1010,,
REG011,503,7,7,7,7,54,31,7,54,188,503,76,76,76,76,76,76,76,76,76,93.4,,
REG012,7,7,7,7,7,7,7,7,7,7,7,78,78,78,78,78,78,78,78,78,14.1,,
REG013,34,34,34,34,6,34,34,34,34,34,34,76,76,76,76,76,76,76,76,76,35.4,,
REG014,125,125,125,125,125,125,125,125,125,151,151,78,78,78,78,78,78,78,78,78,125.5,,
ROU002,0,0,0,0,0,0,0,0,0,0,0,80,80,80,80,80,80,80,80,80,8,,
RWA002,123,123,60,60,639,123,123,60,123,123,123,82,82,82,82,82,82,82,82,82,151.6,,
SDN001,398,216,216,11,11,216,216,216,216,216,398,78,78,78,78,78,78,78,78,78,179.4,,
SDN005,398,398,398,11,11,35,11,11,11,11,321,78,78,78,78,78,78,78,78,78,89.8,,
SDN008,35,35,35,11,11,35,35,35,35,35,457,78,78,78,78,78,78,78,78,78,76.7,,
SEN002,32,32,548,962,1284,32,32,32,32,548,32,80,80,80,80,80,80,80,80,80,358.2,,
SLV001,6,6,6,6,6,6,6,6,6,6,6,87,87,87,87,87,87,87,87,87,14.1,,
SOM001,1014,254,254,69,69,69,69,69,69,69,1277,82,82,82,82,82,82,82,82,82,209.6,,
SOM002,433,433,433,433,185,433,433,433,433,433,433,80,80,80,80,80,80,80,80,80,372.9,,
SSD001,1129,123,123,123,123,123,123,123,123,123,123,82,82,82,82,82,82,82,82,82,118.9,,
SVK002,0,0,0,0,0,0,0,0,0,0,0,80,80,80,80,80,80,80,80,80,8,,
SWZ001,385,24,24,899,24,24,24,24,24,24,385,78,78,78,78,78,78,78,78,78,153,,
SYR001,158,158,158,115,34,115,115,115,115,115,1278,77,77,77,77,77,77,77,77,77,223.7,,
TCD001,586,492,586,251,4,586,586,4,4,4,586,81,81,81,81,81,81,81,81,81,269.2,,
TCD003,1262,4,4,4,4,4,4,4,4,4,1262,81,81,81,81,81,81,81,81,81,137.5,,
TCD004,859,859,859,4,4,4,859,859,859,859,1262,81,81,81,81,81,81,81,81,81,565,,
TCD005,859,4,4,4,4,4,859,859,4,4,1262,81,81,81,81,81,81,81,81,81,308.5,,
TCD006,1262,859,859,1262,4,732,732,732,732,732,1004,81,81,81,81,81,81,81,81,81,687,,
THA001,1097,6,6,6,6,6,90,6,90,90,1264,76,76,76,76,76,76,76,76,76,164,,
THA002,1097,1097,277,1097,6,90,853,853,853,853,1264,76,76,76,76,76,76,76,76,76,622.2,,
THA003,90,6,6,6,549,6,90,6,90,90,1264,76,76,76,76,76,76,76,76,76,218.3,,
TON002,193,193,125,125,193,125,125,125,125,125,193,76,76,76,76,76,76,76,76,76,133.7,,
