,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
,,,,MAX,6,,1,,7.5,,1,,,7.5,,1,,6.5,,0.15,,3.5,,0.0001,,,
,,,,MIN,3,,0.02,,6,,0.01,,,4.5,,0.01,,3,,0,,0,,0,,,
CRISIS,TYPE OF CRISIS,CRISIS ID,COUNTRY,Iso3,,,,,,,,,,,,,,,,,,,,,,,
Complex crisis in Afghanistan,Complex crisis,AFG001,Afghanistan,AFG,4.7,1.0000107220537329,5,4.85,5,1,5,5,4.9,5,0.8588516746411483,4.3,4.65,5,0.342924791086351,5,5,4.7,5.292479108635098e-05,2.6,3.7,4.5,4.6
Earthquake in Khost and Paktika,Earthquake,AFG005,Afghanistan,AFG,2.3,0.03637992831541219,0.1,1.2,0.9,0.04416267942583732,0.2,0.55,0.9,1.8,0.19609967497291442,0.9,1.35,x,x,x,x,4.3,0.0028701657458563537,5,4.7,4.7,3.5
Drought in South-West Angola,Food Security,AGO002,Angola,AGO,5,1,5,5,1.5,0.08367309681737967,0.4,0.95,3.7,3.1,0.8243636363636364,4.1,3.5999999999999996,2.5,0.025143361270401413,0.8,1.7,0,0,0,0,0.9,2.5
Nagorno-Karabakh Conflict in Armenia,Conflict,ARM002,Armenia,ARM,1.1,0.1545135230066737,0.7,0.9,0.7,0.5441767068273092,2.7,1.7000000000000002,1.3,0.1,0.020910209102091022,0.1,0.1,2,0.7941176470588235,5,3.5,1.3,0.00023529411764705883,5,3.2,3.4,2.1
Nagorno-Karabakh conflict in Azerbaijan,Conflict,AZE002,Azerbaijan,AZE,2.5,0.38179112783228286,1.8,2.15,2.6,0.5850597609561753,2.9,2.75,2.5,3.8,1,5,4.4,2.8,0.015491998638066053,0.5,1.7,1.4,1.7024174327545115e-06,0.1,0.8,1.3,3.2
Complex in Burundi,Complex crisis,BDI001,Burundi,BDI,2.3,1,5,3.65,3.7,1,5,4.35,4,4.4,1,5,4.7,4,0.052153846153846155,1.7,2.9,3,9.538461538461538e-06,0.5,1.8,2.4,3.8
Conflict in Burkina Faso,Conflict,BFA002,Burkina Faso,BFA,3.7,0.6083516081871345,3,3.35,1.8,0.16669032410693163,0.8,1.3,2.5,3.4,0.9770082316207778,4.9,4.15,4.6,0.4692039511911679,5,4.8,4.6,0.0004726902963393376,5,4.8,4.8,4.5
