INFORM Severity Index - all crises. Release: June 2022,,,,,,,,,,,,,,,,,,,,
CRISIS,CRISIS ID,COUNTRY,ISO3,TYPE OF CRISIS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,,,,
(a-z),,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Complex crisis in Afghanistan,AFG001,Afghanistan,AFG,Complex crisis,4.5,5,Very High,Decreasing,High,4.7,4.9,4.6,4.5,5,4,4.3,4,4.5,Asia,2022-06-29 00:00:00
Earthquake in Khost and Paktika,AFG005,Afghanistan,AFG,Earthquake,3,3,Medium,-,Very High,2.8,0.9,3.5,2.8,2.6,3,3.5,4,3,Asia,2022-06-29 00:00:00
Drought in South-West Angola,AGO002,Angola,AGO,Food Security,3.2,4,High,Stable,Very High,3,3.7,2.5,3.85,3.7,4,2.4,3.1,1.5,Africa,2022-06-30 00:00:00
Nagorno-Karabakh Conflict in Armenia,ARM002,Armenia,ARM,Conflict,1.3,2,Low,Decreasing,High,1.8,1.3,2.1,0.85,0.7,1,1.5,1.9,1,Middle east,2022-06-23 00:00:00
Nagorno-Karabakh conflict in Azerbaijan,AZE002,Azerbaijan,AZE,Conflict,x,x,x,-,Very Low,3,2.5,3.2,x,x,x,2.3,2.6,2,Middle east,2022-06-30 00:00:00
Complex in Burundi,BDI001,Burundi,BDI,Complex crisis,3.5,4,High,Decreasing,Very High,3.9,4,3.8,3.4,3.8,3,3.3,3,3.5,Africa,2022-05-30 00:00:00
Conflict in Burkina Faso,BFA002,Burkina Faso,BFA,Conflict,3.9,4,High,Stable,High,4,2.5,4.5,4.3,3.6,5,3.3,3.1,3.5,Africa,2022-04-25 00:00:00
Rohingya refugee crisis,BGD002,Bangladesh,BGD,International displacement,3,3,Medium,Decreasing,High,2.7,0.2,3.5,3.3,3.6,3,2.9,2.7,3,Asia,2022-06-29 00:00:00
2022 Floods in Bangladesh,BGD008,Bangladesh,BGD,Flood,3.1,4,High,-,Very High,2.4,2.7,2.3,3.6,4.2,3,2.6,2.7,2.5,Asia,2022-06-29 00:00:00
Venezuela displacement in Brazil,BRA002,Brazil,BRA,International displacement,2.4,3,Medium,Decreasing,High,3,3.3,2.9,1.75,2.5,1,2.7,2.9,2.5,Americas,2022-06-30 00:00:00
Floods in rainy season 2022,BRA003,Brazil,BRA,Flood,2.2,3,Medium,Increasing,Very High,3.1,3.7,2.7,1.2,1.4,1,2.7,2.9,2.5,Americas,2022-06-30 00:00:00
Complex crisis in CAR,CAF001,CAR,CAF,Complex crisis,4.1,5,Very High,Decreasing,Very High,4.5,4.3,4.6,3.95,3.9,4,4.1,4.1,4,Africa,2022-06-30 00:00:00
Venezuela displacement in Chile,CHL002,Chile,CHL,International displacement,2.6,3,Medium,Increasing,Very High,3.7,4.8,2.9,2.4,2.8,2,2,1.5,2.5,Americas,2022-06-30 00:00:00
Boko Haram in Cameroon,CMR002,Cameroon,CMR,Conflict,3.7,4,High,Increasing,High,2.9,1.3,3.5,3.75,3.5,4,4.1,3.7,4.5,Africa,2022-05-10 00:00:00
Anglophone Crisis in Cameroon,CMR003,Cameroon,CMR,Conflict,3.6,4,High,Increasing,High,3.1,2.3,3.5,3.85,3.7,4,3.6,3.7,3.5,Africa,2022-05-10 00:00:00
CAR refugees in Cameroon,CMR004,Cameroon,CMR,International displacement,3.1,4,High,Increasing,High,3,2.4,3.2,3,3,3,3.2,3.7,2.5,Africa,2022-05-10 00:00:00
Complex crisis in DRC,COD001,DRC,COD,Complex crisis,4.2,5,Very High,Decreasing,High,4.4,4.7,4.3,4,5,3,4.4,4.3,4.5,Africa,2022-06-30 00:00:00
Complex crisis in Congo,COG001,Congo,COG,Complex crisis,2.4,3,Medium,Decreasing,Medium,3.1,3,3.1,2,1,3,2.4,2.8,2,Africa,2022-06-29 00:00:00
Complex crisis in Colombia,COL001,Colombia,COL,Complex crisis,3.9,4,High,Decreasing,Very High,3.7,5,2.7,4.4,4.8,4,3.2,2.9,3.5,Americas,2022-05-10 00:00:00
Venezuela displacement in Colombia,COL002,Colombia,COL,International displacement,3.5,4,High,Stable,High,3.3,2.7,3.5,3.75,4.5,3,3.2,2.9,3.5,Americas,2022-05-10 00:00:00
Nicaraguan refugees in Costa Rica,CRI002,Costa Rica,CRI,International displacement,1.3,2,Low,Increasing,Medium,2.2,0.7,2.8,1,0,2,1,0.9,1,Americas,2022-06-29 00:00:00
Mixed migration in Djibouti,DJI002,Djibouti,DJI,International displacement,1.5,2,Low,Decreasing,High,2,3.1,1.3,0.95,0.9,1,2,2.4,1.5,Africa,2022-05-25 00:00:00
Drought in Djibouti,DJI003,Djibouti,DJI,Drought,2.4,3,Medium,Decreasing,High,2,3.1,1.3,2.45,1.9,3,2.5,2.4,2.5,Africa,2022-05-25 00:00:00
Venezuela displacement in Dominican Republic,DOM002,Dominican Republic,DOM,International displacement,2.1,3,Medium,Stable,High,3.6,4,3.3,1.85,1.7,2,1.2,1.4,1,Americas,2022-06-29 00:00:00
Mixed migration flows in Algeria,DZA002,Algeria,DZA,International displacement,x,x,x,-,Medium,3.9,5,3.1,x,x,x,2.3,2.9,1.5,Africa,2022-05-15 00:00:00
Sahrawi refugees in Algeria,DZA003,Algeria,DZA,International displacement,2.3,3,Medium,Stable,High,2.2,1.1,2.6,2.3,1.6,3,2.3,2.9,1.5,Africa,2022-05-15 00:00:00
Venezuela displacement in Ecuador,ECU002,Ecuador,ECU,International displacement,2.5,3,Medium,Increasing,Medium,2,1.7,2.2,3.1,3.2,3,1.8,2.1,1.5,Americas,2022-04-27 00:00:00
Syrian Refugee Crisis in Egypt,EGY002,Egypt,EGY,International displacement,2.9,3,Medium,Increasing,Very High,2.4,2.4,2.4,3.5,4,3,2.2,2.8,1.5,Africa,2022-05-16 00:00:00
Complex crisis in Eritrea,ERI001,Eritrea,ERI,Complex crisis,3.7,4,High,Stable,High,3.6,4,3.3,3.25,3.5,3,4.3,3.3,5,Africa,2022-05-18 00:00:00
Mixed migration flows in spain,ESP002,Spain,ESP,International displacement,1.6,2,Low,Decreasing,Medium,2.5,2.2,2.6,1.4,1.8,1,1.3,1.6,1,Europe,2022-05-11 00:00:00
Complex crisis in Ethiopia,ETH001,Ethiopia,ETH,Complex crisis,4.6,5,Very High,Decreasing,Very High,4.6,4.8,4.5,5,5,5,3.9,3.8,4,Africa,2022-06-24 00:00:00
International Displacement,ETH003,Ethiopia,ETH,International displacement,2.6,3,Medium,Decreasing,Very High,3.3,4.8,2.1,1.8,1.6,2,3.2,3.8,2.5,Africa,2022-06-24 00:00:00
Northern Ethiopia Conflict,ETH004,Ethiopia,ETH,Conflict,4.2,5,Very High,Decreasing,High,4,3,4.4,4.5,5,4,3.9,3.8,4,Africa,2022-06-24 00:00:00
Drought in Ethiopia,ETH005,Ethiopia,ETH,Drought,3.5,4,High,Increasing,High,2.7,3.9,1.9,3.9,4.8,3,3.4,3.8,3,Africa,2022-06-26 00:00:00
Mixed migration flows in Greece,GRC002,Greece,GRC,International displacement,1.6,2,Low,Stable,High,2.3,0.3,3,1.25,0.5,2,1.7,1.9,1.5,Europe,2022-04-26 00:00:00
Complex crisis in Guatemala,GTM001,Guatemala,GTM,Complex crisis,3.6,4,High,Stable,Very High,3.7,4.4,3.2,3.65,4.3,3,3.4,3.2,3.5,Americas,2022-06-29 00:00:00
Complex crisis in Honduras,HND001,Honduras,HND,Complex crisis,3.3,4,High,Decreasing,Very High,3.5,4.2,3.1,3.55,4.1,3,2.8,3,2.5,Americas,2022-06-30 00:00:00
Complex crisis in Haiti,HTI001,Haiti,HTI,Complex crisis,4.2,5,Very High,Stable,High,3.9,4,3.8,4.7,4.4,5,3.6,3.2,4,Americas,2022-06-28 00:00:00
Nippes Earthquake ,HTI002,Haiti,HTI,Earthquake,3.1,4,High,Stable,High,3.1,2.4,3.4,3,3,3,3.1,3.2,3,Americas,2022-06-28 00:00:00
Displacement from Ukraine conflict in Hungary,HUN002,Hungary,HUN,International displacement,1.4,2,Low,Increasing,High,2.1,0.1,2.8,1,0,2,1.5,1.4,1.5,Europe,2022-05-12 00:00:00
Papua Conflict,IDN002,Indonesia,IDN,Conflict,2.6,3,Medium,Increasing,High,2.9,2.1,3.3,1.85,1.7,2,3.3,2.5,4,Asia,2022-06-27 00:00:00
Conflict in Jammu and Kashmir,IND002,India,IND,Conflict,x,x,x,-,Very Low,2.9,2,3.3,x,x,x,2.3,2.5,2,Asia,2022-06-27 00:00:00
Afghan Refugees in Iran,IRN004,Iran,IRN,International displacement,3.6,4,High,Increasing,Medium,3.6,2.7,3.9,4.05,4.1,4,2.9,3.3,2.5,Middle east,2022-06-21 00:00:00
Conflict  in Iraq,IRQ002,Iraq,IRQ,Conflict,3.9,4,High,Stable,High,4.2,4.7,3.9,3.5,4,3,4.1,3.6,4.5,Middle east,2022-06-27 00:00:00
Syrian and Palestinian refugees in iraq,IRQ003,Iraq,IRQ,International displacement,3,3,Medium,Increasing,Medium,2.6,1.5,3.1,2.9,2.8,3,3.6,3.6,3.5,Middle east,2022-06-27 00:00:00
Mixed migration flows in Italy,ITA002,Italy,ITA,International displacement,1.9,2,Low,Stable,Medium,2.7,1.7,3.1,1.6,2.2,1,1.5,1.5,1.5,Europe,2022-05-11 00:00:00
Syrian refugees in Jordan,JOR002,Jordan,JOR,International displacement,2.7,3,Medium,Stable,Medium,2.7,3,2.6,3.1,3.2,3,2,2.5,1.5,Middle east,2022-05-09 00:00:00
Refugee situation in Kenya,KEN002,Kenya,KEN,International displacement,2.8,3,Medium,Increasing,High,2.9,0.9,3.6,2.95,2.9,3,2.5,2.9,2,Africa,2022-06-24 00:00:00
Drought in Kenya,KEN003,Kenya,KEN,Drought,3.5,4,High,Increasing,High,3.2,3.8,2.8,4.2,4.4,4,2.5,2.9,2,Africa,2022-06-24 00:00:00
Syrian refugees in Lebanon,LBN002,Lebanon,LBN,International displacement,3.5,4,High,Increasing,Medium,4.2,3.6,4.5,3.8,3.6,4,2.6,2.6,2.5,Middle east,2022-06-27 00:00:00
