,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
AFG001,171,171,171,8,2,85,85,85,85,30,519,50,50,50,50,50,50,50,50,50,112,,
AFG005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
AGO002,0,0,0,0,196,0,0,0,0,0,0,49,49,49,49,49,49,49,49,49,24.5,,
ARM002,22,22,22,22,7,22,22,22,519,519,519,45,45,45,45,45,45,45,45,45,171.9,,
AZE002,603,560,560,473,7,603,0,603,603,603,603,45,45,45,45,45,45,45,45,45,410,,
BDI001,31,31,31,31,31,31,31,31,31,31,31,49,49,49,49,49,49,49,49,49,32.8,,
BFA002,365,365,365,122,122,365,365,365,365,365,1231,66,66,66,66,66,66,66,66,66,373.1,,
BGD001,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
BGD002,59,3,3,3,3,59,107,3,276,276,822,42,45,45,45,45,45,45,45,45,159.4,,
BGD008,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,
BRA001,0,0,0,0,0,0,0,0,0,0,0,64,64,64,64,64,64,64,64,64,6.4,,
BRA002,0,0,0,0,0,0,0,0,0,0,0,64,64,64,64,64,64,64,64,64,6.4,,
BRA003,0,0,0,0,0,0,0,0,0,0,0,64,64,64,64,64,64,64,64,64,6.4,,
CAF001,1234,0,0,30,30,0,0,0,0,0,822,64,64,64,64,64,64,64,64,64,94.6,,
CHL002,0,0,0,0,0,0,0,0,0,0,0,64,64,64,64,64,64,64,64,64,6.4,,
CMR001,396,0,0,0,0,0,0,0,0,395,0,51,51,51,51,51,51,51,51,51,44.6,,
CMR002,1045,247,247,268,220,268,268,268,268,268,1158,51,51,51,51,51,51,51,51,51,328.4,,
CMR003,101,101,101,461,461,101,101,101,101,101,1045,51,51,51,51,51,51,51,51,51,262.4,,
CMR004,101,101,101,101,517,101,101,101,101,101,1233,51,51,51,51,51,51,51,51,51,250.8,,
COD001,633,0,175,3,3,175,175,175,175,175,1233,64,64,64,64,64,64,64,64,64,235.3,,
COG001,1,1,1,1,539,1,1,1,1,539,1,49,49,49,49,49,49,49,49,49,113.4,,
COL001,91,91,91,91,91,91,91,91,91,91,91,51,51,51,51,51,51,51,51,51,87,,
COL002,91,91,91,91,91,91,91,91,91,91,91,51,51,51,51,51,51,51,51,51,87,,
CRI002,1,1,1,1,1,1,1,1,1,1,1,64,64,64,64,64,64,64,64,64,7.3,,
DJI001,291,36,36,36,36,36,36,36,36,36,291,47,47,47,47,47,47,47,47,47,62.6,,
DJI002,291,36,36,36,36,36,36,36,36,36,358,47,47,47,47,47,47,47,47,47,69.3,,
DJI003,291,36,36,291,36,36,36,36,36,36,291,47,47,47,47,47,47,47,47,47,88.1,,
DOM002,1,1,1,1,1,1,1,1,1,1,1,64,64,64,64,64,64,64,64,64,7.3,,
DZA002,46,46,46,46,46,46,46,46,46,46,46,51,51,51,51,51,51,51,51,51,46.5,,
DZA003,46,46,46,46,46,46,46,46,46,46,46,51,51,51,51,51,51,51,51,51,46.5,,
