,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,1.4,2.8,1.5,0,2.1,113.4,0,High
AGO002,0.6,0.5,1.4,0,1.2,104.6,0,Very High
ARM002,2.2,2,4.6,0,1.8,337.2,0,Medium
AZE002,4.2,x,5,3.3,x,456.9,2,Very Low
BDI001,0.7,2,0.2,0,1.8,18,0,Very High
BFA002,1.5,0.5,4.1,0,1.2,300.1,0,High
BGD002,1.9,1.5,2.5,1.7,1.6,182,1,High
BRA001,1.3,3.3,0.6,0,2.3,41.6,0,High
BRA002,2,3,2.9,0,2.2,212.3,0,High
BRA003,1.4,3.5,0.6,0,2.4,41.6,0,High
CAF001,2.8,3.5,5,0,2.4,401.2,0,Medium
CHL002,1,2.5,0.5,0,2,40.7,0,Very High
CMR001,1.7,0.5,4.6,0,1.2,337.8,0,High
CMR002,1.3,0.3,3.5,0,1.1,256.8,0,High
CMR003,1.2,1,2.6,0,1.4,190.8,0,High
CMR004,1.5,0.5,2.4,1.7,1.2,179.2,1,High
COD001,1,0.5,2.5,0,1.2,186.3,0,Very High
COG001,3.9,3.3,5,3.3,2.3,418.6,2,Low
COL001,0.2,0.5,0.2,0,1.2,16.8,0,Very High
COL002,1,2.8,0.2,0,2.1,16.8,0,Very High
CRI002,2.8,3.3,5,0,2.3,509.7,0,Medium
DJI001,0.9,2.3,0.5,0,1.9,38.7,0,Very High
DJI002,1,2.3,0.6,0,1.9,45.4,0,Very High
DJI003,2.1,2.3,2.4,1.7,1.9,175.9,1,Medium
DOM002,2.1,2.5,0.5,3.3,2,38,2,Medium
DZA002,5,x,5,5,x,664.3,3,Very Low
DZA003,2.9,3.8,5,0,2.5,751.2,0,Medium
DZA004,5,x,5,5,x,582.1,3,Very Low
ECU002,2.4,3.5,3.6,0,2.4,261.3,0,Medium
EGY002,2.8,3.8,4.6,0,2.5,336.9,0,Medium
ERI001,2.9,3.8,5,0,2.5,500.8,0,Medium
ESP002,2.4,2.3,4.8,0,1.9,349.8,0,Medium
ETH001,1.6,2,2.8,0,1.8,207.3,0,High
ETH003,1,2,1,0,1.8,74.8,0,Very High
ETH004,1.5,3.3,1.2,0,2.3,90.1,0,High
ETH005,1.3,3.8,0.2,0,2.5,17.4,0,High
GRC002,1.9,2.5,3.2,0,2,230.7,0,High
GTM001,1.3,2,1.9,0,1.8,137.5,0,High
HND001,1.3,2,1.9,0,1.8,136.4,0,High
