,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,1.4,2.8,1.5,0,2.1,107.3,0,High
AGO002,0.9,0.5,2.3,0,1.2,165.6,0,Very High
ARM002,2.3,2,5,0,1.8,398.2,0,Medium
AZE002,4.2,x,5,3.3,x,463.9,2,Very Low
BDI001,0.8,2,0.3,0,1.8,22.3,0,Very High
BFA002,1.8,0.5,4.9,0,1.2,361.1,0,High
BGD002,1.3,1.8,2.2,0,1.7,160.9,0,High
BRA001,1.6,3.3,1.4,0,2.3,102.6,0,High
BRA002,2.2,3,3.7,0,2.2,273.3,0,Medium
BRA003,1.6,3.5,1.4,0,2.4,102.6,0,High
CAF001,2.8,3.5,5,0,2.4,385.7,0,Medium
CHL002,1.3,2.5,1.4,0,2,101.7,0,High
CMR001,1.8,0.5,5,0,1.2,398.8,0,High
CMR002,1.6,0.3,4.4,0,1.1,317.8,0,High
CMR003,1.5,1,3.4,0,1.4,251.8,0,High
CMR004,1.8,0.5,3.3,1.7,1.2,240.2,1,High
COD001,1.3,0.5,3.3,0,1.2,238.1,0,High
COG001,3.9,3.3,5,3.3,2.3,479.6,2,Low
COL001,0.5,0.5,1.1,0,1.2,77.8,0,Very High
COL002,1.3,2.8,1.1,0,2.1,77.8,0,High
CRI002,2.8,3.3,5,0,2.3,570.7,0,Medium
DJI001,1,2.3,0.7,0,1.9,52.5,0,Very High
DJI002,1,2.3,0.8,0,1.9,59.2,0,Very High
DJI003,1.7,2.3,1.1,1.7,1.9,78,1,High
DOM002,2.4,2.5,1.3,3.3,2,99,2,Medium
DZA002,2.8,x,0.5,5,x,36.6,3,Medium
DZA003,1.4,3.8,0.5,0,2.5,36.6,0,High
DZA004,2.8,x,0.5,5,x,36.6,3,Medium
ECU002,2.6,3.5,4.4,0,2.4,322.3,0,Medium
EGY002,1,2.5,0.5,0,2,35.7,0,Very High
ERI001,1.7,3,0.4,1.7,2.2,33.1,1,High
ESP002,2.4,2.3,5,0,1.9,410.8,0,Medium
ETH001,1.8,2,3.5,0,1.8,255.5,0,High
ETH003,1.1,2,1.2,0,1.8,91,0,High
ETH004,1.6,3.3,1.5,0,2.3,107.3,0,High
ETH005,1.2,3.3,0.3,0,2.3,25.7,0,High
GRC002,2,3.5,2.4,0,2.4,176.2,0,High
GTM001,1.6,2,2.7,0,1.8,198.5,0,High
HND001,1.6,2,2.7,0,1.8,197.4,0,High
HTI001,0.9,2,0.6,0,1.8,45.1,0,Very High
HTI002,1.4,3,1.3,0,2.2,96.7,0,High
HUN002,1,2.3,0.8,0,1.9,57.8,0,Very High
IDN002,1.7,3,2.1,0,2.2,151.2,0,High
IND002,4.3,2.8,5,5,2.1,455.8,3,Very Low
IRN004,2.5,4.3,1.5,1.7,2.7,110.5,1,Medium
IRQ001,1.9,3.8,1.9,0,2.5,137.7,0,High
IRQ002,1.2,1.5,2,0,1.6,146,0,High
IRQ003,2.6,3.5,2.6,1.7,2.4,187.2,1,Medium
ITA002,2.4,2.3,5,0,1.9,410.7,0,Medium
JOR002,2.1,3.8,2.5,0,2.5,184.5,0,Medium
KEN001,1.5,2.8,1.7,0,2.1,124.4,0,High
KEN002,2.1,2.8,1.7,1.7,2.1,124.4,1,Medium
KEN003,2.7,2.8,1.9,3.3,2.1,142.6,2,Medium
LBN002,2.3,3.5,1.8,1.7,2.4,133.2,1,Medium
LBN004,2.4,3.5,1.9,1.7,2.4,136.9,1,Medium
LBY001,0.8,2,0.4,0,1.8,27.9,0,Very High
LBY002,0.9,2.3,0.4,0,1.9,27.9,0,Very High
LSO002,1.5,2,2.5,0,1.8,180.5,0,High
MAR002,5,x,5,5,x,624,3,Very Low
MDA002,1,2.3,0.8,0,1.9,56.3,0,Very High
MDG001,0.7,1,1.1,0,1.4,78.2,0,Very High
MDG002,0.9,1,1.7,0,1.4,125.7,0,Very High
MDG006,0.9,1.5,1.1,0,1.6,82,0,Very High
MEX001,2.4,4,3.3,0,2.6,242.8,0,Medium
MEX002,3.4,4,4.6,1.7,2.6,334.1,1,Low
MEX003,2,3.8,2.2,0,2.5,157.6,0,High
MLI001,2.3,2,5,0,1.8,429.3,0,Medium
MMR001,1.2,2.3,1.2,0,1.9,85.3,0,High
MMR002,1.4,2.3,2,0,1.9,148.9,0,High
MMR003,1.4,2.3,2,0,1.9,148.3,0,High
MMR004,1,2,1,0,1.8,71.2,0,Very High
MOZ001,1.1,2.5,0.7,0,2,49.9,0,High
MOZ004,1.4,3,1.3,0,2.2,97.3,0,High
MOZ008,1.2,2.8,0.7,0,2.1,49.9,0,High
MRT002,2.4,2.3,5,0,1.9,376.4,0,Medium
MRT003,3.5,2.3,5,3.3,1.9,373.6,2,Low
MWI002,1,2,0.9,0,1.8,66.5,0,Very High
MWI004,1.2,2,1.6,0,1.8,120,0,High
MYS001,1.3,2.8,1.1,0,2.1,79,0,High
NAM002,2.3,2,3.2,1.7,1.8,231.4,1,Medium
NER001,2.3,1.8,5,0,1.7,452.3,0,Medium
NER002,2.7,3,5,0,2.2,452.3,0,Medium
NER003,2.8,3.3,5,0,2.3,452.4,0,Medium
NER004,2.8,3.3,5,0,2.3,452,0,Medium
NGA001,2.1,3.5,2.8,0,2.4,205.3,0,Medium
NGA003,2.5,3.8,3.7,0,2.5,267.7,0,Medium
NGA004,2.2,2,2.8,1.7,1.8,205.5,1,Medium
