,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
AFG001,141,141,141,0,0,55,55,55,55,0,489,223,223,223,223,223,223,223,223,223,107.3,,
AGO002,166,166,166,166,166,166,166,166,166,166,162,166,166,166,166,166,166,166,166,166,165.6,,
ARM002,552,400,400,400,299,400,400,400,489,489,489,216,216,216,216,216,216,216,216,216,398.2,,
AZE002,573,530,530,443,12,573,573,573,573,573,573,216,216,216,216,216,216,216,216,216,463.9,,
BDI001,1,1,1,1,1,1,1,1,1,1,1,214,214,214,214,214,214,214,214,214,22.3,,
BFA002,335,335,335,92,92,335,335,335,335,335,1201,216,216,216,216,217,216,216,216,216,361.1,,
BGD002,29,0,0,0,0,29,77,0,246,246,792,219,219,219,357,223,223,219,219,219,160.9,,
BRA001,98,98,98,98,98,98,98,98,98,98,98,144,144,144,144,144,144,144,144,144,102.6,,
BRA002,914,103,103,97,602,103,103,103,103,103,1201,215,215,215,215,215,215,215,215,215,273.3,,
BRA003,98,98,98,98,98,98,98,98,98,98,98,144,144,144,144,144,144,144,144,144,102.6,,
CAF001,1204,525,525,0,0,581,581,581,0,581,792,216,216,216,216,216,216,216,216,216,385.7,,
CHL002,102,102,102,102,102,102,102,102,102,102,99,102,102,102,102,102,102,102,102,102,101.7,,
CMR001,366,366,366,190,190,365,365,365,365,365,1203,214,214,214,214,214,214,214,214,214,398.8,,
CMR002,1015,217,217,238,190,238,238,238,238,238,1128,215,215,215,215,215,215,215,215,215,317.8,,
CMR003,71,71,71,431,431,71,71,71,71,71,1015,215,215,215,215,215,215,215,215,215,251.8,,
CMR004,71,71,71,71,487,71,71,71,71,71,1203,215,215,215,215,215,215,215,215,215,240.2,,
COD001,603,145,145,92,0,145,145,145,145,145,1203,216,216,216,216,216,216,216,216,216,238.1,,
COG001,509,509,509,509,509,509,509,509,509,509,509,215,215,215,215,215,215,215,215,215,479.6,,
COL001,61,61,61,61,61,61,61,61,61,61,61,229,229,229,229,229,229,229,224,229,77.8,,
COL002,61,61,61,61,61,61,61,61,61,61,61,229,229,229,229,229,229,229,224,229,77.8,,
CRI002,845,602,488,488,700,488,488,488,602,602,1146,217,217,217,217,217,217,217,217,217,570.7,,
DJI001,261,6,6,6,6,6,6,6,6,6,261,216,216,216,216,216,216,216,216,216,52.5,,
DJI002,261,6,6,6,6,6,6,6,6,6,328,216,216,216,216,216,216,216,216,216,59.2,,
DJI003,261,6,6,261,6,6,6,6,6,6,261,216,216,216,216,216,216,216,216,216,78,,
DOM002,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,,
DZA002,16,16,16,16,16,16,16,16,16,16,16,222,222,222,222,222,222,222,222,222,36.6,,
DZA003,16,16,16,16,16,16,16,16,16,16,16,222,222,222,222,222,222,222,222,222,36.6,,
DZA004,16,16,16,16,16,16,16,16,16,16,16,222,222,222,222,222,222,222,222,222,36.6,,
ECU002,845,103,103,487,700,103,103,103,103,103,1202,216,216,216,216,216,216,216,216,216,322.3,,
EGY002,15,15,15,15,15,15,15,15,15,15,15,222,222,222,222,222,222,222,222,222,35.7,,
ERI001,13,13,13,13,13,13,13,13,13,13,13,214,214,214,214,214,214,214,214,214,33.1,,
ESP002,488,488,336,336,336,336,336,336,336,336,1202,218,218,218,218,218,218,218,218,218,410.8,,
ETH001,349,349,349,0,0,349,349,349,349,349,349,112,112,112,112,112,112,112,112,112,255.5,,
ETH003,349,349,349,0,0,0,0,0,0,0,349,212,212,212,212,212,212,212,212,212,91,,
ETH004,198,198,198,0,0,155,155,0,0,155,198,212,212,212,212,212,212,212,212,212,107.3,,
ETH005,112,112,33,0,0,0,0,0,0,0,112,112,112,112,112,112,112,112,112,112,25.7,,
GRC002,1127,41,41,41,41,41,41,41,41,41,1211,223,223,223,223,223,223,223,223,223,176.2,,
GTM001,196,196,196,196,196,196,196,196,196,196,196,221,221,221,221,221,221,221,221,221,198.5,,
HND001,195,195,195,195,195,195,195,195,195,195,195,219,219,219,219,219,219,219,219,219,197.4,,
HTI001,26,26,26,26,26,26,26,26,26,26,26,217,217,217,217,217,217,217,217,217,45.1,,
HTI002,26,26,26,26,26,26,26,26,284,284,26,217,217,217,217,217,217,217,217,217,96.7,,
HUN002,54,54,54,54,54,54,54,54,54,54,54,92,92,92,92,92,92,92,92,92,57.8,,
IDN002,29,29,29,84,0,29,29,29,29,29,1036,218,218,218,218,218,218,218,218,218,151.2,,
IND002,489,489,489,489,0,489,489,489,489,489,916,219,219,219,219,219,219,219,219,219,455.8,,
IRN004,442,442,55,55,55,55,55,55,55,55,442,223,223,223,223,223,223,223,223,223,110.5,,
IRQ001,56,56,56,56,0,56,56,56,56,56,762,223,223,223,223,223,223,223,223,223,137.7,,
IRQ002,56,56,56,56,0,56,56,56,56,56,845,223,223,223,223,223,223,223,223,223,146,,
IRQ003,56,56,56,56,56,56,56,56,56,56,1201,223,223,223,223,223,223,223,223,223,187.2,,
ITA002,1201,336,336,336,336,336,336,336,336,336,1201,218,218,218,218,218,218,218,218,218,410.7,,
JOR002,336,336,54,54,547,54,54,54,54,54,697,223,223,223,223,223,223,223,223,223,184.5,,
KEN001,256,74,74,74,256,74,74,74,74,74,256,214,214,214,214,214,214,214,214,214,124.4,,
KEN002,256,74,74,74,256,74,74,74,74,74,256,214,214,214,214,214,214,214,214,214,124.4,,
KEN003,256,74,74,256,256,74,74,74,74,74,256,214,214,214,214,214,214,214,214,214,142.6,,
LBN002,293,293,48,48,48,48,48,48,48,48,725,223,223,223,223,223,223,223,223,223,133.2,,
LBN004,293,48,48,48,48,48,48,48,48,48,762,223,223,223,223,223,223,223,223,223,136.9,,
LBY001,7,7,7,7,7,7,7,7,7,7,7,216,216,216,216,216,216,216,216,216,27.9,,
LBY002,7,7,7,7,7,7,7,7,7,7,7,216,216,216,216,216,216,216,216,216,27.9,,
LSO002,261,121,121,599,3,121,121,121,121,121,261,216,216,216,216,216,216,216,216,216,180.5,,
MAR002,7,6,720,720,6,914,914,914,914,914,6,218,218,218,218,218,218,218,218,218,624,,
MDA002,53,53,53,53,53,53,53,53,53,53,53,86,86,86,86,86,86,86,86,86,56.3,,
MDG001,97,97,71,71,33,71,71,71,71,71,126,126,126,126,126,126,126,126,126,126,78.2,,
MDG002,126,126,126,126,33,126,126,126,126,126,126,216,216,216,216,216,216,216,216,216,125.7,,
MDG006,97,97,71,71,71,71,71,71,71,71,126,126,126,126,126,126,126,126,126,126,82,,
MEX001,245,245,245,245,245,245,245,245,245,245,245,223,223,223,223,223,223,223,223,223,242.8,,
MEX002,245,245,245,245,488,245,245,245,245,245,914,224,224,224,224,224,224,224,224,224,334.1,,
MEX003,245,103,103,245,245,103,103,103,103,103,245,223,223,223,223,223,223,223,223,223,157.6,,
MLI001,603,445,445,92,92,445,445,445,445,445,1223,216,216,216,216,216,216,216,216,216,429.3,,
MMR001,22,22,22,22,0,22,22,22,22,22,484,215,215,215,215,215,215,215,215,215,85.3,,
MMR002,22,127,128,22,0,128,128,128,128,128,484,215,215,215,215,215,215,215,215,215,148.9,,
MMR003,484,127,127,22,0,127,127,127,127,127,484,215,215,215,215,215,215,215,215,215,148.3,,
MMR004,22,22,22,22,0,22,22,22,22,22,342,216,216,216,216,216,216,216,216,216,71.2,,
MOZ001,120,120,39,39,39,39,39,39,39,39,67,120,120,120,120,120,120,120,120,120,49.9,,
MOZ004,459,320,120,39,39,67,67,67,67,67,320,120,214,214,214,214,214,214,214,120,97.3,,
MOZ008,67,67,39,39,39,39,39,39,39,39,67,120,120,120,120,120,120,120,120,120,49.9,,
MRT002,1202,293,293,293,293,293,293,293,293,293,1202,218,218,218,218,218,218,218,218,218,376.4,,
MRT003,610,293,293,643,293,293,293,293,293,474,643,218,218,218,218,218,218,218,218,218,373.6,,
MWI002,261,261,64,64,0,64,64,64,64,64,97,120,120,120,120,120,120,120,120,120,66.5,,
MWI004,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,,
MYS001,0,0,0,0,0,48,0,0,48,48,428,218,218,218,218,218,218,218,218,218,79,,
NAM002,324,155,155,844,0,155,155,155,155,155,324,216,216,216,216,216,216,216,216,216,231.4,,
NER001,1204,487,487,92,92,487,487,487,487,487,1204,213,213,213,213,213,213,213,213,213,452.3,,
NER002,1204,487,487,92,92,487,487,487,487,487,1204,213,213,213,213,213,213,213,213,213,452.3,,
NER003,1204,487,487,92,92,487,487,487,487,487,1204,214,214,214,214,214,214,214,214,214,452.4,,
NER004,487,487,487,244,244,487,487,487,487,487,897,213,213,213,213,213,213,213,213,213,452,,
NGA001,1063,97,97,97,97,97,97,97,97,97,1063,214,214,214,214,214,214,214,214,214,205.3,,
NGA003,547,294,186,186,97,186,186,186,186,186,1064,214,214,214,214,214,214,214,214,214,267.7,,
NGA004,1065,97,97,97,97,97,97,97,97,97,1065,214,214,214,214,214,214,214,214,214,205.5,,
NGA007,763,294,186,186,97,186,186,186,186,186,897,214,214,214,214,214,214,214,214,214,251,,
NGA008,336,336,186,186,336,186,186,186,186,186,853,214,214,214,214,214,214,214,214,214,270.5,,
NIC001,39,39,39,39,39,39,39,39,39,39,39,215,215,215,215,215,215,215,215,215,56.6,,
PAK001,154,141,141,154,0,141,141,141,141,141,1209,223,223,223,223,223,223,223,223,223,243.2,,
PAK004,154,154,154,154,55,154,154,154,154,154,1189,223,223,223,223,223,223,223,223,223,254.5,,
PAN002,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,,
PER002,190,103,103,190,190,103,103,103,103,103,190,216,216,216,216,216,216,216,216,216,140.4,,
