Crisis ID,GlideNumber,SeverityGlideNumber,Country,Crisis,ISO3 code,Region,Drivers,First country,Website name,Crisis description,Connected crises,Starting date,Duration (days),Geoscope,ADM1,ADM1 name
AFG001,,,Afghanistan,Complex crisis in Afghanistan,AFG,Asia,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",Afghanistan,Complex crisis,https://www.acaps.org/country/Afghanistan/crisis/Complex-crisis,AFG005,Before 2019,More than 2 years,National,,
AFG005,,,Afghanistan,Earthquake in Khost and Paktika,AFG,Asia,Earthquake,Afghanistan,Earthquake in Khost and Paktika,https://www.acaps.org/country/Afghanistan/crisis/Earthquake-in-Khost-and-Paktika,AFG001,29/06/2022,154,Subnational,"AFG.17_1,AFG.25_1","Khost,Paktika"
AGO002,,,Angola,Drought in South-West Angola,AGO,Africa,Drought,Angola,Drought in South-West,https://www.acaps.org/country/Angola/crisis/Drought-in-South-West,,14/12/2021,351,Subnational,"AGO.8_1,AGO.10_1,AGO.16_1","Cunene,Huíla,Namibe"
ARM002,,,Armenia,Nagorno-Karabakh Conflict in Armenia,ARM,Middle east,"Conflict,Displacement",Armenia,Nagorno-Karabakh Conflict in Armenia,https://www.acaps.org/country/Armenia/crisis/Nagorno-Karabakh-Conflict-in-Armenia,AZE002,04/11/2020,756,Subnational,"ARM.4_1,ARM.9_1,ARM.2_1","Erevan,Syunik,Ararat"
AZE002,,,Azerbaijan,Nagorno-Karabakh conflict in Azerbaijan,AZE,Middle east,"Conflict,Displacement",Azerbaijan,Nagorno-Karabakh conflict in Azerbaijan,https://www.acaps.org/country/Azerbaijan/crisis/Nagorno-Karabakh-conflict-in-Azerbaijan,ARM002,04/11/2020,756,Subnational,"AZE.5_1,AZE.10_1","Kalbajar-Lachin,Yukhari-Karabakh"
BDI001,,,Burundi,Complex in Burundi,BDI,Africa,"Violence,Displacement,Floods",Burundi,Complex crisis ,https://www.acaps.org/country/Burundi/crisis/Complex-crisis,"RWA002,TZA002",Before 2019,More than 2 years,National,,
BFA002,,,Burkina Faso,Conflict in Burkina Faso,BFA,Africa,"Conflict,Displacement,Violence",Burkina Faso,Conflict,https://www.acaps.org/country/Burkina Faso/crisis/Conflict,,Before 2019,More than 2 years,National,,
BGD001,,,Bangladesh,Mutliple crises in Bangladesh,BGD,Asia,"Conflict,Violence,Displacement,Floods",Bangladesh,Country Level,https://www.acaps.org/country/Bangladesh/crisis/Country-Level,"BGD002,BGD008",01/05/2020,943,Subnational,"BGD.7_1,BGD.6_1,BGD.5_1,BGD.3_1,BGD.2_1","Sylhet,Rangpur,Rajshahi,Dhaka,Chittagong"
BGD002,,,Bangladesh,Rohingya refugee crisis,BGD,Asia,"Conflict,Violence,Displacement",Bangladesh,Rohingya Refugees,https://www.acaps.org/country/Bangladesh/crisis/Rohingya-Refugees,"MMR002,BGD001",Before 2019,More than 2 years,Subnational,BGD.2_1,Chittagong
BGD008,,,Bangladesh,2022 Floods in Bangladesh,BGD,Asia,Floods,Bangladesh,2022 floods,https://www.acaps.org/country/Bangladesh/crisis/2022-floods,BGD001,29/06/2022,154,Subnational,"BGD.7_1,BGD.6_1,BGD.5_1,BGD.3_1,BGD.2_1","Sylhet,Rangpur,Rajshahi,Dhaka,Chittagong"
