,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
AFG001,324,324,324,6,6,238,238,238,238,183,672,38,38,38,37,41,38,37,37,36,218.1,,
AFG005,154,154,154,154,154,154,154,154,154,154,154,29,29,29,29,29,29,29,29,29,141.5,,
AGO002,91,153,153,26,349,153,153,153,153,153,26,32,32,32,32,32,32,32,32,32,135.1,,
ARM002,175,175,175,175,34,175,175,175,672,672,672,31,31,31,31,31,31,31,31,31,295.6,,
AZE002,128,148,148,626,34,148,153,148,148,148,756,30,30,30,30,30,30,30,30,30,233.9,,
BDI001,184,184,184,20,20,184,184,184,184,184,184,30,30,30,30,30,30,30,30,30,135.8,,
BFA002,79,79,79,79,79,79,79,79,79,79,1384,32,32,32,32,32,32,32,32,32,204.8,,
BGD001,154,0,0,0,0,154,154,0,154,154,154,30,30,30,30,30,30,30,30,30,80,,
BGD002,212,0,0,0,0,147,147,0,147,147,975,30,30,30,30,30,30,30,30,30,159.3,,
BGD008,154,154,154,97,97,154,154,154,154,154,154,30,30,30,30,30,30,30,30,30,130.2,,
BRA001,0,0,0,0,0,0,0,0,0,0,0,32,32,32,32,32,32,32,32,32,3.2,,
BRA002,0,0,0,0,0,0,0,0,0,0,0,32,32,32,32,32,32,32,32,32,3.2,,
BRA003,0,0,0,0,0,0,0,0,0,0,0,32,32,32,32,32,32,32,32,32,3.2,,
CAF001,1387,0,126,0,126,0,121,121,121,121,975,32,32,32,32,32,32,32,32,32,174.3,,
CHL002,0,0,0,0,0,0,0,0,0,0,0,32,32,32,32,32,32,32,32,32,3.2,,
CMR001,549,153,70,153,153,70,70,70,70,70,153,32,32,32,32,32,32,32,32,32,91.1,,
CMR002,1198,131,131,131,131,131,131,131,131,131,92,32,32,32,32,32,32,32,32,32,117.2,,
CMR003,254,131,131,131,131,131,131,131,131,131,92,32,32,32,32,32,32,32,32,32,117.2,,
CMR004,254,131,131,131,131,131,131,131,131,131,1386,32,32,32,32,32,32,32,32,32,246.6,,
COD001,786,0,132,0,0,0,148,148,148,148,1386,32,32,32,32,32,32,32,32,32,214.2,,
COG001,91,154,154,91,26,154,154,154,154,692,91,32,32,32,32,32,32,32,32,32,170.2,,
COL001,1,1,1,1,1,1,1,1,1,1,1,32,32,32,32,32,32,32,32,32,4.1,,
COL002,1,1,1,1,1,1,1,1,1,1,1,32,32,32,32,32,32,32,32,32,4.1,,
CRI002,6,6,6,6,6,6,6,6,6,6,6,32,32,32,32,32,32,32,32,32,8.6,,
DJI001,2,2,2,2,2,2,2,2,2,2,2,30,30,30,30,30,30,30,30,30,4.8,,
DJI002,2,2,2,2,2,2,2,2,2,2,2,30,30,30,30,30,30,30,30,30,4.8,,
DJI003,2,2,2,2,2,2,2,2,2,2,2,30,30,30,30,30,30,30,30,30,4.8,,
DOM002,6,6,6,6,6,6,6,6,6,6,6,32,32,32,32,32,32,32,32,32,8.6,,
DZA002,122,17,98,98,17,17,98,98,98,98,122,37,37,37,37,37,37,37,37,37,78.1,,
DZA003,122,122,122,98,17,98,98,98,98,98,122,37,37,37,37,37,37,37,37,37,88.6,,
DZA004,199,17,17,98,17,17,17,17,17,17,199,37,37,37,37,37,37,37,37,37,45.3,,
ECU002,0,0,0,0,0,0,0,0,0,0,0,32,32,32,32,32,32,32,32,32,3.2,,
EGY002,122,2,2,2,2,2,2,2,2,2,122,37,37,37,37,37,37,37,37,37,17.5,,
ERI001,196,196,196,196,68,196,196,196,196,196,196,30,30,30,30,30,30,30,30,30,166.6,,
ESP002,122,17,17,17,17,17,17,17,17,17,122,35,35,35,35,35,35,35,35,35,29.3,,
ETH001,0,0,0,0,0,0,0,0,0,0,159,24,24,24,24,24,24,24,24,24,18.3,,
ETH003,0,0,0,0,63,0,0,0,0,0,532,27,27,27,27,27,27,27,27,27,62.2,,
ETH004,63,63,63,0,0,41,41,41,41,41,381,26,26,26,26,26,26,26,26,26,67.5,,
ETH005,63,0,0,41,0,0,0,0,0,0,295,26,26,26,26,26,26,26,26,26,36.2,,
GMB002,91,91,91,26,91,91,91,91,91,91,26,32,32,32,32,32,32,32,32,32,72.1,,
GRC002,1,1,1,1,1,1,1,1,1,1,1394,30,30,30,30,30,30,30,30,30,143.2,,
GTM001,6,6,6,6,6,6,6,6,6,6,6,32,32,32,32,32,32,32,32,32,8.6,,
HND001,6,6,6,6,6,6,6,6,6,6,6,32,32,32,32,32,32,32,32,32,8.6,,
HTI001,6,6,6,6,6,6,6,6,6,6,6,32,32,32,32,32,32,32,32,32,8.6,,
HTI002,6,6,6,6,6,6,6,6,6,6,6,32,32,32,32,32,32,32,32,32,8.6,,
HUN002,122,1,1,1,1,1,1,1,1,1,122,33,33,33,33,33,33,33,33,33,16.3,,
IDN002,212,212,212,267,2,177,183,212,212,212,1219,30,30,30,30,30,30,30,30,30,272.6,,
IDN007,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1.9,,
IDN008,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1.9,,
IND002,672,672,672,672,0,672,672,672,672,672,1099,30,30,30,30,30,30,30,30,30,583.3,,
IRN004,625,625,162,162,238,162,238,162,162,238,625,30,30,30,30,30,30,30,30,30,217.9,,
IRQ001,2,2,2,2,2,2,2,2,2,2,945,30,30,30,30,30,30,30,30,30,99.1,,
IRQ002,2,2,2,2,2,2,2,2,239,2,1028,30,30,30,30,30,30,30,30,30,131.1,,
IRQ003,2,2,2,2,2,2,2,2,2,2,1384,30,30,30,30,30,30,30,30,30,143,,
ITA002,122,2,2,2,2,2,2,2,2,2,122,35,35,35,35,35,35,35,35,35,17.3,,
JOR002,1,1,1,1,730,1,1,1,1,1,880,30,30,30,30,30,30,30,30,30,164.7,,
KEN001,159,58,58,86,86,64,64,64,64,64,159,33,33,33,33,33,33,33,33,33,74.2,,
KEN002,159,86,6,6,159,86,86,86,86,86,159,33,33,33,33,33,33,33,33,33,79.3,,
KEN003,159,1,1,159,86,1,1,1,1,1,159,33,33,33,33,33,33,33,33,33,44.3,,
LBN002,1,1,1,1,231,1,1,231,231,1,908,30,30,30,30,30,30,30,30,30,163.6,,
LBN004,1,1,1,231,1,1,1,1,1,1,945,30,30,30,30,30,30,30,30,30,121.3,,
LBY001,122,122,122,2,2,122,122,122,122,122,122,35,35,35,35,35,35,35,35,35,89.3,,
LBY002,122,122,2,2,2,2,2,2,2,2,122,35,35,35,35,35,35,35,35,35,17.3,,
LKA002,163,6,6,163,6,163,6,6,6,6,163,30,30,30,30,30,30,30,30,30,55.5,,
LSO003,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1.8,,
MAR002,122,17,122,122,17,17,122,122,122,122,122,37,37,37,37,37,37,37,37,37,92.5,,
MDA002,122,1,1,1,1,1,1,1,1,1,122,33,33,33,33,33,33,33,33,33,16.3,,
MDG001,64,64,2,64,64,2,2,2,2,2,64,30,30,30,30,30,30,30,30,30,23.4,,
MDG002,64,2,2,64,64,2,2,2,2,2,64,30,30,30,30,30,30,30,30,30,23.4,,
MDG006,64,64,64,64,64,64,64,64,64,64,64,30,30,30,30,30,30,30,30,30,60.6,,
MEX001,7,7,7,7,7,7,7,7,7,7,7,32,32,32,32,32,32,32,32,32,9.5,,
MEX002,7,7,7,7,7,7,7,7,7,7,7,32,32,32,32,32,32,32,32,32,9.5,,
MEX003,6,6,6,6,6,6,6,6,6,6,6,32,32,32,32,32,32,32,32,32,8.6,,
MLI001,91,86,79,26,26,79,79,79,79,79,26,32,32,32,32,32,32,32,32,32,58.4,,
MMR001,205,176,176,0,0,176,205,205,176,205,667,30,30,30,30,30,30,30,30,30,184,,
MMR002,205,176,176,0,0,176,176,311,176,311,667,30,30,30,30,30,30,30,30,30,202.3,,
MMR003,667,310,310,97,0,310,310,310,310,310,667,30,30,30,30,30,30,30,30,30,265.4,,
MMR004,205,176,205,0,0,176,205,205,205,205,525,30,30,30,30,30,30,30,30,30,175.6,,
MOZ001,29,29,29,29,0,29,29,29,29,29,250,35,35,35,35,35,35,35,35,35,48.8,,
MOZ004,29,29,29,29,0,29,29,29,29,29,503,35,35,35,35,35,35,35,35,35,74.1,,
MOZ008,29,29,29,29,0,29,29,29,29,29,250,35,35,35,35,35,35,35,35,35,48.8,,
MRT002,127,127,127,3,3,3,3,3,3,3,72,35,35,35,35,35,35,35,35,35,25.5,,
MRT003,793,127,127,826,3,127,127,127,127,127,94,35,35,35,35,35,35,35,35,35,172,,
MWI002,444,444,42,4,4,42,42,42,42,42,280,30,30,30,30,30,30,30,30,30,57,,
MWI004,303,303,92,101,92,148,100,100,100,100,303,30,30,30,30,30,30,30,30,30,116.6,,
MYS001,183,183,183,34,0,231,34,34,231,231,611,30,30,30,30,30,30,30,30,30,161.9,,
NAM002,72,338,338,1027,4,338,338,338,338,338,507,34,34,34,34,34,34,34,34,34,360,,
NER001,91,70,70,26,26,70,70,70,70,70,57,32,32,32,32,32,32,32,32,32,56.1,,
NER002,1387,92,92,92,92,92,92,92,92,92,92,32,32,32,32,32,32,32,32,32,86,,
NER003,1387,79,79,92,26,79,92,92,92,92,1387,32,32,32,32,32,32,32,32,32,206.3,,
NER004,670,79,72,92,26,79,72,72,72,72,92,32,32,32,32,32,32,32,32,32,68.1,,
NGA001,62,7,7,7,7,7,7,7,7,7,1246,30,30,30,30,30,30,30,30,30,133.2,,
NGA003,62,154,62,62,7,62,62,62,62,62,1247,31,31,31,31,31,31,31,31,31,171.9,,
NGA004,62,62,62,62,7,62,62,62,62,62,1248,31,31,31,31,31,31,31,31,31,172,,
NGA007,62,62,62,62,7,62,62,62,62,62,1080,31,31,31,31,31,31,31,31,31,155.2,,
NGA008,62,62,7,7,128,7,7,7,7,7,1036,31,31,31,31,31,31,31,31,31,124.4,,
NIC001,6,6,6,6,6,6,6,6,6,6,6,32,32,32,32,32,32,32,32,32,8.6,,
PAK001,337,324,86,65,6,30,30,30,86,86,1392,30,30,30,30,30,30,30,30,30,184.1,,
PAK004,95,95,337,337,238,337,337,337,337,337,1372,30,30,30,30,30,30,30,30,30,399.9,,
PAK005,91,91,91,30,0,91,30,30,91,125,125,30,30,30,30,30,30,30,30,30,64.3,,
PAN002,6,6,6,6,6,6,6,6,6,6,6,32,32,32,32,32,32,32,32,32,8.6,,
PER002,0,0,0,0,0,0,0,0,0,0,0,32,32,32,32,32,32,32,32,32,3.2,,
PHL001,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1.8,,
PHL003,1097,492,34,34,2,34,637,34,637,637,1097,30,30,30,30,30,30,30,30,30,317.6,,
PHL010,311,346,34,34,129,34,34,346,346,346,346,30,30,30,30,30,30,30,30,30,167.9,,
PHL011,73,73,73,73,73,73,73,73,73,73,73,30,30,30,30,30,30,30,30,30,68.7,,
PHL012,2,2,2,2,2,2,2,2,2,2,2,0,0,0,0,0,0,0,0,0,1.8,,
PNG003,34,34,73,73,6,34,72,73,73,72,73,30,30,30,30,30,30,30,30,30,57.9,,
POL002,122,2,2,2,2,2,2,2,2,2,122,33,33,33,33,33,33,33,33,33,17.1,,
PRK001,617,617,617,531,6,975,975,975,975,975,1402,30,30,30,30,30,30,30,30,30,746.1,,
PSE002,1,1,1,1,1,1,1,1,33,239,1392,30,30,30,30,30,30,30,30,30,170,,
REG001,916,92,92,92,92,92,92,92,92,92,1309,32,32,32,32,32,32,32,32,32,207.7,,
REG002,93,93,93,93,93,93,93,93,93,261,93,30,30,30,30,30,30,30,30,30,103.5,,
REG003,95,95,785,1108,0,1108,1315,1315,1315,1315,1315,30,30,30,30,30,30,30,30,30,960.6,,
REG004,0,0,0,0,0,0,0,0,0,0,1289,30,30,30,30,30,30,30,30,30,131.9,,
REG006,0,0,0,0,0,0,0,0,0,0,1292,30,30,30,30,30,30,30,30,30,132.2,,
REG007,2,2,2,2,2,2,2,2,2,2,94,35,35,35,35,35,35,35,35,35,14.5,,
REG008,17,17,17,17,17,17,17,17,17,17,94,35,35,35,35,35,35,35,35,35,26.5,,
REG011,625,0,0,0,0,176,153,0,176,310,625,30,30,30,30,30,30,30,30,30,147,,
REG012,0,0,0,0,0,0,0,0,0,0,0,30,30,30,30,30,30,30,30,30,3,,
REG013,156,156,156,156,34,156,156,156,156,156,156,30,30,30,30,30,30,30,30,30,131.2,,
REG014,90,62,62,90,62,62,62,62,62,62,273,23,23,23,23,23,23,23,23,23,82,,
ROU002,122,2,2,2,2,2,2,2,2,2,122,33,33,33,33,33,33,33,33,33,17.1,,
RWA002,245,245,77,77,761,77,77,77,77,77,245,31,31,31,31,31,31,31,31,31,157.6,,
SDN001,520,338,338,1,1,1,1,1,1,1,1,36,36,36,36,36,36,36,36,36,38.2,,
SDN005,520,1,1,1,1,1,1,1,1,1,443,36,36,36,36,36,36,36,36,36,48.7,,
SDN006,91,1,1,1,44,1,1,1,1,1,91,36,36,36,36,36,36,36,36,36,17.8,,
SDN008,157,1,1,1,1,1,1,1,1,1,579,36,36,36,36,36,36,36,36,36,62.3,,
SEN002,91,91,91,26,91,91,91,91,91,91,26,32,32,32,32,32,32,32,32,32,72.1,,
SLV001,6,6,6,6,6,6,6,6,6,6,6,32,32,32,32,32,32,32,32,32,8.6,,
SOM001,1136,6,6,6,6,6,6,6,6,6,1399,33,33,33,33,33,33,33,33,33,148,,
SOM002,120,74,6,6,6,6,6,6,6,6,555,33,33,33,33,33,33,33,33,33,63.6,,
SSD001,2,2,2,2,2,2,2,2,2,2,2,33,33,33,33,33,33,33,33,33,5.1,,
SSD003,2,2,2,37,37,2,2,2,2,2,2,33,33,33,33,33,33,33,33,33,12.1,,
SVK002,122,1,1,1,1,1,1,1,1,1,122,33,33,33,33,33,33,33,33,33,16.3,,
SWZ001,72,48,48,1021,4,48,48,48,48,48,48,30,30,30,30,30,30,30,30,30,139.1,,
SYR001,1,1,1,1,1,1,1,1,1,1,1400,30,30,30,30,30,30,30,30,30,143.8,,
TCD001,708,614,708,373,126,708,708,126,126,126,708,32,32,32,32,32,32,32,32,32,374.1,,
TCD003,1384,126,126,126,126,126,126,126,126,126,1384,32,32,32,32,32,32,32,32,32,242.4,,
TCD004,981,121,121,126,126,126,121,121,121,121,1384,32,32,32,32,32,32,32,32,32,239.9,,
TCD005,981,126,126,126,126,126,121,121,126,126,92,32,32,32,32,32,32,32,32,32,112.2,,
TCD006,1384,981,981,1384,126,854,854,854,854,854,1126,32,32,32,32,32,32,32,32,32,791.9,,
THA001,1219,34,34,34,6,34,212,34,212,212,1386,30,30,30,30,30,30,30,30,30,219.4,,
THA002,1219,1219,399,1219,6,212,975,975,975,975,1386,30,30,30,30,30,30,30,30,30,715.2,,
THA003,212,34,34,34,671,34,212,34,212,212,1386,30,30,30,30,30,30,30,30,30,285.9,,
TON002,315,315,247,68,68,68,68,68,247,247,315,30,30,30,30,30,30,30,30,30,142.6,,
TTO002,0,0,0,0,0,0,0,0,0,0,0,32,32,32,32,32,32,32,32,32,3.2,,
