Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Complex crisis in Afghanistan,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",AFG001,Afghanistan,AFG,652867,41800000,35900000,12385000,2949,x,3197,x,x,#N/A,13114,5880000,11500000,15100000,9300000,20000,5,x,x,1.0,2.0,2.0,0.0,3.0,3.0,1.0,3.0,3.0
Earthquake in Khost and Paktika,Earthquake,AFG005,Afghanistan,AFG,23751,1846000,362000,x,2949,x,1039,x,x,#N/A,x,1484000,0,362000,0,0,2,#N/A,#N/A,1.0,2.0,2.0,0.0,3.0,3.0,0.0,3.0,3.0
Drought in South-West Angola,Drought,AGO002,Angola,AGO,1246700,2750000,2267000,0,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,483000,683000,1167000,417000,0,3,#N/A,#N/A,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Nagorno-Karabakh Conflict in Armenia,"Conflict,Displacement",ARM002,Armenia,ARM,4399,1626000,34000,27000,x,x,11,x,x,#N/A,x,1593000,7000,27000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nagorno-Karabakh conflict in Azerbaijan,"Conflict,Displacement",AZE002,Azerbaijan,AZE,31560,2826000,2826000,91000,x,x,3,x,x,#N/A,x,0,2826000,0,0,0,3,x,x,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
Complex in Burundi,"Violence,Displacement,Floods",BDI001,Burundi,BDI,25680,13000000,13000000,630000,x,283000,93,x,x,#N/A,444,0,11200000,1692000,108000,0,5,x,x,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
Conflict in Burkina Faso,"Conflict,Displacement,Violence",BFA002,Burkina Faso,BFA,274000,21537000,3517000,1933000,x,x,2154,x,x,#N/A,x,18020000,0,2837000,680000,0,4,x,x,1.0,3.0,1.0,0.0,0.0,2.0,3.0,1.0,3.0
Mutliple crises in Bangladesh,"Conflict,Violence,Displacement,Floods",BGD001,Bangladesh,BGD,41761,52970000,8687000,946000,80,4534,151,x,x,#N/A,x,44283000,3800000,3365000,1522000,0,4,x,x,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,3.0
Rohingya refugee crisis,"Conflict,Violence,Displacement",BGD002,Bangladesh,BGD,730.46,1487000,1487000,946000,0,0,11,x,x,#N/A,x,0,0,1487000,0,0,3,0,0,2.0,1.0,1.0,2.0,1.0,2.0,0.0,0.0,2.0
2022 Floods in Bangladesh,Floods,BGD008,Bangladesh,BGD,41031,51483000,7200000,0,80,4534,140,#N/A,#N/A,#N/A,#N/A,44283000,3800000,1878000,1522000,0,3,#N/A,#N/A,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Country level Brazil,"Displacement,Floods",BRA001,Brazil,BRA,8358140,179259000,806000,953000,x,x,3219,x,x,#N/A,x,178454000,487000,319000,0,0,5,x,x,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
Venezuela displacement in Brazil,Displacement,BRA002,Brazil,BRA,2396339,81322000,491000,179000,x,x,x,x,x,#N/A,x,80831000,179000,312000,0,0,4,x,x,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
Floods in rainy season 2022,Floods,BRA003,Brazil,BRA,315000,97938000,315000,70000,x,x,126,x,x,#N/A,x,97623000,245000,70000,0,0,3,x,x,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,3.0
Complex crisis in CAR,"Conflict,Displacement",CAF001,CAR,CAF,623000,4704000,3100000,1328000,x,x,930,x,x,#N/A,x,1604000,900000,733000,1467000,0,5,x,x,1.0,3.0,2.0,3.0,0.0,2.0,3.0,0.0,3.0
Venezuela displacement in Chile,Displacement,CHL002,Chile,CHL,743532,19116000,11650000,562000,x,x,10,x,x,#N/A,x,7467000,11169000,481000,0,0,3,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0
Multiple crises in Cameroon,"Conflict,Displacement",CMR001,Cameroon,CMR,440640,27600000,3755000,1944000,150,x,364,x,x,#N/A,x,23845000,0,2072000,1683000,0,3,x,x,1.0,3.0,3.0,2.0,0.0,2.0,3.0,1.0,2.0
Boko Haram in Cameroon,Conflict,CMR002,Cameroon,CMR,34263,3803000,1246000,623000,x,x,208,x,x,#N/A,5.2,2557000,0,166000,1080000,0,3,x,x,1.0,3.0,1.0,2.0,0.0,3.0,3.0,1.0,3.0
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,89005,13474000,2034000,974000,x,x,254,x,x,#N/A,x,11439000,0,1431000,603000,0,3,x,377500,1.0,3.0,3.0,0.0,0.0,3.0,3.0,0.0,1.0
CAR refugees in Cameroon,"Conflict,Displacement",CMR004,Cameroon,CMR,201932,5658000,475000,347000,0,x,17,0,0,#N/A,x,5183000,0,475000,0,0,3,x,x,1.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
Complex crisis in DRC,"Conflict,Displacement,Socio-political",COD001,DRC,COD,2267048,106200000,25500000,10103000,x,x,3311,x,x,#N/A,1700,80700000,9500000,12500000,2900000,600000,5,x,x,1.0,3.0,2.0,3.0,0.0,2.0,3.0,1.0,3.0
Complex crisis in Congo,Conflict,COG001,Congo,COG,341500,655000,280000,26000,x,x,3,x,x,#N/A,x,375000,239000,36000,4000,0,2,x,x,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Complex crisis in Colombia,"Socio-political,Conflict,Violence,Floods,Displacement",COL001,Colombia,COL,1109500,51000000,11100000,5235000,155,x,629,x,x,#N/A,x,39900000,3400000,4507000,2900000,293000,3,x,x,0.0,2.0,1.0,0.0,2.0,2.0,3.0,2.0,3.0
Venezuela displacement in Colombia,Displacement,COL002,Colombia,COL,1.109,26262000,5554000,2478000,x,x,367,x,x,#N/A,x,20708000,722000,4831000,0,0,3,x,x,0.0,2.0,1.0,0.0,2.0,2.0,3.0,2.0,3.0
