,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,1.8,2.5,2.9,0,2,211.6,0,High
AFG005,1.4,0.8,1.7,1.7,1.3,124,1,High
AGO002,1.2,1.8,1.7,0,1.7,128.3,0,High
ARM002,2.1,2.3,3.9,0,1.9,282.3,0,Medium
AZE002,3.2,x,3,3.3,x,220.7,2,Low
BDI001,1.3,2,1.8,0,1.8,133,0,High
BFA002,1.6,2.3,2.6,0,1.9,193.5,0,High
BGD001,0.9,1.8,1,0,1.7,76,0,Very High
BGD002,1.3,1.8,2.2,0,1.7,159.4,0,High
BGD008,1.1,1.8,1.5,0,1.7,112.6,0,High
BRA001,0.7,1.8,0.2,0,1.7,18.7,0,Very High
BRA002,1.1,1.3,0.2,1.7,1.5,18.7,1,High
BRA003,0.7,2,0.2,0,1.8,18.7,0,Very High
CAF001,1.6,2.3,2.6,0,1.9,187.5,0,High
CHL002,0.9,1.8,1,0,1.7,73.6,0,Very High
CMR001,1,2,1.1,0,1.8,78.3,0,Very High
CMR002,1.1,1.8,1.4,0,1.7,104.4,0,High
CMR003,1.1,2,1.4,0,1.8,104.4,0,High
CMR004,1.8,2.3,3.2,0,1.9,233.8,0,High
COD001,1.4,1,3.3,0,1.4,242.3,0,High
COG001,1.4,2,2.2,0,1.8,160.3,0,High
COL001,0.2,0.5,0.2,0,1.2,17.4,0,Very High
COL002,0.7,1.8,0.2,0,1.7,17.4,0,Very High
CRI002,0.4,1,0.3,0,1.4,25,0,Very High
DJI001,1.1,2.3,0.9,0,1.9,68.1,0,High
DJI002,1,2.3,0.8,0,1.9,55.8,0,Very High
DJI003,1.4,2.3,1.9,0,1.9,136,0,High
DOM002,0.5,1.3,0.3,0,1.5,25,0,Very High
DZA002,1.2,2.5,1,0,2,70.2,0,High
DZA003,2.4,4.3,1.1,1.7,2.7,78,1,Medium
DZA004,1.4,3.5,0.7,0,2.4,50.9,0,High
ECU002,0.9,1.8,1,0,1.7,73.6,0,Very High
EGY002,1,2.5,0.4,0,2,30.6,0,Very High
ERI001,1.7,3,2.1,0,2.2,153.7,0,High
ESP002,1,2.5,0.5,0,2,37.7,0,Very High
ETH001,0.9,2,0.6,0,1.8,43.1,0,Very High
ETH003,1.2,2.5,1.1,0,2,80.4,0,High
ETH004,1,2,0.9,0,1.8,67.5,0,Very High
ETH005,1.2,2.8,0.9,0,2.1,67.7,0,High
GMB002,0.9,2,0.8,0,1.8,61,0,Very High
GRC002,2.3,3.5,3.4,0,2.4,251.8,0,Medium
GTM001,0.7,1.8,0.3,0,1.7,24.2,0,Very High
HND001,0.9,2.3,0.3,0,1.9,24.2,0,Very High
HTI001,1.4,2.3,0.3,1.7,1.9,23.7,1,High
HTI002,0.9,2.3,0.3,0,1.9,23.7,0,Very High
HUN002,0.9,2.3,0.4,0,1.9,30.4,0,Very High
IDN002,2.2,3,3.6,0,2.2,262.6,0,Medium
IND002,4.3,2.8,5,5,2.1,573.5,3,Very Low
IRN004,2.9,4.3,2.8,1.7,2.7,205.5,1,Medium
IRQ001,1.7,3.5,1.5,0,2.4,109,0,High
IRQ002,1.6,1.3,3.6,0,1.5,263.6,0,High
IRQ003,2.6,3.5,2.7,1.7,2.4,196.2,1,Medium
ITA002,0.9,2.3,0.4,0,1.9,30.5,0,Very High
JOR002,2.4,3.8,3.5,0,2.5,256,0,Medium
KEN001,2.1,2.3,0.8,3.3,1.9,61.1,2,Medium
KEN002,2.1,2,1.1,3.3,1.8,82.2,2,Medium
KEN003,2.6,1.8,0.9,5,1.7,63.4,3,Medium
LBN002,2.8,3.5,3.1,1.7,2.4,224.1,1,Medium
LBN004,2.7,3.5,2.8,1.7,2.4,208,1,Medium
LBY001,0.7,1,1.1,0,1.4,82.3,0,Very High
LBY002,0.8,2,0.4,0,1.8,30.1,0,Very High
LKA002,1.1,1.8,1.6,0,1.7,120,0,High
LSO002,1.3,2,0.3,1.7,1.8,20.2,1,High
MAR002,1.7,4,1.1,0,2.6,84.6,0,High
MDA002,0.9,2.3,0.4,0,1.9,30.4,0,Very High
MDG001,0.7,1.5,0.6,0,1.6,47.6,0,Very High
MDG002,0.5,1,0.6,0,1.4,47.6,0,Very High
MDG006,1,2.3,0.6,0,1.9,47.6,0,Very High
MEX001,1.4,4,0.3,0,2.6,23.5,0,High
MEX002,1.4,3.8,0.3,0,2.5,23.5,0,High
MEX003,1.4,3.8,0.3,0,2.5,23.5,0,High
MLI001,0.9,2,0.8,0,1.8,59.3,0,Very High
MMR001,1.6,2.3,2.4,0,1.9,177.6,0,High
MMR002,1.7,2.3,2.7,0,1.9,195.9,0,High
MMR003,1.9,2.3,3.5,0,1.9,255.6,0,High
