,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
AFG001,294,294,294,11,11,208,208,208,208,153,642,173,173,173,173,173,173,173,173,173,211.6,,
AFG005,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,,
AGO002,61,123,123,27,319,123,123,123,123,123,27,172,172,172,172,172,172,172,172,172,128.3,,
ARM002,145,145,145,145,4,145,145,145,642,642,642,168,168,168,168,168,168,168,168,168,282.3,,
AZE002,98,118,118,596,4,118,123,118,118,118,726,168,168,168,168,168,168,168,168,168,220.7,,
BDI001,154,154,154,40,40,154,154,154,154,154,154,172,172,172,172,172,172,172,172,172,133,,
BFA002,49,49,49,49,49,49,49,49,49,49,1354,189,189,189,189,189,189,189,189,189,193.5,,
BGD001,124,4,4,4,4,124,124,4,124,124,124,124,124,124,124,124,124,124,124,124,76,,
BGD002,182,4,4,4,4,117,117,4,117,117,945,165,168,168,168,168,168,168,168,168,159.4,,
BGD008,124,124,124,67,67,124,124,124,124,124,124,124,124,124,124,124,124,124,124,124,112.6,,
BRA001,0,0,0,0,0,0,0,0,0,0,0,187,187,187,187,187,187,187,187,187,18.7,,
BRA002,0,0,0,0,0,0,0,0,0,0,0,187,187,187,187,187,187,187,187,187,18.7,,
BRA003,0,0,0,0,0,0,0,0,0,0,0,187,187,187,187,187,187,187,187,187,18.7,,
CAF001,1357,96,96,96,96,91,91,91,91,91,945,187,187,187,187,187,187,187,187,187,187.5,,
CHL002,61,61,61,61,61,61,61,61,61,61,61,187,187,187,187,187,187,187,187,187,73.6,,
CMR001,519,123,40,123,123,40,40,40,40,40,123,174,174,174,174,174,174,174,174,174,78.3,,
CMR002,1168,101,101,101,101,101,101,101,101,101,62,174,174,174,174,174,174,174,174,174,104.4,,
CMR003,224,101,101,101,101,101,101,101,101,101,62,174,174,174,174,174,174,174,174,174,104.4,,
CMR004,224,101,101,101,101,101,101,101,101,101,1356,174,174,174,174,174,174,174,174,174,233.8,,
COD001,756,102,102,102,102,102,118,118,118,118,1356,187,187,187,187,187,187,187,187,187,242.3,,
COG001,61,124,124,61,27,124,124,124,124,662,61,172,172,172,172,172,172,172,172,172,160.3,,
COL001,0,0,0,0,0,0,0,0,0,0,0,174,174,174,174,174,174,174,174,174,17.4,,
COL002,0,0,0,0,0,0,0,0,0,0,0,174,174,174,174,174,174,174,174,174,17.4,,
CRI002,7,7,7,7,7,7,7,7,7,7,7,187,187,187,187,187,187,187,187,187,25,,
DJI001,414,0,0,0,97,0,0,0,0,0,414,170,170,170,170,170,170,170,170,170,68.1,,
DJI002,97,97,0,0,97,0,0,0,97,97,97,170,170,170,170,170,170,170,170,170,55.8,,
DJI003,414,97,97,97,97,97,97,97,97,97,414,170,170,170,170,170,170,170,170,170,136,,
DOM002,7,7,7,7,7,7,7,7,7,7,7,187,187,187,187,187,187,187,187,187,25,,
DZA002,92,14,68,68,14,14,68,68,68,68,92,174,174,174,174,174,174,174,174,174,70.2,,
DZA003,92,92,92,68,14,68,68,68,68,68,92,174,174,174,174,174,174,174,174,174,78,,
DZA004,169,14,14,68,14,14,14,14,14,14,169,174,174,174,174,174,174,174,174,174,50.9,,
ECU002,61,61,61,61,61,61,61,61,61,61,61,187,187,187,187,187,187,187,187,187,73.6,,
EGY002,92,5,5,5,5,5,5,5,5,5,92,174,174,174,174,174,174,174,174,174,30.6,,
ERI001,166,166,166,166,38,166,166,166,166,166,166,171,171,171,171,171,171,171,171,171,153.7,,
ESP002,92,14,14,14,14,14,14,14,14,14,92,173,173,173,173,173,173,173,173,173,37.7,,
ETH001,33,33,33,11,33,11,11,11,11,11,129,170,170,170,170,170,170,170,170,170,43.1,,
ETH003,33,33,33,11,33,11,11,11,11,11,502,170,170,170,170,170,170,170,170,170,80.4,,
ETH004,33,33,33,33,33,11,11,11,11,11,351,170,170,170,170,170,170,170,170,170,67.5,,
ETH005,33,33,33,11,33,33,33,33,33,33,265,170,170,170,170,170,170,170,170,170,67.7,,
GMB002,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,,
GRC002,1280,63,63,63,3,194,61,194,194,194,1364,188,188,188,188,188,188,188,188,188,251.8,,
GTM001,7,7,7,7,7,7,7,7,7,7,7,179,179,179,179,179,179,179,179,179,24.2,,
HND001,7,7,7,7,7,7,7,7,7,7,7,179,179,179,179,179,179,179,179,179,24.2,,
HTI001,7,7,7,7,7,7,7,7,7,7,7,174,174,174,174,174,174,174,174,174,23.7,,
HTI002,7,7,7,7,7,7,7,7,7,7,7,174,174,174,174,174,174,174,174,174,23.7,,
HUN002,92,5,5,5,5,5,5,5,5,5,92,172,172,172,172,172,172,172,172,172,30.4,,
IDN002,182,182,182,237,4,147,153,182,182,182,1189,168,168,168,168,168,168,168,168,168,262.6,,
IND002,642,642,642,642,4,642,642,642,642,642,1069,168,168,168,168,168,168,168,168,168,573.5,,
IRN004,595,595,132,132,208,132,208,132,132,208,595,176,176,176,176,176,176,176,176,176,205.5,,
IRQ001,209,0,0,0,3,0,0,0,0,0,915,172,172,172,172,172,172,172,172,172,109,,
IRQ002,209,209,209,209,3,209,209,209,209,209,998,172,172,172,172,172,172,172,172,172,263.6,,
IRQ003,209,42,209,3,209,3,3,3,3,3,1354,172,172,172,172,172,172,172,172,172,196.2,,
ITA002,92,5,5,5,5,5,5,5,5,5,92,173,173,173,173,173,173,173,173,173,30.5,,
JOR002,489,489,3,3,700,104,104,207,207,207,850,175,175,175,175,175,175,175,175,175,256,,
KEN001,129,28,28,56,56,34,34,34,34,34,129,172,172,172,172,172,172,172,172,172,61.1,,
KEN002,129,56,56,56,129,56,56,56,56,56,129,172,172,172,172,172,172,172,172,172,82.2,,
KEN003,129,28,28,129,56,24,24,24,24,24,129,172,172,172,172,172,172,172,172,172,63.4,,
LBN002,446,63,63,201,201,63,63,201,201,201,878,169,169,169,169,169,169,169,169,169,224.1,,
LBN004,446,63,63,201,3,63,63,201,201,201,915,169,169,169,169,169,169,169,169,169,208,,
LBY001,92,92,92,5,5,92,92,92,92,92,92,169,169,169,169,169,169,169,169,169,82.3,,
LBY002,92,92,5,5,5,5,5,5,5,5,92,169,169,169,169,169,169,169,169,169,30.1,,
LKA002,133,133,133,133,4,133,133,133,133,133,133,132,132,132,132,132,132,132,132,132,120,,
LSO002,0,0,0,0,0,0,0,0,0,0,32,170,170,170,170,170,170,170,170,170,20.2,,
MAR002,92,14,92,92,14,14,92,92,92,92,92,174,174,174,174,174,174,174,174,174,84.6,,
MDA002,92,5,5,5,5,5,5,5,5,5,92,172,172,172,172,172,172,172,172,172,30.4,,
MDG001,34,34,34,34,34,34,34,34,34,34,34,170,170,170,170,170,170,170,170,170,47.6,,
MDG002,34,34,34,34,34,34,34,34,34,34,34,170,170,170,170,170,170,170,170,170,47.6,,
MDG006,34,34,34,34,34,34,34,34,34,34,34,170,170,170,170,170,170,170,170,170,47.6,,
MEX001,7,7,7,7,7,7,7,7,7,7,7,172,172,172,172,172,172,172,172,172,23.5,,
MEX002,7,7,7,7,7,7,7,7,7,7,7,172,172,172,172,172,172,172,172,172,23.5,,
MEX003,7,7,7,7,7,7,7,7,7,7,7,172,172,172,172,172,172,172,172,172,23.5,,
MLI001,61,56,49,56,27,49,49,49,49,49,27,189,189,189,189,189,189,189,189,189,59.3,,
MMR001,175,146,146,4,4,146,175,175,146,175,637,168,168,168,168,168,168,168,168,168,177.6,,
MMR002,175,146,146,4,4,146,146,281,146,281,637,168,168,168,168,168,168,168,168,168,195.9,,
MMR003,637,280,280,67,4,280,280,280,280,280,637,168,168,168,168,168,168,168,168,168,255.6,,
MMR004,175,146,175,4,4,146,175,175,175,175,495,168,168,168,168,168,168,168,168,168,169.2,,
MOZ001,273,273,192,96,96,192,192,192,192,192,220,171,171,171,171,171,171,171,171,171,173.5,,
MOZ004,612,473,273,96,96,220,220,220,220,220,473,171,171,171,171,171,171,171,171,171,220.9,,
MOZ008,220,220,192,192,192,192,192,192,192,192,220,171,171,171,171,171,171,171,171,171,192.7,,
MRT002,97,97,97,12,12,97,12,12,12,12,42,169,169,169,169,169,169,169,169,169,47.7,,
MRT003,763,97,97,796,12,97,97,97,97,97,64,169,169,169,169,169,169,169,169,169,162.3,,
MWI002,414,414,12,12,12,12,12,12,12,12,250,170,170,170,170,170,170,170,170,170,51.6,,
MWI004,273,273,62,71,62,118,70,70,70,70,273,170,170,170,170,170,170,170,170,170,103.6,,
MYS001,153,153,153,4,126,201,4,4,201,201,581,168,168,168,168,168,168,168,168,168,164.3,,
NAM002,42,308,308,997,12,308,308,308,308,308,477,170,170,170,170,170,170,170,170,170,350.4,,
NER001,61,40,40,61,27,40,40,40,40,40,27,189,189,189,189,189,189,189,189,189,54.4,,
NER002,1357,62,62,62,62,62,62,62,62,62,62,189,189,189,189,189,189,189,189,189,74.7,,
NER003,1357,49,49,62,27,49,62,62,62,62,1357,189,189,189,189,189,189,189,189,189,198.1,,
NER004,640,49,42,62,27,49,42,42,42,42,62,189,189,189,189,189,189,189,189,189,59.9,,
NGA001,32,32,6,6,6,6,6,6,6,6,1216,169,169,169,169,169,169,169,169,169,143.3,,
NGA003,32,124,32,32,6,32,32,32,32,32,1217,169,169,169,169,169,169,169,169,169,161.6,,
NGA004,32,32,32,32,6,32,32,32,32,32,1218,172,172,172,172,172,172,172,172,172,162,,
NGA007,32,32,32,32,6,32,32,32,32,32,1050,171,171,171,171,171,171,171,171,171,145.1,,
NGA008,32,32,6,6,98,6,6,6,6,6,1006,171,171,171,171,171,171,171,171,171,131.7,,
NIC001,7,7,7,7,7,7,7,7,7,7,7,187,187,187,187,187,187,187,187,187,25,,
PAK001,307,294,56,35,0,0,0,0,56,56,1362,175,175,175,175,175,175,175,175,175,174,,
PAK004,65,65,307,307,208,307,307,307,307,307,1342,168,168,168,168,168,168,168,168,168,386.7,,
PAK005,61,61,61,0,0,61,0,0,61,95,95,95,95,95,95,95,95,95,95,95,46.8,,
PAN002,7,7,7,7,7,7,7,7,7,7,7,187,187,187,187,187,187,187,187,187,25,,
PER002,61,61,61,61,61,61,61,61,61,61,61,182,182,182,182,182,182,182,182,182,73.1,,
PHL001,43,43,4,4,4,4,4,4,42,42,316,42,42,42,42,42,42,42,42,42,46.6,,
PHL003,1067,462,4,4,4,4,607,4,607,607,1067,168,168,168,168,168,168,168,168,168,307.6,,
