,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,1.7,2.5,2.5,0,2,185.4,0,High
AFG005,1.3,0.8,1.3,1.7,1.3,93,1,High
AGO002,1.1,1.8,1.4,0,1.7,104.1,0,High
ARM002,1.9,2.3,3.5,0,1.9,254.8,0,High
AZE002,3,x,2.6,3.3,x,193.2,2,Medium
BDI001,1.1,2,1.4,0,1.8,102,0,High
BFA002,1.5,2.3,2.2,0,1.9,162.5,0,High
BGD001,0.9,1.8,0.8,0,1.7,57.4,0,Very High
BGD002,1.2,1.8,1.9,0,1.7,140.8,0,High
BGD008,1,1.8,1.1,0,1.7,81.6,0,Very High
BRA001,0.8,1.8,0.6,0,1.7,42.6,0,Very High
BRA002,1.2,1.3,0.6,1.7,1.5,42.6,1,High
BRA003,0.9,2,0.6,0,1.8,42.6,0,Very High
CAF001,1.5,2.3,2.1,0,1.9,156.5,0,High
CHL002,0.8,1.8,0.6,0,1.7,42.6,0,Very High
CMR001,0.9,2,0.6,0,1.8,47.3,0,Very High
CMR002,0.9,1.8,1,0,1.7,73.4,0,Very High
CMR003,1,2,1,0,1.8,73.4,0,Very High
CMR004,1.7,2.3,2.8,0,1.9,202.8,0,High
COD001,1.3,1,2.9,0,1.4,211.3,0,High
COG001,1.3,2,1.8,0,1.8,132.7,0,High
COL001,0.4,0.5,0.6,0,1.2,41.3,0,Very High
COL002,0.8,1.8,0.6,0,1.7,41.3,0,Very High
CRI002,1.9,2.3,0.2,3.3,1.9,18.3,2,High
DJI001,1.2,2.3,1.3,0,1.9,96.2,0,High
DJI002,1.1,2.3,1,0,1.9,73.3,0,High
DJI003,1.2,2.3,1.4,0,1.9,105,0,High
DOM002,1.9,2.3,0.2,3.3,1.9,18.3,2,High
DZA002,1,2.5,0.6,0,2,47,0,Very High
DZA003,2.2,4.3,0.7,1.7,2.7,50.9,1,Medium
DZA004,1.4,3.5,0.6,0,2.4,44.4,0,High
ECU002,0.8,1.8,0.6,0,1.7,42.6,0,Very High
EGY002,1,2.5,0.4,0,2,30.8,0,Very High
ERI001,1.6,3,1.7,0,2.2,122.7,0,High
ESP002,1,2.5,0.5,0,2,34.7,0,Very High
ETH001,0.8,2,0.3,0,1.8,25.3,0,Very High
ETH003,1,2,1,0,1.8,76.6,0,Very High
ETH004,1.1,2.8,0.6,0,2.1,47.5,0,High
ETH005,1.1,2.8,0.5,0,2.1,38.9,0,High
GMB002,0.8,2,0.4,0,1.8,30,0,Very High
GRC002,2.2,3.5,3.1,0,2.4,223.7,0,Medium
GTM001,0.8,2.3,0.2,0,1.9,17.5,0,Very High
HND001,0.8,2.3,0.2,0,1.9,17.5,0,Very High
HTI001,1.4,2.3,0.2,1.7,1.9,17,1,High
HTI002,0.8,2.3,0.2,0,1.9,17,0,Very High
HUN002,0.9,2.3,0.3,0,1.9,23.4,0,Very High
IDN002,2.1,3,3.2,0,2.2,235,0,Medium
IND002,4.3,2.8,5,5,2.1,545.9,3,Very Low
IRN004,2.8,4.3,2.4,1.7,2.7,174.5,1,Medium
IRQ001,1.7,3.5,1.5,0,2.4,112.5,0,High
IRQ002,1.5,1.3,3.2,0,1.5,235.7,0,High
IRQ003,2.6,3.5,2.5,1.7,2.4,183.8,1,Medium
ITA002,0.9,2.3,0.4,0,1.9,30.7,0,Very High
JOR002,2.3,3.8,3.2,0,2.5,231.2,0,Medium
KEN001,2,2.3,0.4,3.3,1.9,32.9,2,High
KEN002,2,2,0.7,3.3,1.8,51.2,2,High
KEN003,2.5,2,0.5,5,1.8,40.2,3,Medium
