,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Empowerment,BTI - Democracy Status,Trust in society,Ethnic Fractionalisation,size of excluded ethnic groups,Ethnic fractionalisation,Gender Inequality,Income Gini coefficient,Inequality,Social cohesion,Conflict Intensity,Total killed in all crisis,Safety and security,Corruption Perception,Rule of Law (WGI),Rule of Law (BTI),Freedom in the World,Rule of Law,Society and safety,# of different types of affected population groups,Diversity of groups affected,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Access of Humanitarian Actors to Affected Populations,Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Access of People in need to Aid,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Physical and Security Constraints,Humanitarian access,Operating environment
,,,,MAX,14,10,,1,0.5,,0.75,65,,,,3000,,100,2.5,10,100,,,,,,,,,,,,,,,,,,
,,,,MIN,0,0,,0,0,,0,25,,,,1,,0,-2.5,0,0,,,,,,,,,,,,,,,,,,
CRISIS,TYPE,CRISIS ID,COUNTRY,Iso3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complex crisis in Afghanistan,Complex crisis,AFG001,Afghanistan,AFG,3.6,3.4,3.5,3.7,0,1.85,3.8,x,3.8,3.0499999999999994,5,5,5,4.2,4.2,3.5,3.7,3.9,4,5,5,1,2,2,0,2,3,3,5,1,3,3,5,4,4.5
Earthquake in Khost and Paktika,Earthquake,AFG005,Afghanistan,AFG,3.6,3.4,3.5,3.7,0,1.85,3.8,x,3.8,3.0499999999999994,5,5,5,4.2,4.2,3.5,3.7,3.9,4,2,2,1,2,2,0,2,3,3,5,0,3,3,4,4,3
Drought in South-West Angola,Food Security,AGO002,Angola,AGO,3.6,2.7,3.1500000000000004,3.8,5,4.4,3.9,3.3,3.5999999999999996,3.716666666666667,3,0.9,1.95,3.7,3.6,3.1,3.4,3.5,3.1,3,3,1,0,0,0,1,0,0,0,0,2,0,2,1,2
Nagorno-Karabakh Conflict in Armenia,Conflict,ARM002,Armenia,ARM,2.9,1.5,2.2,0.2,0.2,0.2,1.7,0.6,1.15,1.1833333333333333,3,0.9,1.95,2.9,2.6,2,2.4,2.5,1.9,2,2,0,0,0,0,0,0,0,0,0,1,0,1,0,1
Nagorno-Karabakh conflict in Azerbaijan,Conflict,AZE002,Azerbaijan,AZE,3.6,3.3,3.45,0.8,0.6,0.7,2.1,0.2,1.1500000000000001,1.7666666666666668,3,1.3,2.15,3.5,3.1,3.5,4.5,3.7,2.5,3,3,1,0,1,0,2,0,0,0,0,2,0,2,1,2
Complex in Burundi,Complex crisis,BDI001,Burundi,BDI,2.1,3.2,2.6500000000000004,1.3,0,0.65,3.5,1.7,2.6,1.9666666666666668,3,2.8,2.9,4.1,3.9,3.8,4.4,4.1,3,5,5,1,1,1,0,2,0,1,1,0,0,2,2,2,3.5
Conflict in Burkina Faso,Conflict,BFA002,Burkina Faso,BFA,1.1,1.9,1.5,2.8,0,1.4,4.1,1.3,2.6999999999999997,1.8666666666666665,5,4,4.5,3,2.9,2.9,2.2,2.8,3.1,4,4,1,3,1,0,2,0,2,2,3,1,3,5,3,3.5
