,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
,,,,MAX,,,,,,7,0.05,0.05,0.05,0.05,0.05,,
,,,,MIN,,,,,,4,,,,,,,
CRISIS,DRIVERS,CRISIS ID,COUNTRY,Iso3,,,,,,,,,,,,,
Complex crisis in Afghanistan,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",AFG001,Afghanistan,AFG,0,13.9,13.945,15.255,0,5,0,0.3225058004640371,0.32354988399071927,0.35394431554524364,0,4,4.5
Drought in South-West Angola,Drought,AGO002,Angola,AGO,0.483,0.683,1.167,0.417,0,3.7,0.17563636363636365,0.24836363636363637,0.4243636363636364,0.15163636363636362,0,4,3.85
Nagorno-Karabakh Conflict in Armenia,"Conflict,Displacement",ARM002,Armenia,ARM,0.25,0.152,0.034,0,0,0.9,0.5720823798627003,0.34782608695652173,0.07780320366132723,0,0,3,1.95
Nagorno-Karabakh conflict in Azerbaijan,"Conflict,Displacement",AZE002,Azerbaijan,AZE,0.831,0.142,0.063,0,0,1.3,0.8013500482160077,0.1369334619093539,0.06075216972034716,0,0,3,2.15
Complex in Burundi,"Violence,Displacement,Floods",BDI001,Burundi,BDI,6.959,4.174,1.156,0,0,3.4,0.5662787859060949,0.33965334852306944,0.09406786557083571,0,0,3,3.2
Conflict in Burkina Faso,"Conflict,Displacement,Violence",BFA002,Burkina Faso,BFA,16.919,0,2.582,1.947,0.089,4.4,0.7855783070994103,0,0.11988670659794771,0.09040256303106282,0.0041324232715791425,4,4.2
Rohingya refugee crisis,"Conflict,Violence,Displacement",BGD002,Bangladesh,BGD,0,0,1.242,0.257,0,3.6,0,0,0.828,0.17133333333333334,0,4,3.8
Country level Brazil,"Displacement,Floods",BRA001,Brazil,BRA,99.076,0.498,0.37,0,0,2.6,0.9913151364764268,0.004982790362603058,0.003702073160970143,0,0,1,1.8
Venezuela displacement in Brazil,Displacement,BRA002,Brazil,BRA,99.493,0.09,0.361,0,0,2.6,0.9954874729848715,0.000900504282398143,0.003612022732730329,0,0,1,1.8
Floods in rainy season 2022,Floods,BRA003,Brazil,BRA,14.242,0.407,0.009,0,0,0,0.9715533119585238,0.02776451326829934,0.0006139572958591992,0,0,1,0.5
Complex crisis in CAR,"Conflict,Displacement",CAF001,CAR,CAF,0,2.665,2.649,0.778,0,4.2,0,0.43753078312264,0.4349039566573633,0.1277294368740765,0,4,4.1
Venezuela displacement in Chile,Displacement,CHL002,Chile,CHL,6.472,12.822,0.31,0,0,2.5,0.3301367067945317,0.6540501938379922,0.015813099367476026,0,0,2,2.25
Multiple crises in Cameroon,"Conflict,Displacement",CMR001,Cameroon,CMR,24.24,0,2.477,1.372,0,4.3,0.8629712698921286,0,0.088183986613977,0.04884474349389441,0,3,3.65
Lake Chad basin crisis in Cameroon,Conflict,CMR002,Cameroon,CMR,3.623,0,0.493,1.063,0,3.7,0.6995558988221664,0,0.09519212203128016,0.20525197914655338,0,4,3.85
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,13.165,0,1.377,0.309,0,3.7,0.8864722914281866,0,0.09272102888694364,0.020806679684869704,0,3,3.35
CAR refugees in Cameroon,"Conflict,Displacement",CMR004,Cameroon,CMR,5.043,0,0.607,0,0,3,0.892566371681416,0,0.10743362831858407,0,0,3,3
Complex crisis in DRC,"Conflict,Displacement,Socio-political",COD001,DRC,COD,82.155,0.529,10.3,10.8,4.8,5,0.7566031827893612,0.004871804317394828,0.0948574375598615,0.09946216753849554,0.04420540779488691,4,4.5
Complex crisis in Congo,Conflict,COG001,Congo,COG,5.507,0.159,0.134,0,0,1.9,0.9494827586206896,0.027413793103448277,0.023103448275862068,0,0,2,1.95
Complex crisis in Colombia,"Socio-political,Conflict,Violence,Floods,Displacement",COL001,Colombia,COL,41.8,2.1,4.206,3.1,0.394,4.8,0.810077519379845,0.040697674418604654,0.08151162790697675,0.060077519379844964,0.007635658914728683,4,4.4
Venezuela displacement in Colombia,Displacement,COL002,Colombia,COL,30.637,0.38,5.4,0,0,4.6,0.8412829173188346,0.010434687096685614,0.14828239558447978,0,0,3,3.8
Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,0.886,0.047,0.2,0,0,2.2,0.7819947043248014,0.04148278905560459,0.176522506619594,0,0,3,2.6
