Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Complex crisis in Afghanistan,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",AFG001,Afghanistan,AFG,652867,43100000,43100000,23311000,2949,x,610,x,x,#N/A,13114,0,13900000,13945000,15255000,0,5,x,x,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0
Drought in South-West Angola,Drought,AGO002,Angola,AGO,1246700,2750000,2267000,0,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,483000,683000,1167000,417000,0,1,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0
Nagorno-Karabakh Conflict in Armenia,"Conflict,Displacement",ARM002,Armenia,ARM,12168,437000,187000,27000,2,x,3,x,x,#N/A,x,250000,152000,34000,0,0,2,x,x,0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0
Nagorno-Karabakh conflict in Azerbaijan,"Conflict,Displacement",AZE002,Azerbaijan,AZE,16458,1037000,206000,90000,9,x,7,x,x,#N/A,x,831000,142000,63000,0,0,3,x,x,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0
Complex in Burundi,"Violence,Displacement,Floods",BDI001,Burundi,BDI,25680,12289000,5330000,634000,x,283000,68,x,x,#N/A,444,6959000,4174000,1156000,0,0,5,x,x,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
Conflict in Burkina Faso,"Conflict,Displacement,Violence",BFA002,Burkina Faso,BFA,166000,21537000,4618000,2099000,2,x,4757,x,x,#N/A,x,16919000,0,2582000,1947000,89000,3,x,x,0.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0
Rohingya refugee crisis,"Conflict,Violence,Displacement",BGD002,Bangladesh,BGD,730.46,1500000,1500000,962000,0,0,34,x,x,#N/A,x,0,0,1242000,257000,0,3,0,0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0
Country level Brazil,"Displacement,Floods",BRA001,Brazil,BRA,8358140,99944000,868000,459000,x,x,7065,x,x,#N/A,x,99076000,498000,370000,0,0,5,x,x,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
Venezuela displacement in Brazil,Displacement,BRA002,Brazil,BRA,3551558,99944000,451000,450000,x,x,3,x,x,#N/A,x,99493000,90000,361000,0,0,5,x,x,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Floods in rainy season 2022,Floods,BRA003,Brazil,BRA,564760,14659000,417000,9000,x,x,x,x,x,#N/A,x,14242000,407000,9000,0,0,1,x,x,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0
Complex crisis in CAR,"Conflict,Displacement",CAF001,CAR,CAF,622980,6091000,6091000,1028000,1,x,283,x,x,#N/A,x,0,2665000,2649000,778000,0,5,x,x,1.0,3.0,2.0,3.0,0.0,2.0,3.0,1.0,3.0
Venezuela displacement in Chile,Displacement,CHL002,Chile,CHL,743532,19604000,13131000,444000,x,x,33,x,x,#N/A,x,6472000,12822000,310000,0,0,3,x,x,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0
Multiple crises in Cameroon,"Conflict,Displacement",CMR001,Cameroon,CMR,475440,28089000,3849000,2190000,150,x,382,x,x,#N/A,x,24240000,0,2477000,1372000,0,4,x,x,1.0,3.0,3.0,0.0,2.0,3.0,3.0,1.0,3.0
Lake Chad basin crisis in Cameroon,Conflict,CMR002,Cameroon,CMR,34513,5179000,1222000,774000,x,x,171,x,x,#N/A,5.2,3623000,0,493000,1063000,0,3,x,x,1.0,3.0,2.0,0.0,0.0,3.0,3.0,1.0,2.0
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,88019,14851000,1686000,1177000,x,x,203,x,x,#N/A,x,13165000,0,1377000,309000,0,4,x,377500,1.0,3.0,3.0,0.0,2.0,3.0,3.0,1.0,3.0
CAR refugees in Cameroon,"Conflict,Displacement",CMR004,Cameroon,CMR,231318,5650000,607000,350000,0,x,8,0,0,#N/A,x,5043000,0,607000,0,0,1,x,x,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
Complex crisis in DRC,"Conflict,Displacement,Socio-political",COD001,DRC,COD,2344860,108584000,26429000,9832000,1,x,2038,x,x,#N/A,1700,82155000,529000,10300000,10800000,4800000,8,x,x,1.0,3.0,2.0,3.0,0.0,2.0,3.0,2.0,3.0
Complex crisis in Congo,Conflict,COG001,Congo,COG,341500,5800000,293000,134000,x,x,6,x,x,#N/A,x,5507000,159000,134000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Complex crisis in Colombia,"Socio-political,Conflict,Violence,Floods,Displacement",COL001,Colombia,COL,1109500,51600000,9800000,5447000,99,x,3281,96400,x,#N/A,x,41800000,2100000,4206000,3100000,394000,3,x,x,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,3.0
Venezuela displacement in Colombia,Displacement,COL002,Colombia,COL,1109500,36417000,5780000,2480000,x,x,111,x,x,#N/A,x,30637000,380000,5400000,0,0,3,x,x,0.0,2.0,1.0,0.0,0.0,2.0,2.0,2.0,3.0
Nicaraguan refugees in Costa Rica,Displacement,CRI002,Costa Rica,CRI,4462,1133000,247000,200000,x,x,x,x,x,#N/A,x,886000,47000,200000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Multiple crises in Djibouti,"Displacement,Drought",DJI001,Djibouti,DJI,23180,1182000,718000,37000,x,x,7,x,x,#N/A,x,464000,402000,216000,100000,0,5,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mixed migration in Djibouti,Displacement,DJI002,Djibouti,DJI,7300,676000,31000,31000,x,x,7,x,x,#N/A,x,645000,0,31000,0,0,1,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drought in Djibouti,Drought,DJI003,Djibouti,DJI,23180,1182000,687000,6000,x,x,0,x,x,#N/A,x,495000,402000,185000,100000,0,5,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Venezuela displacement in Dominican Republic,Displacement,DOM002,Dominican Republic,DOM,48310,11229000,115000,115000,x,x,x,x,x,#N/A,x,11114000,14000,102000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mixed migration flows in Algeria,Displacement,DZA002,Algeria,DZA,2381741,45567000,263000,263000,x,x,48,x,x,#N/A,x,45304000,0,263000,0,0,4,x,x,2.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0
Sahrawi refugees in Algeria,Displacement,DZA003,Algeria,DZA,159000,223000,174000,x,x,x,2,x,x,#N/A,x,49000,84000,90000,0,0,2,0,0,2.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0
Multiple crises in Algeria,Displacement,DZA004,Algeria,DZA,2381741,45790000,437000,263000,x,x,58,x,x,#N/A,x,45353000,84000,353000,0,0,3,x,x,2.0,2.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0
Venezuela displacement in Ecuador,Displacement,ECU002,Ecuador,ECU,248360,18001000,7592000,502000,x,x,46,x,x,#N/A,x,10409000,7189000,403000,0,0,3,x,x,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0
Refugees in Egypt,"Displacement,Conflict",EGY004,Egypt,EGY,91071.77,14288000,299000,299000,x,x,0,x,x,#N/A,x,13989000,0,299000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0
