,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,0.4,1,0.2,0,1.4,17.1,0,Very High
AFG006,1.4,1.8,0.7,1.7,1.7,53.7,1,High
AGO002,2.3,1.8,5,0,1.7,427.7,0,Medium
ARM002,0.9,2.5,0.3,0,2,19.9,0,Very High
AZE002,2.4,3.8,1.6,1.7,2.5,118.6,1,Medium
BDI001,0.8,2,0.4,0,1.8,27.1,0,Very High
BFA002,0.7,0.3,1.8,0,1.1,131.9,0,Very High
BGD002,0.9,1.8,0.8,0,1.7,56.9,0,Very High
BGD009,1,2,0.9,0,1.8,64.8,0,Very High
BGD010,0.5,1.5,0.1,0,1.6,11.2,0,Very High
BGD011,0.9,2,0.6,0,1.8,44.8,0,Very High
BGR002,1.1,3,0.2,0,2.2,13.4,0,High
BLR002,0.8,2.3,0.2,0,1.9,13.4,0,Very High
BRA001,0.6,1.8,0.1,0,1.7,5.5,0,Very High
BRA002,0.8,2.3,0.1,0,1.9,5.5,0,Very High
BRA003,1.3,3.8,0.1,0,2.5,5.5,0,High
BRA004,1.2,1.8,0.1,1.7,1.7,5.5,1,High
CAF001,0.9,2,0.8,0,1.8,56.3,0,Very High
CHL002,1,2,1.1,0,1.8,79.3,0,Very High
CMR001,0.8,1,1.3,0,1.4,97.5,0,Very High
CMR002,0.7,0.8,1.3,0,1.3,97.5,0,Very High
CMR003,0.8,1,1.3,0,1.4,97.5,0,Very High
CMR004,0.8,1,1.3,0,1.4,97.5,0,Very High
COD001,0.6,0.3,1.4,0,1.1,101.3,0,Very High
COG001,1.4,1.8,2.3,0,1.7,166.7,0,High
COL001,0.5,0.5,1.1,0,1.2,80.2,0,Very High
COL002,0.9,2.3,0.4,0,1.9,32.2,0,Very High
CRI002,2.2,2.3,0.9,3.3,1.9,67.5,2,Medium
CZE002,0.8,2.3,0.2,0,1.9,13.4,0,Very High
DJI001,1,2.3,0.6,0,1.9,44.9,0,Very High
DJI002,0.9,2,0.6,0,1.8,44.9,0,Very High
DJI003,1,2.3,0.6,0,1.9,44.9,0,Very High
DOM002,2.2,2.3,1,3.3,1.9,74.8,2,Medium
DZA002,1.2,2.5,1.1,0,2,80.6,0,High
DZA003,2.6,4.3,1.9,1.7,2.7,142.2,1,Medium
DZA004,1.6,3.5,1.4,0,2.4,103.6,0,High
ECU002,1,2,1,0,1.8,71,0,Very High
EGY004,0.9,2.5,0.3,0,2,19.8,0,Very High
ERI001,1.4,3,1.2,0,2.2,88.2,0,High
ESP002,1.2,2.5,1.1,0,2,81.4,0,High
EST002,0.8,2.3,0.2,0,1.9,13.4,0,Very High
ETH001,1,2.3,0.8,0,1.9,60.8,0,Very High
ETH003,2.1,2.8,1.8,1.7,2.1,135.5,1,Medium
ETH004,1.3,2.8,1.1,0,2.1,83,0,High
ETH005,1.3,2.5,1.5,0,2,111.8,0,High
GRC002,1.7,2.5,2.5,0,2,185.6,0,High
GTM001,1.5,2.3,2.1,0,1.9,153.1,0,High
HND001,1.5,2.3,2.2,0,1.9,159.3,0,High
HTI001,1.1,0.5,2.7,0,1.2,197.3,0,High
HTI002,1.5,2.3,2.3,0,1.9,171.4,0,High
HUN002,0.8,2.3,0.1,0,1.9,11.8,0,Very High
IDN002,1.3,3.5,0.3,0,2.4,26.4,0,High
IND002,3.7,2.8,5,3.3,2.1,727,2,Low
IRN004,4,4,4.7,3.3,2.6,344.2,2,Low
IRQ001,1.3,2,1.9,0,1.8,139.1,0,High
IRQ002,1.5,2.5,2,0,2,147.4,0,High
IRQ003,1.5,2,2.5,0,1.8,185.9,0,High
ITA002,1.1,2.3,1.1,0,1.9,81.4,0,High
JOR002,1.8,3.5,1.8,0,2.4,132.6,0,High
KEN001,1.9,3.5,0.6,1.7,2.4,43.1,1,High
KEN002,1.6,2,1.1,1.7,1.8,84.5,1,High
KEN003,1.6,2.3,0.8,1.7,1.9,61.1,1,High
LAO003,0.9,1.8,0.8,0,1.7,62,0,Very High
