,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
AFG001,67,67,67,0,0,0,0,0,0,0,63,41,41,41,41,41,41,41,41,41,17.1,,
AFG006,68,68,68,68,31,68,68,31,31,68,63,41,41,41,41,41,41,41,41,41,53.7,,
AGO002,487,549,549,5,745,549,549,549,549,549,5,228,228,228,228,228,228,228,228,228,427.7,,
ARM002,0,0,0,0,0,0,0,0,0,0,165,34,34,34,34,34,34,34,34,34,19.9,,
AZE002,164,0,0,0,0,0,0,0,0,0,1152,34,34,34,34,34,34,34,34,34,118.6,,
BDI001,165,9,9,9,9,9,9,9,9,9,165,34,34,34,34,34,34,34,34,34,27.1,,
BFA002,306,179,179,5,5,179,179,179,179,179,5,230,230,230,230,230,230,230,230,230,131.9,,
BGD002,65,4,4,4,4,65,65,4,65,65,65,228,228,228,228,228,228,228,228,228,56.9,,
BGD009,65,65,65,4,65,65,65,65,65,65,65,124,124,124,124,124,124,124,124,124,64.8,,
BGD010,46,4,4,4,4,4,4,4,4,4,46,34,34,34,34,34,34,34,34,34,11.2,,
BGD011,46,46,46,46,46,46,46,46,46,46,46,34,34,34,34,34,34,34,34,34,44.8,,
BGR002,9,9,9,9,9,9,9,9,9,9,9,53,53,53,53,53,53,53,53,53,13.4,,
BLR002,9,9,9,9,9,9,9,9,9,9,9,53,53,53,53,53,53,53,53,53,13.4,,
BRA001,2,2,2,2,2,2,2,2,2,2,2,37,37,37,37,37,37,37,37,37,5.5,,
BRA002,2,2,2,2,2,2,2,2,2,2,2,37,37,37,37,37,37,37,37,37,5.5,,
BRA003,2,2,2,2,2,2,2,2,2,2,2,37,37,37,37,37,37,37,37,37,5.5,,
BRA004,2,2,2,2,2,2,2,2,2,2,2,37,37,37,37,37,37,37,37,37,5.5,,
CAF001,53,53,53,5,5,53,53,53,53,53,5,230,230,230,230,230,230,230,230,230,56.3,,
CHL002,92,92,92,92,31,92,92,92,92,92,92,26,26,26,26,26,26,26,26,26,79.3,,
CMR001,179,122,122,5,5,122,122,122,122,122,5,228,228,228,228,228,228,228,228,228,97.5,,
CMR002,179,122,122,5,5,122,122,122,122,122,5,228,228,228,228,228,228,228,228,228,97.5,,
CMR003,179,122,122,5,5,122,122,122,122,122,5,228,228,228,228,228,228,228,228,228,97.5,,
