,,,,,,,,,,,,,,,,,,,,,
CRISIS,Website name,CRISIS ID,COUNTRY,ISO3,DRIVERS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical Impact,Human Impact,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,0.3,,,,
(a-z),,,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Complex crisis in Afghanistan,Complex crisis,AFG001,Afghanistan,AFG,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",4.4,5,Very High,Decreasing,Very High,4.7,4.9,4.6,4.5,5,4,4,4,4,Asia,2023-12-31 00:00:00
Earthquake in Herat Province,Earthquake in Herat Province,AFG006,Afghanistan,AFG,Earthquake,3,3,Medium,-,High,3.3,1.4,3.9,2.7,2.4,3,3.3,4,2.5,Asia,2023-12-31 00:00:00
Drought in South-West Angola,Drought in South-West,AGO002,Angola,AGO,Drought,3.2,4,High,Increasing,Medium,2.8,3.7,2.2,3.85,3.7,4,2.4,3.1,1.5,Africa,2023-12-26 00:00:00
Nagorno-Karabakh Conflict in Armenia,Nagorno-Karabakh Conflict in Armenia,ARM002,Armenia,ARM,"Conflict,Displacement",2.3,3,Medium,Increasing,Very High,2.2,2.4,2.1,2.45,1.9,3,2,1.9,2,Middle east,2023-12-31 00:00:00
Nagorno-Karabakh conflict in Azerbaijan,Nagorno-Karabakh conflict in Azerbaijan,AZE002,Azerbaijan,AZE,"Conflict,Displacement",2.2,3,Medium,Increasing,Medium,2.5,0.9,3.1,1.2,0.4,2,3.3,3,3.5,Middle east,2023-12-31 00:00:00
Complex in Burundi,Complex crisis ,BDI001,Burundi,BDI,"Violence,Displacement,Floods",3.4,4,High,Stable,Very High,3.4,4,3,3.4,3.8,3,3.3,3,3.5,Africa,2023-12-22 00:00:00
Conflict in Burkina Faso,Conflict,BFA002,Burkina Faso,BFA,"Conflict,Displacement,Violence",4,4,High,Stable,Very High,4,4.1,4,4.2,4.4,4,3.6,3.2,4,Africa,2023-12-26 00:00:00
Rohingya refugee crisis,Rohingya Refugees,BGD002,Bangladesh,BGD,"Conflict,Violence,Displacement",3.3,4,High,Stable,Very High,2.9,0.2,3.8,3.8,3.6,4,2.6,2.7,2.5,Asia,2023-12-27 00:00:00
Floods and Monsoon Rain in Chattogram Division,Floods and Monsoon Rain in Chattogram Division,BGD009,Bangladesh,BGD,Floods,2.8,3,Medium,Stable,Very High,2.5,1,3.1,3,3,3,2.6,2.7,2.5,Asia,2023-12-27 00:00:00
Complex crisis in Bangladesh,Complex crisis,BGD010,Bangladesh,BGD,"Socio-political,Displacement,Floods,Cyclone,Food Security,Epidemic,Other seasonal event",4.1,5,Very High,-,Very High,4.1,4.7,3.7,4.5,5,4,3.4,2.7,4,Asia,2023-12-27 00:00:00
Cyclone Hamoon,Cyclone Hamoon,BGD011,Bangladesh,BGD,Cyclone,1.6,2,Low,-,Very High,1,1.5,0.8,1.65,2.3,1,1.9,2.7,1,Asia,2023-12-27 00:00:00
Displacement from Russia-Ukraine conflict in Bulgaria,Displacement from Russia-Ukraine conflict,BGR002,Bulgaria,BGR,"Conflict,Displacement",1.5,2,Low,-,High,2.5,4,1.4,1.1,1.2,1,1.2,1.4,1,Europe,2023-12-22 00:00:00
Displacement from Russia-Ukraine conflict in Belarus,Displacement from Russia-Ukraine conflict,BLR002,Belarus,BLR,"Displacement,Conflict",1.8,2,Low,-,Very High,2.6,4.3,1.2,0.95,0.9,1,2.4,2.2,2.5,Europe,2023-12-22 00:00:00
Country level Brazil,Country level,BRA001,Brazil,BRA,"Displacement,Floods",2.4,3,Medium,Decreasing,Very High,2.9,4.5,1.7,2.15,3.3,1,2.4,2.3,2.5,Americas,2023-12-29 00:00:00
Venezuela displacement in Brazil,Venezuelan refugees,BRA002,Brazil,BRA,Displacement,2.1,3,Medium,Decreasing,Very High,2,3.6,0.9,1.8,2.6,1,2.7,2.3,3,Americas,2023-12-29 00:00:00
Floods in rainy season 2022,Floods,BRA003,Brazil,BRA,Floods,1.4,2,Low,Stable,High,2.1,2.3,2,0.85,0.7,1,1.7,2.3,1,Americas,2023-12-29 00:00:00
Drought in the Amazonas,Drought in the Amazonas,BRA004,Brazil,BRA,Drought,2.3,3,Medium,-,High,1.6,2.1,1.3,3,3,3,1.5,2.3,0.5,Americas,2023-12-29 00:00:00
Complex crisis in CAR,Complex crisis,CAF001,CAR,CAF,"Conflict,Displacement",4.1,5,Very High,Decreasing,Very High,4.3,4.4,4.2,4.1,4.2,4,4,3.9,4,Africa,2023-12-26 00:00:00
Venezuela displacement in Chile,Venezuelan refugees,CHL002,Chile,CHL,Displacement,2.6,3,Medium,Stable,Very High,3.8,4.8,3,2.25,2.5,2,2,1.5,2.5,Americas,2023-12-05 00:00:00
Multiple crises in Cameroon,Country level,CMR001,Cameroon,CMR,"Conflict,Displacement",4.1,5,Very High,Increasing,Very High,4.1,4.7,3.7,4.15,4.3,4,3.9,3.7,4,Africa,2023-12-26 00:00:00
Lake Chad basin crisis in Cameroon,Lake Chad basin crisis,CMR002,Cameroon,CMR,Conflict,3.6,4,High,Stable,Very High,3.1,1.6,3.6,3.85,3.7,4,3.6,3.7,3.5,Africa,2023-12-26 00:00:00
Anglophone Crisis in Cameroon,Anglophone crisis,CMR003,Cameroon,CMR,Conflict,3.5,4,High,Stable,Very High,3.2,2.7,3.4,3.35,3.7,3,3.9,3.7,4,Africa,2023-12-26 00:00:00
CAR refugees in Cameroon,CAR refugees,CMR004,Cameroon,CMR,"Conflict,Displacement",2.8,3,Medium,Stable,Very High,2.3,2.5,2.2,3,3,3,3,3.7,2,Africa,2023-12-26 00:00:00
Complex crisis in DRC,Complex crisis,COD001,DRC,COD,"Conflict,Displacement,Socio-political",4.3,5,Very High,Stable,Very High,4.3,5,3.9,4.5,5,4,4.1,4.2,4,Africa,2023-12-26 00:00:00
Complex crisis in Congo,Complex crisis,COG001,Congo,COG,Conflict,2.3,3,Medium,Stable,High,2.9,4.2,1.9,1.95,1.9,2,2.3,2.6,2,Africa,2023-12-26 00:00:00
Complex crisis in Colombia,Complex crisis,COL001,Colombia,COL,"Socio-political,Conflict,Violence,Floods,Displacement",3.9,4,High,Decreasing,Very High,4.1,5,3.4,4.4,4.8,4,2.9,2.8,3,Americas,2023-11-29 00:00:00
Venezuela displacement in Colombia,Venezuelan refugees ,COL002,Colombia,COL,Displacement,3.7,4,High,Increasing,Very High,3.6,2.6,4,4.3,4.6,4,2.7,2.8,2.5,Americas,2023-11-29 00:00:00
Nicaraguan refugees in Costa Rica,Nicaraguan refugees,CRI002,Costa Rica,CRI,Displacement,2.1,3,Medium,Stable,Medium,2.4,0.9,3,2.65,2.3,3,1,0.9,1,Americas,2023-11-29 00:00:00
Displacement from Russia-Ukraine conflict in Czechia,Displacement from Russia-Ukraine conflict,CZE002,Czech Republic,CZE,"Conflict,Displacement",1.8,2,Low,-,Very High,2.9,4.2,2,1.8,2.6,1,0.8,0.6,1,Europe,2023-12-22 00:00:00
Multiple crises in Djibouti,Country level,DJI001,Djibouti,DJI,"Displacement,Drought",2.9,3,Medium,Increasing,Very High,2.4,3.2,1.9,3.25,2.5,4,2.6,2.1,3,Africa,2023-12-29 00:00:00
