,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,1.3,1.3,2.5,0,1.5,180.4,0,High
AGO002,1.9,1.8,3.8,0,1.7,275.5,0,High
ARM002,2.1,2.3,3.9,0,1.9,285.5,0,Medium
AZE002,2.6,3.8,2.2,1.7,2.5,157.9,1,Medium
BDI001,0.8,2,0.5,0,1.8,37,0,Very High
BFA002,1.9,2.3,3.4,0,1.9,245,0,High
BGD002,0.8,1.8,0.5,0,1.7,35.5,0,Very High
BRA001,0.7,1.8,0.4,0,1.7,28.6,0,Very High
BRA002,1.5,2.3,0.4,1.7,1.9,28.6,1,High
BRA003,1.6,2.8,0.4,1.7,2.1,28.6,1,High
CAF001,1.2,2.3,1.3,0,1.9,97.6,0,High
CHL002,0.7,1.8,0.4,0,1.7,28.7,0,Very High
CMR001,1.7,2,3,0,1.8,217.7,0,High
CMR002,1.7,1.8,3.4,0,1.7,248.2,0,High
CMR003,1.8,2,3.4,0,1.8,248.2,0,High
CMR004,2.4,2.3,5,0,1.9,377.6,0,Medium
COD001,1.9,2.3,3.4,0,1.9,245.2,0,High
COG001,0.9,2,0.6,0,1.8,41.1,0,Very High
COL001,0.3,0.3,0.5,0,1.1,34,0,Very High
COL002,1.3,1.8,0.5,1.7,1.7,34,1,High
CRI002,2.1,2.3,0.7,3.3,1.9,49.3,2,Medium
DJI001,1.3,2.3,1.5,0,1.9,107.9,0,High
DJI002,1.1,2,1.4,0,1.8,100.9,0,High
DJI003,2.4,2.3,1.6,3.3,1.9,115.1,2,Medium
DOM002,2.1,2.3,0.7,3.3,1.9,53,2,Medium
DZA002,1.2,2.5,1.2,0,2,89.9,0,High
DZA003,3.1,4.3,3.4,1.7,2.7,250.5,1,Low
DZA004,1.6,3.5,1.2,0,2.4,87.8,0,High
ECU002,0.7,1.8,0.4,0,1.7,28.6,0,Very High
EGY001,0.8,2.5,0,0,2,2,0,Very High
EGY002,0.9,2.5,0.1,0,2,5.5,0,Very High
EGY003,0.8,2.5,0,0,2,2,0,Very High
ERI001,1.3,3,1,0,2.2,74,0,High
ESP002,1.1,2.5,0.7,0,2,51.9,0,High
ETH001,0.7,1,1,0,1.4,74,0,Very High
ETH003,1.8,2,1.7,1.7,1.8,127.5,1,High
ETH004,1,1.3,1.6,0,1.5,121,0,Very High
ETH005,0.9,1.3,1.4,0,1.5,103.8,0,Very High
GRC002,2,3.5,2.5,0,2.4,179.7,0,High
GTM001,0.9,2.3,0.3,0,1.9,21.5,0,Very High
HND001,0.9,2.3,0.3,0,1.9,21.4,0,Very High
HTI001,0.3,0.3,0.6,0,1.1,46.6,0,Very High
HTI002,0.9,2.3,0.5,0,1.9,39.4,0,Very High
HUN002,1,2.3,0.7,0,1.9,52.1,0,Very High
IDN002,1.6,3,1.9,0,2.2,136.7,0,High
IDN007,1.4,3.3,1,0,2.3,77.2,0,High
IDN008,0.8,1.3,1,0,1.5,77.2,0,Very High
IND002,4.1,2.3,5,5,1.9,747.4,3,Very Low
IRN004,3.2,4,2.3,3.3,2.6,169.6,2,Low
IRQ001,1.8,3.5,1.9,0,2.4,141.8,0,High
IRQ002,1.2,1.3,2.3,0,1.5,167.6,0,High
IRQ003,2,3.5,2.5,0,2.4,182.2,0,High
ITA002,1,2.3,0.7,0,1.9,52.1,0,Very High
JOR002,1.8,3.5,2,0,2.4,148.9,0,High
KEN001,2.2,2.5,0.9,3.3,2,69.7,2,Medium
KEN002,2.2,2,1.2,3.3,1.8,91,2,Medium
KEN003,3.1,2,2.3,5,1.8,164.9,3,Low
LBN002,2.4,3.5,2.1,1.7,2.4,152.1,1,Medium
LBN004,2.4,3.3,2.1,1.7,2.3,155.8,1,Medium
LBY001,0.6,1,0.7,0,1.4,51.8,0,Very High
LBY002,0.9,2,0.7,0,1.8,51.8,0,Very High
LKA002,1.6,1.8,2.9,0,1.7,211.6,0,High
MAR002,2.4,4,3.2,0,2.6,234.2,0,Medium
MDA002,1,2.3,0.7,0,1.9,52.1,0,Very High
MDG001,0.7,1.8,0.4,0,1.7,27.5,0,Very High
MDG002,1,0.8,0.5,1.7,1.3,39,1,Very High
MDG008,0.9,2.3,0.3,0,1.9,21.4,0,Very High
MEX001,1.7,4,1.1,0,2.6,79,0,High
MEX002,1.6,3.8,1.1,0,2.5,79,0,High
MEX003,1.6,3.8,1.1,0,2.5,79,0,High
MLI001,0.6,0.5,1.3,0,1.2,96,0,Very High
MMR001,0.8,2,0.3,0,1.8,22.3,0,Very High
MMR002,1.8,2.3,3,0,1.9,216.3,0,High
MMR003,1.6,2.3,2.4,0,1.9,179.1,0,High
MMR004,1.4,2,2.3,0,1.8,164.9,0,High
MMR005,1.5,2.5,0.3,1.7,2,20.9,1,High
MNG002,1.6,2.3,0.8,1.7,1.9,62.2,1,High
MOZ001,0.9,2.5,0.3,0,2,21.4,0,Very High
MOZ004,1.1,3,0.3,0,2.2,21.4,0,High
MOZ009,0.9,2.3,0.3,0,1.9,21.4,0,Very High
MOZ010,0.9,2.3,0.3,0,1.9,21.4,0,Very High
MRT002,0.7,1.5,0.6,0,1.6,43.1,0,Very High
MRT003,1.8,0.8,3,1.7,1.3,219.5,1,High
MWI002,0.4,1,0.3,0,1.4,26.3,0,Very High
MWI005,0.3,0.5,0.3,0,1.2,26.3,0,Very High
MYS001,2,2.8,3.1,0,2.1,225.1,0,High
NAM002,1.8,0.5,3.2,1.7,1.2,234.3,1,High
NER001,0.6,0.5,1.3,0,1.2,95.8,0,Very High
NER002,0.9,0.3,2.5,0,1.1,185.8,0,Very High
NER003,1.2,1,2.5,0,1.4,183.2,0,High
NER004,1.4,1.8,2.4,0,1.7,174.5,0,High
NGA001,2,3.8,2.3,0,2.5,166.6,0,High
NGA003,2.3,3.8,3.1,0,2.5,226.1,0,Medium
NGA004,2.3,2.3,2.9,1.7,1.9,208.6,1,Medium
NGA007,2.1,3.5,2.9,0,2.4,209.4,0,Medium
NGA008,2.1,2.3,2.4,1.7,1.9,176.3,1,Medium
NIC001,2.1,2.3,2.2,1.7,1.9,158.9,1,Medium
PAK001,1.5,1.8,2.7,0,1.7,197.6,0,High
PAK004,3.2,1.3,5,3.3,1.5,488.3,2,Low
PAK005,1.8,2.3,3.2,0,1.9,231.8,0,High
PAN002,0.9,2.5,0.3,0,2,22.3,0,Very High
PER002,0.7,1.8,0.4,0,1.7,28.7,0,Very High
PHL001,1.2,3.3,0.3,0,2.3,22.3,0,High
PHL003,2,3.8,2.2,0,2.5,160,0,High
PHL012,1.1,2,1.2,0,1.8,89.1,0,High
PNG003,1.4,1.5,2.6,0,1.6,190.8,0,High
POL002,0.9,2,0.7,0,1.8,51.8,0,Very High
PRK001,2.2,3.5,3,0,2.4,216.9,0,Medium
PSE002,1.2,0.8,2.7,0,1.3,200.9,0,High
REG001,1.4,1.8,2.5,0,1.7,185.8,0,High
REG002,2.2,2.8,3.9,0,2.1,285.7,0,Medium
REG003,3.3,3.3,5,1.7,2.3,995.7,1,Low
REG004,1.7,2.5,2.7,0,2,199.6,0,High
REG006,2.5,3.5,2.3,1.7,2.4,169.5,1,Medium
REG007,1,2.3,0.7,0,1.9,49,0,Very High
REG008,1,2.3,0.7,0,1.9,49,0,Very High
REG011,0.8,2,0.5,0,1.8,35.5,0,Very High
REG012,0.8,2,0.3,0,1.8,21.4,0,Very High
REG013,1.4,3,1.3,0,2.2,98.7,0,High
REG014,1.4,2.3,1.8,0,1.9,131.2,0,High
REG015,1.7,4,1,0,2.6,75.9,0,High
ROU002,1,2.3,0.7,0,1.9,51.9,0,Very High
RWA002,2.8,2.8,2.2,3.3,2.1,162.6,2,Medium
SDN001,0.4,0.8,0.3,0,1.3,21.4,0,Very High
SDN005,0.9,1.5,1.1,0,1.6,83.9,0,Very High
SDN008,0.9,1.5,1.3,0,1.6,97.5,0,Very High
SEN002,0.5,0.3,1.2,0,1.1,90.5,0,Very High
SLV001,0.9,2.3,0.3,0,1.9,22.3,0,Very High
SOM001,0.8,2,0.4,0,1.8,32.9,0,Very High
SOM002,1.2,2.3,1.3,0,1.9,95.9,0,High
SSD001,1.3,2.5,1.5,0,2,108.7,0,High
SVK002,1,2.3,0.7,0,1.9,51.9,0,Very High
SWZ001,2.2,0.8,4.2,1.7,1.3,306.6,1,Medium
SYR001,1.2,0.8,2.8,0,1.3,208.3,0,High
SYR002,1.7,4.3,0.8,0,2.7,59.4,0,High
TCD001,2.8,3.3,5,0,2.3,481.4,0,Medium
TCD003,2.8,3.5,5,0,2.4,374.4,0,Medium
TCD004,2.5,2.5,5,0,2,371.9,0,Medium
TCD005,1.5,1.3,3.3,0,1.5,244.2,0,High
THA001,2.5,3,4.4,0,2.2,322.1,0,Medium
THA002,3.5,2.3,5,3.3,1.9,878.7,2,Low
THA003,2.4,2.8,4.4,0,2.1,322.1,0,Medium
TTO002,0.7,1.8,0.4,0,1.7,28.7,0,Very High
TUN002,1.1,2.5,0.7,0,2,51.9,0,High
TUR001,1.8,2.5,2.8,0,2,205.9,0,High
TUR002,2.4,2.3,3.3,1.7,1.9,243,1,Medium
TUR003,1.8,2.5,2.8,0,2,205.9,0,High
TUR004,2.3,3.8,3.1,0,2.5,225.3,0,Medium
TUR005,1.7,4.3,0.8,0,2.7,59.2,0,High
TZA001,0.7,1.5,0.7,0,1.6,49.2,0,Very High
TZA002,0.7,1.3,0.7,0,1.5,49.2,0,Very High
TZA003,1,1,2.1,0,1.4,151.8,0,Very High
UGA005,2.2,2.8,2,1.7,2.1,144.6,1,Medium
UKR002,1,1.8,1.1,0,1.7,78,0,Very High
VEN001,1,2.5,0.5,0,2,35.9,0,Very High
VUT003,2.3,2.8,0.8,3.3,2.1,61.6,2,Medium
YEM001,0.6,0.8,1.1,0,1.3,83.5,0,Very High
YEM002,1,2.5,0.5,0,2,34.8,0,Very High
ZMB002,1.8,0.5,4.9,0,1.2,359.3,0,High
ZWE001,0.9,1.5,1.3,0,1.6,93.6,0,Very High
