,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,0.5,1,0.4,0,1.4,29.4,0,Very High
AFG006,1.3,1.8,0.3,1.7,1.7,22.7,1,High
AGO002,2.3,1.8,5,0,1.7,401.9,0,Medium
ARM002,0.9,2.5,0.2,0,2,16.7,0,Very High
AZE002,2.4,3.8,1.6,1.7,2.5,115.4,1,Medium
BDI001,1.1,2,1.3,0,1.8,94.3,0,High
BFA002,0.6,0.3,1.5,0,1.1,108.7,0,Very High
BGD002,0.8,1.8,0.5,0,1.7,36.7,0,Very High
BGD009,0.8,2,0.5,0,1.8,39.9,0,Very High
BGD010,0.5,1.5,0.1,0,1.6,6.3,0,Very High
BGD011,0.7,2,0.2,0,1.8,13.8,0,Very High
BGR002,1.2,3,0.5,0,2.2,34.6,0,High
BLR002,0.9,2.3,0.5,0,1.9,34.6,0,Very High
BRA001,0.6,1.8,0,0,1.7,0.6,0,Very High
BRA002,1,2.3,0.7,0,1.9,55.5,0,Very High
BRA003,1.5,3.8,0.7,0,2.5,55.5,0,High
BRA004,1.2,1.8,0,1.7,1.7,0.6,1,High
CAF001,0.8,2,0.4,0,1.8,33.1,0,Very High
CHL002,1,2,0.9,0,1.8,68.6,0,Very High
CMR001,0.7,1,1,0,1.4,74.3,0,Very High
CMR002,0.6,0.8,1,0,1.3,74.3,0,Very High
CMR003,0.7,1,1,0,1.4,74.3,0,Very High
CMR004,0.7,1,1,0,1.4,74.3,0,Very High
COD001,0.5,0.3,1.1,0,1.1,78.1,0,Very High
COG001,1.3,1.8,2,0,1.7,143.5,0,High
COL001,0.5,0.5,0.9,0,1.2,68.6,0,Very High
COL002,0.9,2.3,0.3,0,1.9,20.6,0,Very High
CRI002,2.1,2.3,0.8,3.3,1.9,55.9,2,Medium
CZE002,0.8,2.3,0,0,1.9,3.1,0,Very High
DJI001,0.9,2.3,0.5,0,1.9,37.1,0,Very High
DJI002,0.8,2,0.5,0,1.8,37.1,0,Very High
DJI003,0.9,2.3,0.5,0,1.9,37.1,0,Very High
DOM002,2.4,2.3,1.5,3.3,1.9,107.5,2,Medium
DZA002,1.1,2.5,0.7,0,2,49.6,0,High
DZA003,2.5,4.3,1.5,1.7,2.7,111.2,1,Medium
DZA004,1.5,3.5,1,0,2.4,72.6,0,High
ECU002,1,2,0.9,0,1.8,68.5,0,Very High
EGY004,0.9,2.5,0.2,0,2,13.6,0,Very High
ERI001,1.3,3,1,0,2.2,70.5,0,High
ESP002,1.1,2.5,0.7,0,2,50.4,0,High
EST002,0.8,2.3,0,0,1.9,3.1,0,Very High
ETH001,1,2.3,0.7,0,1.9,53,0,Very High
ETH003,2.1,2.8,1.7,1.7,2.1,124.8,1,Medium
ETH004,1.3,2.8,1,0,2.1,75.2,0,High
ETH005,1.3,2.5,1.4,0,2,101.1,0,High
GRC002,1.6,2.5,2.4,0,2,177,0,High
GTM001,1.3,2.3,1.7,0,1.9,125.3,0,High
HND001,1.4,2.3,1.8,0,1.9,131.5,0,High
HTI001,1,0.5,2.6,0,1.2,188.6,0,Very High
HTI002,1.5,2.3,2.2,0,1.9,159.8,0,High
HUN002,1.1,2.3,1.1,0,1.9,78.1,0,High
IDN002,1.3,3,1,0,2.2,73.3,0,High
IND002,3.7,2.8,5,3.3,2.1,719.2,2,Low
IRN004,4,4,4.6,3.3,2.6,332.6,2,Low
IRQ001,1.3,2,1.8,0,1.8,131.3,0,High
IRQ002,1.5,2.5,1.9,0,2,139.6,0,High
IRQ003,1.5,2,2.4,0,1.8,175.2,0,High
ITA002,1,2.3,0.7,0,1.9,50.4,0,Very High
JOR002,1.7,3.5,1.7,0,2.4,124.8,0,High
KEN001,2.3,3.3,0.3,3.3,2.3,25.9,2,Medium
KEN002,2,2,0.7,3.3,1.8,53.5,2,High
KEN003,2.2,2.3,0.9,3.3,1.9,65.4,2,Medium
LAO003,0.7,1.8,0.4,0,1.7,31,0,Very High
LBN002,1.3,2,1.9,0,1.8,141.5,0,High
LBN004,1.5,2,2.6,0,1.8,187.4,0,High
LBY001,0.8,2.3,0.1,0,1.9,7.6,0,Very High
LBY002,0.9,2,0.7,0,1.8,49.8,0,Very High
LBY003,0.6,1.8,0.1,0,1.7,7.7,0,Very High
LKA001,0.6,1.5,0.4,0,1.6,32.4,0,Very High
LKA002,1.3,1.5,0.8,1.7,1.6,58.3,1,High
LKA003,0.8,1.8,0.5,0,1.7,36,0,Very High
LTU002,0.8,2.3,0,0,1.9,3.1,0,Very High
LVA002,0.8,2.3,0,0,1.9,3.1,0,Very High
MAR001,1.3,3.8,0.1,0,2.5,7.9,0,High
MAR002,1.6,4,0.7,0,2.6,50.1,0,High
