,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,0.4,1,0.1,0,1.4,5.7,0,Very High
AFG006,1.3,2,0.1,1.7,1.8,6.5,1,High
AGO002,2.3,1.8,5,0,1.7,377.9,0,Medium
ARM002,1,2.5,0.4,0,2,27,0,Very High
AZE002,2.4,3.8,1.7,1.7,2.5,125.7,1,Medium
BDI001,1.1,2,1.2,0,1.8,90.3,0,High
BFA002,0.5,0.3,1.2,0,1.1,87.7,0,Very High
BGD002,0.7,1.8,0.3,0,1.7,20.3,0,Very High
BGD009,0.7,2,0.1,0,1.8,9.9,0,Very High
BGD010,0.5,1.5,0,0,1.6,4.2,0,Very High
BRA001,0.8,1.8,0.6,0,1.7,44.6,0,Very High
BRA002,1,2.3,0.6,0,1.9,44.6,0,Very High
BRA003,1.5,3.8,0.6,0,2.5,44.6,0,High
CAF001,1.3,1.8,2.2,0,1.7,163.9,0,High
CHL002,0.8,1.8,0.6,0,1.7,43.4,0,Very High
CMR001,0.6,1,0.7,0,1.4,53.3,0,Very High
CMR002,0.5,0.8,0.7,0,1.3,53.3,0,Very High
CMR003,0.6,1,0.7,0,1.4,53.3,0,Very High
CMR004,0.6,1,0.7,0,1.4,53.3,0,Very High
COD001,0.4,0.3,0.8,0,1.1,57.1,0,Very High
COG001,1.4,2,2.2,0,1.8,158.8,0,High
COL001,0.3,0.3,0.6,0,1.1,43.3,0,Very High
COL002,0.9,2.3,0.4,0,1.9,32.9,0,Very High
CRI002,2.1,2.3,0.6,3.3,1.9,44.4,2,Medium
DJI001,1,2.3,0.7,0,1.9,50.5,0,Very High
DJI002,0.9,2,0.7,0,1.8,50.5,0,Very High
DJI003,1,2.3,0.7,0,1.9,50.5,0,Very High
DOM002,2.5,2.3,1.8,3.3,1.9,132.9,2,Medium
DZA002,1.1,2.5,0.9,0,2,65.1,0,High
DZA003,2.5,4.3,1.6,1.7,2.7,120.1,1,Medium
DZA004,1.6,3.5,1.2,0,2.4,84.8,0,High
ECU002,0.8,1.8,0.6,0,1.7,44.6,0,Very High
EGY004,0.9,2.5,0.3,0,2,21.8,0,Very High
ERI001,1.4,3,1.1,0,2.2,83,0,High
ESP002,1.1,2.5,0.9,0,2,64.9,0,High
ETH001,1.1,2.3,0.9,0,1.9,66,0,High
ETH003,2.1,2.8,1.8,1.7,2.1,134.8,1,Medium
ETH004,1.3,2.8,1.2,0,2.1,88.2,0,High
ETH005,1.3,2.5,1.5,0,2,111.1,0,High
GRC002,1.8,2.5,2.8,0,2,202.5,0,High
GTM001,1.3,2.3,1.6,0,1.9,118.2,0,High
HND001,1.2,2.3,1.4,0,1.9,105.4,0,High
HTI001,0.9,0.5,2.2,0,1.2,162.8,0,Very High
HTI002,1.4,2.3,1.8,0,1.9,129.8,0,High
HUN002,1.1,2.3,0.9,0,1.9,67.5,0,High
IDN002,1.2,3,0.7,0,2.2,50,0,High
IDN007,1.3,3.3,0.7,0,2.3,50,0,High
IDN008,1,2.3,0.7,0,1.9,50,0,Very High
IND002,3.6,2.5,5,3.3,2,691.5,2,Low
IRN004,3.8,4,4.1,3.3,2.6,302.6,2,Low
IRQ001,1.3,2,2,0,1.8,144.6,0,High
IRQ002,1.5,2.5,2.1,0,2,152.9,0,High
IRQ003,1.5,2,2.6,0,1.8,188.5,0,High
ITA002,1.1,2.3,0.9,0,1.9,65.1,0,High
JOR002,1.8,3.5,1.9,0,2.4,138.1,0,High
KEN001,2.4,3.5,0.5,3.3,2.4,40.9,2,Medium
KEN002,2.1,2,1.1,3.3,1.8,78.5,2,Medium
KEN003,3.1,2,2.2,5,1.8,159.5,3,Low
LAO003,0.6,1.8,0,0,1.7,1,0,Very High
LBN002,1.3,2,2,0,1.8,147.1,0,High
LBN004,1.5,2,2.5,0,1.8,181.8,0,High
LBY001,0.8,2.3,0.1,0,1.9,9.5,0,Very High
LBY002,1,2,0.9,0,1.8,64.8,0,Very High
LBY003,0.6,1.8,0.1,0,1.7,9.6,0,Very High
LKA001,0.5,1.5,0.1,0,1.6,6,0,Very High
LKA002,1.2,1.5,0.4,1.7,1.6,31.9,1,High
LKA003,0.6,1.8,0.1,0,1.7,6,0,Very High
MAR001,1.3,3.8,0.1,0,2.5,9.4,0,High
MAR002,1.6,4,0.9,0,2.6,64.8,0,High
MAR003,1,3,0.1,0,2.2,9.4,0,Very High
MDA002,1,2,0.9,0,1.8,68.3,0,Very High
MDG001,0.7,1.8,0.4,0,1.7,32,0,Very High
MDG002,0.9,2.3,0.4,0,1.9,32,0,Very High
MDG008,0.9,2.3,0.4,0,1.9,32,0,Very High
MEX001,1.7,4,1.2,0,2.6,85.7,0,High
MEX002,2.1,3.8,2.6,0,2.5,190.4,0,Medium
MEX003,1.5,3.8,0.7,0,2.5,52.4,0,High
MLI001,1,0.5,2.5,0,1.2,183.1,0,Very High
MMR001,0.8,2,0.3,0,1.8,21.2,0,Very High
MMR002,0.8,2,0.3,0,1.8,21.2,0,Very High
MMR003,0.8,2,0.3,0,1.8,21.2,0,Very High
MMR004,0.9,2.3,0.3,0,1.9,21.2,0,Very High
MMR005,1.5,2.5,0.3,1.7,2,19.8,1,High
MOZ001,1,2.5,0.4,0,2,32,0,Very High
MOZ004,1.1,3,0.4,0,2.2,32,0,High
MOZ009,1.3,2.3,1.7,0,1.9,123.8,0,High
MOZ010,1.1,2.8,0.6,0,2.1,47.3,0,High
MRT002,0.7,1.5,0.5,0,1.6,37.5,0,Very High
MRT003,1.6,0.8,2.2,1.7,1.3,164.1,1,High
MWI002,0.8,1.8,0.5,0,1.7,35.3,0,Very High
MWI005,1,2.5,0.5,0,2,35.3,0,Very High
MYS001,1.5,2.8,1.6,0,2.1,119.2,0,High
NAM002,2.1,1.5,3.2,1.7,1.6,237.2,1,Medium
NER001,0.5,0.3,1.2,0,1.1,88.1,0,Very High
NER002,0.5,0.3,1.2,0,1.1,88.1,0,Very High
NER003,0.5,0.3,1.2,0,1.1,88.1,0,Very High
NER004,0.5,0.3,1.2,0,1.1,88.1,0,Very High
