,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
AFG001,243,62,62,3,3,61,61,31,31,96,976,144,144,144,138,144,144,138,138,138,146.8,,
AGO002,395,457,457,0,653,457,457,457,457,457,0,136,136,136,136,136,136,136,136,136,353.1,,
ARM002,73,0,0,0,0,0,0,0,0,0,73,135,135,135,135,135,135,135,135,135,20.8,,
AZE002,72,0,0,0,0,0,0,0,0,0,1060,135,135,135,135,135,135,135,135,135,119.5,,
BDI001,73,73,73,3,3,73,73,73,73,73,73,136,136,136,136,136,136,136,136,136,65.3,,
BFA002,214,87,87,0,0,87,87,87,87,87,0,138,138,138,138,138,138,138,138,138,66,,
BGD001,6,6,6,6,6,6,6,6,6,6,6,32,32,32,32,32,32,32,32,32,8.6,,
BGD002,6,6,6,6,6,6,6,6,6,6,6,136,136,136,136,136,136,136,136,136,19,,
BGD009,6,6,6,6,6,6,6,6,6,6,6,32,32,32,32,32,32,32,32,32,8.6,,
BRA001,0,0,0,0,0,0,0,0,0,0,0,136,136,136,136,136,136,136,136,136,13.6,,
BRA002,0,0,0,0,0,0,0,0,0,0,0,136,136,136,136,136,136,136,136,136,13.6,,
BRA003,0,0,0,0,0,0,0,0,0,0,0,136,136,136,136,136,136,136,136,136,13.6,,
CAF001,214,214,214,0,0,214,214,214,214,214,0,138,138,138,138,138,138,138,138,138,142.2,,
CHL002,0,0,0,0,0,0,0,0,0,0,0,137,137,137,137,137,137,137,137,137,13.7,,
CMR001,87,30,30,0,0,30,30,30,30,30,0,136,136,136,136,136,136,136,136,136,31.6,,
CMR002,87,30,30,0,0,30,30,30,30,30,0,136,136,136,136,136,136,136,136,136,31.6,,
CMR003,87,30,30,0,0,30,30,30,30,30,0,136,136,136,136,136,136,136,136,136,31.6,,
CMR004,87,30,30,0,0,30,30,30,30,30,0,136,136,136,136,136,136,136,136,136,31.6,,
COD001,214,36,36,0,0,36,36,36,36,36,0,138,138,138,138,138,138,138,138,138,35.4,,
COG001,156,145,145,145,0,145,145,145,145,145,156,138,138,138,138,138,138,138,138,138,130.9,,
