,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
,,,,MAX,6,,1,,7.5,,1,,,7.5,,1,,6.5,,0.15,,3.5,,0.0001,,,
,,,,MIN,3,,0.02,,6,,0.01,,,4.5,,0.01,,3,,0,,0,,0,,,
CRISIS,DRIVERS,CRISIS ID,COUNTRY,Iso3,,,,,,,,,,,,,,,,,,,,,,,
Complex crisis in Afghanistan,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",AFG001,Afghanistan,AFG,4.7,1.0000107220537329,5,4.85,5,1,5,5,4.9,5,1,5,5,5,0.5409280742459397,5,5,4,1.4733178654292343e-05,0.7,2.4,4.1,4.6
Drought in South-West Angola,Drought,AGO002,Angola,AGO,5,1,5,5,1.5,0.07971014492753623,0.4,0.95,3.7,3.1,0.8243636363636364,4.1,3.5999999999999996,0,0,0,0,0,0,0,0,0,2.2
Nagorno-Karabakh Conflict in Armenia,"Conflict,Displacement",ARM002,Armenia,ARM,1.8,0.4273972602739726,2.1,1.9500000000000002,0,0.15583989501312337,0.7,0.35,1.2,1.4,0.47368421052631576,2.3,1.8499999999999999,2.6,0.28888888888888886,5,3.8,0.7,1.3333333333333333e-05,0.7,0.7,2.6,2.2
Nagorno-Karabakh conflict in Azerbaijan,"Conflict,Displacement",AZE002,Azerbaijan,AZE,2,0.1990975406167209,0.9,1.45,0.1,0.10306102166567283,0.5,0.3,0.9,1.4,0.19864995178399228,1,1.2,3,0.6213592233009708,5,4,1.7,7.766990291262136e-05,3.9,2.8,3.5,2.5
Complex in Burundi,"Violence,Displacement,Floods",BDI001,Burundi,BDI,2.3,1,5,3.65,3.6,1,5,4.3,4,3.7,0.4337212140939051,2.1,2.9000000000000004,4,0.11951219512195121,4,4,2.8,1.594746716697936e-05,0.8,1.8,3.1,3
Conflict in Burkina Faso,"Conflict,Displacement,Violence",BFA002,Burkina Faso,BFA,3.7,0.6067251461988304,3,3.35,4.4,1,5,4.7,4.1,3.6,0.21442169290058968,1,2.3,4.8,0.47877869207449114,5,4.9,5,0.0009194456474664357,5,5,5,4
Mutliple crises in Bangladesh,"Conflict,Violence,Displacement,Floods",BGD001,Bangladesh,BGD,2.1,0.14673119766459244,0.6,1.35,2,0.02297016410624805,0.1,1.05,1.2,3.2,0.7180210202512176,3.6,3.4000000000000004,4.4,0.41985005355230276,5,4.7,2.8,3.248839700107105e-05,1.6,2.2,3.7,3.6
