,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,1.1,1.3,2,0,1.5,146.8,0,High
AGO002,2.2,1.8,4.8,0,1.7,353.1,0,Medium
ARM002,0.9,2.5,0.3,0,2,20.8,0,Very High
AZE002,2.4,3.8,1.6,1.7,2.5,119.5,1,Medium
BDI001,1,2,0.9,0,1.8,65.3,0,Very High
BFA002,0.4,0.3,0.9,0,1.1,66,0,Very High
BGD001,1.3,2,0.1,1.7,1.8,8.6,1,High
BGD002,0.7,1.8,0.2,0,1.7,19,0,Very High
BGD009,0.7,2,0.1,0,1.8,8.6,0,Very High
BRA001,0.7,1.8,0.2,0,1.7,13.6,0,Very High
BRA002,0.8,2.3,0.2,0,1.9,13.6,0,Very High
BRA003,1.3,3.8,0.2,0,2.5,13.6,0,High
CAF001,1.2,1.8,1.9,0,1.7,142.2,0,High
CHL002,0.7,1.8,0.2,0,1.7,13.7,0,Very High
CMR001,0.5,1,0.4,0,1.4,31.6,0,Very High
CMR002,0.4,0.8,0.4,0,1.3,31.6,0,Very High
CMR003,0.5,1,0.4,0,1.4,31.6,0,Very High
CMR004,0.5,1,0.4,0,1.4,31.6,0,Very High
COD001,0.3,0.3,0.5,0,1.1,35.4,0,Very High
COG001,1.3,2,1.8,0,1.8,130.9,0,High
COL001,0.2,0.3,0.2,0,1.1,13.6,0,Very High
COL002,0.7,2,0.2,0,1.8,13.6,0,Very High
CRI002,2,2.3,0.4,3.3,1.9,33.7,2,High
DJI001,1,2.3,0.6,0,1.9,44.3,0,Very High
DJI002,0.9,2,0.6,0,1.8,44.3,0,Very High
DJI003,1,2.3,0.6,0,1.9,44.3,0,Very High
DOM002,2.3,2.3,1.4,3.3,1.9,101.9,2,Medium
DZA002,1.1,2.5,0.8,0,2,60.5,0,High
DZA003,2.5,4.3,1.5,1.7,2.7,108.9,1,Medium
DZA004,1.5,3.5,1,0,2.4,76.9,0,High
ECU002,0.7,1.8,0.2,0,1.7,13.6,0,Very High
EGY004,0.9,2.5,0.2,0,2,16.4,0,Very High
ERI001,1.3,3,1,0,2.2,73,0,High
ESP002,1.1,2.5,0.8,0,2,59.5,0,High
ETH001,1,2.3,0.8,0,1.9,59.8,0,Very High
ETH003,2.1,2.8,1.7,1.7,2.1,125.5,1,Medium
ETH004,1.3,2.8,1.1,0,2.1,82,0,High
ETH005,1.3,2.5,1.4,0,2,101.8,0,High
GRC002,1.7,2.5,2.6,0,2,193.2,0,High
GTM001,1.2,2.3,1.2,0,1.9,89.6,0,High
HND001,1.1,2.3,1,0,1.9,76.8,0,High
HTI001,0.8,0.3,2,0,1.1,148.6,0,Very High
HTI002,1.2,2.3,1.3,0,1.9,98.8,0,High
HUN002,1,2.3,0.8,0,1.9,60.5,0,Very High
IDN002,1.1,3,0.2,0,2.2,19,0,High
IDN007,1.2,3.3,0.2,0,2.3,19,0,High
IDN008,0.8,2.3,0.2,0,1.9,19,0,Very High
IND002,3.6,2.5,5,3.3,2,663.9,2,Low
IRN004,3.7,4,3.7,3.3,2.6,271.6,2,Low
IRQ001,1.3,2,1.9,0,1.8,138.4,0,High
IRQ002,1.5,2.5,2,0,2,146.7,0,High
IRQ003,1.5,2,2.5,0,1.8,182.3,0,High
