INFORM Severity Index - all crises. Release: April 2023,,,,,,,,,,,,,,,,,,,,
CRISIS,CRISIS ID,COUNTRY,ISO3,DRIVERS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,,,,
(a-z),,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Complex crisis in Afghanistan,AFG001,Afghanistan,AFG,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",4.4,5,Very High,Stable,High,4.6,4.9,4.4,4.5,5,4,4.2,3.9,4.5,Asia,2023-04-30 00:00:00
Drought in South-West Angola,AGO002,Angola,AGO,Drought,3.1,4,High,Stable,High,2.8,3.7,2.2,3.85,3.7,4,2.2,3.1,1,Africa,2023-04-27 00:00:00
Nagorno-Karabakh Conflict in Armenia,ARM002,Armenia,ARM,"Conflict,Displacement",1.2,2,Low,Decreasing,Medium,1.6,1.3,1.8,0.85,0.7,1,1.4,1.8,1,Middle east,2023-04-30 00:00:00
Nagorno-Karabakh conflict in Azerbaijan,AZE002,Azerbaijan,AZE,"Conflict,Displacement",1.8,2,Low,Stable,Low,2.6,1.8,3,1,0,2,2.3,2.5,2,Middle east,2023-04-30 00:00:00
Complex in Burundi,BDI001,Burundi,BDI,"Violence,Displacement,Floods",3.5,4,High,Stable,Very High,3.9,4,3.8,3.4,3.8,3,3.3,3,3.5,Africa,2023-03-17 00:00:00
Conflict in Burkina Faso,BFA002,Burkina Faso,BFA,"Conflict,Displacement,Violence",4,4,High,Increasing,High,4.2,2.5,4.7,4.15,4.3,4,3.6,3.2,4,Africa,2023-04-03 00:00:00
Rohingya refugee crisis,BGD002,Bangladesh,BGD,"Conflict,Violence,Displacement",3,3,Medium,Stable,Very High,2.9,0.2,3.8,3.3,3.6,3,2.6,2.6,2.5,Asia,2023-04-27 00:00:00
Venezuela displacement in Brazil,BRA002,Brazil,BRA,Displacement,2.7,3,Medium,Increasing,Very High,3.8,4.4,3.5,1.75,2.5,1,3,2.9,3,Americas,2023-03-30 00:00:00
Floods in rainy season 2022,BRA003,Brazil,BRA,Floods,1.6,2,Low,Decreasing,High,2,2.5,1.7,0.5,0,1,3,2.9,3,Americas,2023-03-30 00:00:00
Complex crisis in CAR,CAF001,CAR,CAF,"Conflict,Displacement",4.1,5,Very High,Stable,High,4.3,4.4,4.2,4.1,4.2,4,4,3.9,4,Africa,2023-04-03 00:00:00
Venezuela displacement in Chile,CHL002,Chile,CHL,Displacement,2.5,3,Medium,Stable,Very High,3.7,4.8,2.8,2.4,2.8,2,1.7,1.3,2,Americas,2023-02-28 00:00:00
Boko Haram in Cameroon,CMR002,Cameroon,CMR,Conflict,3.4,4,High,Decreasing,High,2.8,1.4,3.4,3.75,3.5,4,3.3,3.6,3,Africa,2023-04-03 00:00:00
Anglophone Crisis in Cameroon,CMR003,Cameroon,CMR,Conflict,3.4,4,High,Stable,High,3.2,2.6,3.4,3.4,3.8,3,3.6,3.6,3.5,Africa,2023-04-03 00:00:00
CAR refugees in Cameroon,CMR004,Cameroon,CMR,"Conflict,Displacement",2.9,3,Medium,Stable,Medium,2.5,2.4,2.5,2.9,2.8,3,3.1,3.6,2.5,Africa,2023-04-03 00:00:00
Complex crisis in DRC,COD001,DRC,COD,"Conflict,Displacement,Socio-political",4.5,5,Very High,Increasing,High,4.5,5,4.2,4.5,5,4,4.4,4.3,4.5,Africa,2023-04-03 00:00:00
Complex crisis in Congo,COG001,Congo,COG,Conflict,2.2,3,Medium,Increasing,High,2.8,3.1,2.6,2,1,3,2.1,2.9,1,Africa,2023-04-27 00:00:00
Complex crisis in Colombia,COL001,Colombia,COL,"Socio-political,Conflict,Violence,Floods,Displacement",4.1,5,Very High,Increasing,Very High,4.5,5,4.1,4.4,4.8,4,3.3,3.1,3.5,Americas,2023-03-29 00:00:00
Venezuela displacement in Colombia,COL002,Colombia,COL,Displacement,3.7,4,High,Stable,High,4.2,4.7,3.9,3.8,4.6,3,3.3,3.1,3.5,Americas,2023-04-10 00:00:00
Nicaraguan refugees in Costa Rica,CRI002,Costa Rica,CRI,Displacement,2.1,3,Medium,Stable,High,2.4,0.7,3.1,2.6,2.2,3,1.2,0.9,1.5,Americas,2023-04-30 00:00:00
Mixed migration in Djibouti,DJI002,Djibouti,DJI,Displacement,2,2,Low,Stable,Very High,2,1.5,2.2,2.05,1.1,3,1.9,2.7,1,Africa,2023-03-28 00:00:00
Drought in Djibouti,DJI003,Djibouti,DJI,Drought,2.7,3,Medium,Stable,Medium,2.6,3.2,2.3,2.55,2.1,3,2.9,2.7,3,Africa,2023-03-28 00:00:00
Venezuela displacement in Dominican Republic,DOM002,Dominican Republic,DOM,Displacement,2.2,3,Medium,Stable,High,3.6,4,3.3,1.85,1.7,2,1.5,1.4,1.5,Americas,2023-04-26 00:00:00
Mixed migration flows in Algeria,DZA002,Algeria,DZA,Displacement,2.6,3,Medium,Stable,High,3.8,5,2.9,1.7,2.4,1,2.7,2.9,2.5,Africa,2023-04-27 00:00:00
Sahrawi refugees in Algeria,DZA003,Algeria,DZA,Displacement,2.2,3,Medium,Stable,Medium,1.4,1.1,1.6,2.3,1.6,3,2.5,2.9,2,Africa,2023-04-27 00:00:00
Venezuela displacement in Ecuador,ECU002,Ecuador,ECU,Displacement,2.8,3,Medium,Stable,Very High,3.6,4.6,2.8,2.6,3.2,2,2.4,2.3,2.5,Americas,2023-02-28 00:00:00
Syrian Refugee Crisis in Egypt,EGY002,Egypt,EGY,Displacement,1.7,2,Low,Decreasing,High,1.8,2,1.7,1.45,1.9,1,2.1,2.7,1.5,Africa,2023-04-27 00:00:00
Complex crisis in Eritrea,ERI001,Eritrea,ERI,"Socio-political,Displacement",3.5,4,High,Stable,High,2.9,3.8,2.4,3.2,3.4,3,4.3,3.3,5,Africa,2023-02-28 00:00:00
Mixed migration flows in spain,ESP002,Spain,ESP,Displacement,1.8,2,Low,Stable,Very High,2.6,2.3,2.8,1.45,1.9,1,1.6,1.7,1.5,Europe,2023-04-27 00:00:00
Complex crisis in Ethiopia,ETH001,Ethiopia,ETH,"Displacement,Floods,Conflict",4.3,5,Very High,Increasing,Very High,4.2,5,3.7,4.5,5,4,4.1,3.7,4.5,Africa,2023-04-30 00:00:00
International Displacement,ETH003,Ethiopia,ETH,Displacement,3.2,4,High,Stable,High,3.9,5,3,2.6,3.2,2,3.6,3.7,3.5,Africa,2023-04-30 00:00:00
Northern Ethiopia Conflict,ETH004,Ethiopia,ETH,"Conflict,Displacement",4.2,5,Very High,Stable,Very High,3.8,2.9,4.2,4.5,5,4,4.1,3.7,4.5,Africa,2023-04-30 00:00:00
Drought in Ethiopia,ETH005,Ethiopia,ETH,Drought,3.7,4,High,Decreasing,Very High,3.2,4,2.7,4,5,3,3.6,3.7,3.5,Africa,2023-04-30 00:00:00
Mixed migration flows in Greece,GRC002,Greece,GRC,Displacement,1.6,2,Low,Increasing,High,2.2,0.3,2.9,1.25,0.5,2,1.7,1.8,1.5,Europe,2023-04-25 00:00:00
Complex crisis in Guatemala,GTM001,Guatemala,GTM,"Violence,Socio-political,Other seasonal event",3.5,4,High,Stable,High,3.7,4.4,3.2,3.75,4.5,3,3.1,3.2,3,Americas,2023-02-21 00:00:00
Complex crisis in Honduras,HND001,Honduras,HND,"Violence,Socio-political,Other seasonal event,Cyclone",3.4,4,High,Increasing,High,3.6,4.2,3.3,3.6,4.2,3,2.8,3,2.5,Americas,2023-02-21 00:00:00
Complex crisis in Haiti,HTI001,Haiti,HTI,"Earthquake,Violence,Socio-political,Other seasonal event",4.2,5,Very High,Stable,Very High,3.9,4,3.9,4.7,4.4,5,3.6,3.2,4,Americas,2023-03-28 00:00:00
Nippes Earthquake ,HTI002,Haiti,HTI,Earthquake,2.9,3,Medium,Stable,Very High,2.6,2.4,2.7,3,3,3,3.1,3.2,3,Americas,2023-03-28 00:00:00
Displacement from Ukraine conflict in Hungary,HUN002,Hungary,HUN,"Conflict,Displacement",1.5,2,Low,Decreasing,Very High,1,0.4,1.3,1.95,0.9,3,1.2,1.4,1,Europe,2023-04-26 00:00:00
Papua Conflict,IDN002,Indonesia,IDN,"Socio-political,Violence",2.5,3,Medium,Stable,Medium,2.9,2.1,3.3,1.85,1.7,2,3.2,2.8,3.5,Asia,2023-04-27 00:00:00
Earthquake in West Java province,IDN008,Indonesia,IDN,Earthquake,2.3,3,Medium,Increasing,Very High,2.4,1.6,2.7,1.9,1.8,2,2.7,2.8,2.5,Asia,2023-04-27 00:00:00
Conflict in Jammu and Kashmir,IND002,India,IND,Socio-political,x,x,x,-,Very Low,1.9,2,1.8,x,x,x,2.1,2.2,2,Asia,2023-04-27 00:00:00
Afghan Refugees in Iran,IRN004,Iran,IRN,Displacement,3.6,4,High,Increasing,Low,3.6,2.7,4,4.2,4.4,4,2.7,3.3,2,Middle east,2023-04-30 00:00:00
Conflict  in Iraq,IRQ002,Iraq,IRQ,"Conflict,Socio-political,Violence",3.9,4,High,Increasing,High,4.2,4.7,3.9,3.5,4,3,4.1,3.6,4.5,Middle east,2023-04-25 00:00:00
Syrian and Palestinian refugees in iraq,IRQ003,Iraq,IRQ,Displacement,2.9,3,Medium,Stable,Medium,1.9,1.5,2.1,2.9,2.8,3,3.6,3.6,3.5,Middle east,2023-04-25 00:00:00
Mixed migration flows in Italy,ITA002,Italy,ITA,Displacement,2,2,Low,Stable,Very High,2.7,1.6,3.2,1.7,2.4,1,1.8,1.5,2,Europe,2023-04-27 00:00:00
Syrian refugees in Jordan,JOR002,Jordan,JOR,Displacement,2.7,3,Medium,Stable,Medium,2.7,3,2.6,3.1,3.2,3,2,2.5,1.5,Middle east,2023-04-25 00:00:00
Refugee situation in Kenya,KEN002,Kenya,KEN,Displacement,3,3,Medium,Increasing,Medium,3,0.8,3.7,3,3,3,2.9,3.6,2,Africa,2023-02-21 00:00:00
Drought in Kenya,KEN003,Kenya,KEN,Drought,3.8,4,High,Decreasing,Medium,4.7,4.1,4.9,3.8,4.6,3,2.9,3.6,2,Africa,2023-03-15 00:00:00
