,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,1.1,1.3,2.1,0,1.5,155.2,0,High
AGO002,1.7,1.8,3.4,0,1.7,251.3,0,High
ARM002,2.4,2.3,5,0,1.9,428.1,0,Medium
AZE002,3.7,x,4,3.3,x,294.8,2,Low
BDI001,0.9,2,0.8,0,1.8,59.4,0,Very High
BFA002,1.7,2.3,2.9,0,1.9,213.8,0,High
BGD002,0.7,1.8,0.3,0,1.7,20.8,0,Very High
BRA001,0.8,1.8,0.6,0,1.7,44.4,0,Very High
BRA002,1,2.3,0.6,0,1.9,46.2,0,Very High
BRA003,1.2,3,0.6,0,2.2,46.2,0,High
CAF001,1.1,2.3,0.9,0,1.9,66.4,0,High
CHL002,0.9,1.8,1,0,1.7,73.2,0,Very High
CMR001,1.5,2,2.6,0,1.8,186.7,0,High
CMR002,1.6,1.8,3,0,1.7,217.2,0,High
CMR003,1.7,2,3,0,1.8,217.2,0,High
CMR004,2.3,2.3,4.7,0,1.9,346.6,0,Medium
COD001,1.7,2.3,2.9,0,1.9,214,0,High
COG001,1.9,2.3,3.5,0,1.9,256,0,High
COL001,0.3,0.3,0.6,0,1.1,47.1,0,Very High
COL002,1.3,1.8,0.5,1.7,1.7,36.3,1,High
CRI002,1.9,2.3,0.2,3.3,1.9,18.3,2,High
DJI001,1.1,2.3,1,0,1.9,76.6,0,High
DJI002,1,2,0.9,0,1.8,69.6,0,Very High
DJI003,2.2,2.3,1.1,3.3,1.9,83.8,2,Medium
DOM002,2,2.3,0.3,3.3,1.9,21.9,2,High
DZA002,1.1,2.5,0.9,0,2,65.9,0,High
DZA003,3,4.3,3.1,1.7,2.7,223.1,1,Medium
DZA004,1.5,3.5,1.1,0,2.4,80.8,0,High
ECU002,0.9,1.8,1,0,1.7,73.2,0,Very High
EGY002,1.1,2.5,0.7,0,2,48.5,0,High
ERI001,1.5,3,1.4,0,2.2,101.6,0,High
ESP002,1,2.5,0.6,0,2,48.3,0,Very High
ETH001,0.6,1,0.7,0,1.4,48.5,0,Very High
ETH003,1.7,2,1.3,1.7,1.8,99.2,1,High
ETH004,0.9,1.3,1.3,0,1.5,92.6,0,Very High
ETH005,0.8,1.3,1,0,1.5,75.4,0,Very High
GRC002,2,3.5,2.4,0,2.4,176.6,0,High
GTM001,1.3,2.3,1.6,0,1.9,118.1,0,High
HND001,1.3,2.3,1.6,0,1.9,118.9,0,High
HTI001,0.9,2,0.6,0,1.8,48,0,Very High
HTI002,1,2.3,0.6,0,1.9,48,0,Very High
HUN002,1,2.3,0.7,0,1.9,48.9,0,Very High
