,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,1,1.3,1.8,0,1.5,128.6,0,Very High
AGO002,2.1,1.8,4.5,0,1.7,330.3,0,Medium
ARM002,1,2.5,0.6,0,2,43.2,0,Very High
AZE002,2.5,3.8,1.9,1.7,2.5,141.1,1,Medium
BDI001,0.9,2,0.6,0,1.8,43.3,0,Very High
BFA002,0.3,0.3,0.7,0,1.1,49.8,0,Very High
BGD002,0.8,1.8,0.6,0,1.7,43.3,0,Very High
BRA001,0.7,1.8,0.4,0,1.7,32.5,0,Very High
BRA002,0.9,2.3,0.4,0,1.9,32.5,0,Very High
BRA003,1.6,2.8,0.4,1.7,2.1,32.5,1,High
CAF001,1.2,1.8,1.7,0,1.7,126,0,High
CHL002,0.7,1.8,0.4,0,1.7,32.6,0,Very High
CMR001,0.4,0.5,0.7,0,1.2,49.6,0,Very High
CMR002,0.3,0.3,0.7,0,1.1,49.6,0,Very High
CMR003,0.3,0.3,0.7,0,1.1,49.6,0,Very High
CMR004,0.3,0.3,0.7,0,1.1,49.6,0,Very High
COD001,0.2,0.3,0.3,0,1.1,19.2,0,Very High
COG001,1.1,2,1.4,0,1.8,101.5,0,High
COL001,0.2,0.3,0.4,0,1.1,32.5,0,Very High
COL002,0.8,2,0.4,0,1.8,32.5,0,Very High
CRI002,2.2,2.3,1.1,3.3,1.9,78.5,2,Medium
DJI001,1,2.3,0.8,0,1.9,57.1,0,Very High
DJI002,0.9,2,0.8,0,1.8,57.1,0,Very High
DJI003,1,2.3,0.8,0,1.9,57.1,0,Very High
DOM002,2.2,2.3,1.1,3.3,1.9,80.6,2,Medium
DZA002,1.2,2.5,1.2,0,2,85.3,0,High
DZA003,2.6,4.3,1.7,1.7,2.7,122.9,1,Medium
DZA004,1.6,3.5,1.2,0,2.4,86.4,0,High
ECU002,0.7,1.8,0.4,0,1.7,32.5,0,Very High
EGY004,1,2.5,0.4,0,2,30,0,Very High
ERI001,1.4,3,1.2,0,2.2,86,0,High
ESP002,1.2,2.5,1,0,2,76.3,0,High
ETH001,0.8,1.5,0.8,0,1.6,62.6,0,Very High
ETH003,1.8,2,1.8,1.7,1.8,132.2,1,High
ETH004,1.1,2,1.3,0,1.8,94.8,0,High
ETH005,1.3,2.3,1.5,0,1.9,108.5,0,High
GRC002,2.1,3.3,3,0,2.3,221.3,0,Medium
GTM001,1.1,2.3,0.9,0,1.9,65.2,0,High
HND001,1,2.3,0.8,0,1.9,59.1,0,Very High
HTI001,0.6,0.3,1.5,0,1.1,112.6,0,Very High
HTI002,1.2,2.3,1.4,0,1.9,105.4,0,High
HUN002,1.1,2.3,1,0,1.9,76.5,0,High
IDN002,1.4,3.5,0.6,0,2.4,43.3,0,High
IDN007,1.3,3.3,0.6,0,2.3,43.3,0,High
IDN008,1,2.3,0.6,0,1.9,43.3,0,Very High
IND002,3.6,2.5,5,3.3,2,633.8,2,Low
IRN004,3.5,4,3.2,3.3,2.6,235.6,2,Low
IRQ001,1.4,2,2.1,0,1.8,151.2,0,High
IRQ002,1.5,2.3,2.2,0,1.9,159.5,0,High
IRQ003,1.6,2,2.7,0,1.8,195.1,0,High
ITA002,1.1,2.3,1,0,1.9,76.5,0,High
JOR002,1.9,3.5,2.1,0,2.4,153.5,0,High
KEN001,2.8,3.8,1.3,3.3,2.5,93,2,Medium
KEN002,2.1,2,1.1,3.3,1.8,81.5,2,Medium
KEN003,3,2,2.1,5,1.8,152.5,3,Medium
LBN002,1.4,2,2.3,0,1.8,168.3,0,High
LBN004,1.4,2,2.3,0,1.8,172,0,High
LBY001,0.7,1,1,0,1.4,76.2,0,Very High
LBY002,1,2,1,0,1.8,76.2,0,Very High
LKA002,1.3,1.5,0.6,1.7,1.6,43.3,1,High
MAR002,1.7,4,1,0,2.6,76.2,0,High
MDA002,1.1,2.3,1,0,1.9,76.5,0,High
MDG001,1,1.8,1.2,0,1.7,87.4,0,Very High
MDG002,1.3,0.8,1.4,1.7,1.3,105,1,High
MDG008,1.1,2.3,1.1,0,1.9,81.3,0,High
MEX001,1.8,4,1.4,0,2.6,101.8,0,High
MEX002,1.9,3.8,1.8,0,2.5,133.7,0,High
MEX003,1.6,3.8,1,0,2.5,77.2,0,High
MLI001,0.8,0.5,2,0,1.2,145.2,0,Very High
MMR001,0.9,2,0.6,0,1.8,43.3,0,Very High
MMR002,0.9,2,0.6,0,1.8,43.3,0,Very High
MMR003,0.9,2,0.6,0,1.8,43.3,0,Very High
MMR004,1,2.3,0.6,0,1.9,43.3,0,Very High
MMR005,1.7,2.5,0.8,1.7,2,56.9,1,High
MNG001,0.8,2,0.5,0,1.8,36,0,Very High
MNG002,1.5,2.3,0.6,1.7,1.9,43.3,1,High
MNG003,0.8,2,0.5,0,1.8,36,0,Very High
MOZ001,0.9,2.3,0.5,0,1.9,38.6,0,Very High
MOZ004,1.2,3,0.5,0,2.2,38.6,0,High
MOZ009,1.1,2.3,1.1,0,1.9,81.4,0,High
MOZ010,1.1,2.3,1.1,0,1.9,81.3,0,High
MRT002,0.9,1.5,1.3,0,1.6,98.7,0,Very High
MRT003,1.6,0.8,2.3,1.7,1.3,165.7,1,High
MWI002,1,2.3,0.6,0,1.9,41.9,0,Very High
MWI005,0.9,2,0.6,0,1.8,41.9,0,Very High
MYS001,1.9,2.8,3,0,2.1,219.9,0,High
NAM002,2.1,0.5,4,1.7,1.2,294,1,Medium
NER001,0.3,0.3,0.7,0,1.1,50.2,0,Very High
NER002,0.3,0.3,0.7,0,1.1,50.2,0,Very High
NER003,0.3,0.3,0.7,0,1.1,50.2,0,Very High
NER004,0.3,0.3,0.7,0,1.1,50.2,0,Very High
NGA001,2.1,3.8,2.6,0,2.5,190.2,0,Medium
NGA003,2.1,3.8,2.6,0,2.5,190.3,0,Medium
NGA004,2.2,2.3,2.6,1.7,1.9,190.4,1,Medium
NGA007,2,3.5,2.4,0,2.4,173.6,0,High
NGA008,2.3,2.3,2.8,1.7,1.9,205.2,1,Medium
NIC001,1.9,2.3,1.8,1.7,1.9,133.3,1,High
PAK001,1.7,1.8,3.3,0,1.7,243.4,0,High
PAK004,3.2,1.3,5,3.3,1.5,548.2,2,Low
PAK005,1.4,2.5,1.6,0,2,118.1,0,High
PAN002,1.2,2.5,1.2,0,2,88.3,0,High
PER002,0.7,1.8,0.4,0,1.7,32.6,0,Very High
PHL001,1.3,3.3,0.6,0,2.3,45.8,0,High
PHL003,2.1,3.8,2.4,0,2.5,176.1,0,Medium
PHL012,1,2,1,0,1.8,74,0,Very High
PNG003,1.4,1.8,0.6,1.7,1.7,43.3,1,High
POL002,1,2,1,0,1.8,76.2,0,Very High
PRK001,2.4,3.5,3.6,0,2.4,262.7,0,Medium
PSE002,1.3,0.8,3,0,1.3,221.5,0,High
REG001,0.3,0.3,0.7,0,1.1,49,0,Very High
REG002,2.5,2.8,4.8,0,2.1,351.7,0,Medium
REG003,2.8,3.5,5,0,2.4,920.4,0,Medium
REG004,1.8,2.5,2.9,0,2,212,0,High
REG006,2.6,3.5,2.5,1.7,2.4,185.9,1,Medium
REG007,1.1,2.3,1,0,1.9,73.4,0,High
REG008,1.1,2.3,1,0,1.9,73.4,0,High
REG011,0.8,1.8,0.6,0,1.7,43.3,0,Very High
REG012,0.6,1.3,0.4,0,1.5,32.5,0,Very High
REG013,1.2,3,0.5,0,2.2,35.1,0,High
REG014,1.2,2.3,1.3,0,1.9,92.8,0,High
REG015,1.6,4,0.8,0,2.6,61.7,0,High
ROU002,1.1,2.3,1,0,1.9,76.3,0,High
RUS002,1,2.8,0.1,0,2.1,9.7,0,Very High
RWA002,2.7,2.8,1.9,3.3,2.1,142.5,2,Medium
SDN001,0.5,0.8,0.8,0,1.3,59,0,Very High
SDN005,1.1,1.5,1.7,0,1.6,121.5,0,High
SDN008,1.2,1.8,1.8,0,1.7,135.1,0,High
SEN002,0.7,0.3,1.7,0,1.1,122.9,0,Very High
SLV001,1.1,2.3,1.1,0,1.9,83.3,0,High
SOM001,0.9,2,0.6,0,1.8,42.4,0,Very High
SOM002,1.4,2.5,1.6,0,2,121.1,0,High
SSD001,1,2.5,0.6,0,2,45.1,0,Very High
SVK002,1.1,2.3,1,0,1.9,76.3,0,High
SWZ001,2.5,0.8,5,1.7,1.3,372.6,1,Medium
SYR001,1.2,0.8,2.7,0,1.3,196.7,0,High
SYR002,1.4,3.8,0.4,0,2.5,32.4,0,High
TCD001,0.2,0.3,0.3,0,1.1,24.1,0,Very High
TCD003,0.3,0.3,0.7,0,1.1,49.6,0,Very High
TCD004,0.3,0.3,0.7,0,1.1,49.6,0,Very High
TCD005,0.3,0.3,0.7,0,1.1,49.6,0,Very High
THA001,1.9,2.8,2.8,0,2.1,205,0,High
THA002,2.9,2.5,2.8,3.3,2,205,2,Medium
THA003,1.9,2.8,2.8,0,2.1,205,0,High
TTO002,0.7,1.8,0.4,0,1.7,32.6,0,Very High
TUN002,1.2,2.5,1,0,2,76.3,0,High
TUR001,1.7,2.5,2.7,0,2,195.1,0,High
TUR002,2.2,2.3,2.7,1.7,1.9,195.1,1,Medium
TUR003,1.7,2.5,2.7,0,2,195.1,0,High
TUR004,3,x,2.7,3.3,x,195.1,2,Medium
TUR005,1.5,4,0.4,0,2.6,32.4,0,High
TZA001,0.7,1.5,0.6,0,1.6,41.6,0,Very High
TZA002,0.9,2,0.6,0,1.8,41.6,0,Very High
TZA003,1.3,1,2.9,0,1.4,208.6,0,High
UGA005,2.2,2.8,2.2,1.7,2.1,158.8,1,Medium
UKR002,0.8,1.8,0.5,0,1.7,37.2,0,Very High
VEN001,0.8,2,0.4,0,1.8,32.6,0,Very High
VUT003,2.6,2.8,1.6,3.3,2.1,118.5,2,Medium
YEM001,0.6,0.8,0.9,0,1.3,63.3,0,Very High
YEM002,1,2.5,0.6,0,2,45.1,0,Very High
ZMB002,1.8,0.5,5,0,1.2,415.4,0,High
ZWE001,0.9,1.5,1.1,0,1.6,80.4,0,Very High
