,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Area affected - absolute,% of total area affected,Area affected - relative,Area affected,People living in the affected area - absolute,% of total population living in the affected area,People living in the affected area - relative,People in the affected area,Geographical,People affected - absolute,% of people affected on the total population exposed,People affected - relative,People affected,People displaced - absolute,% of total population displaced on the  ,People displaced - relative,People displaced,Fatalities - absolute,% of fatalities on the total population affected,Fatalities (relative),Crisis related fatalities,People affected by categories,Human
,,,,MAX,6,,1,,7.5,,1,,,7.5,,1,,6.5,,0.15,,3.5,,0.0001,,,
,,,,MIN,3,,0.02,,6,,0.01,,,4.5,,0.01,,3,,0,,0,,0,,,
CRISIS,DRIVERS,CRISIS ID,COUNTRY,Iso3,,,,,,,,,,,,,,,,,,,,,,,
Complex crisis in Afghanistan,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",AFG001,Afghanistan,AFG,4.7,1.0000107220537329,5,4.85,5,1,5,5,4.9,5,0.8723897911832946,4.4,4.7,5,0.5597340425531915,5,5,4.7,5.521276595744681e-05,2.8,3.8,4.5,4.6
Earthquake in Khost and Paktika,Earthquake,AFG005,Afghanistan,AFG,2.3,0.03637992831541219,0.1,1.2,0.9,0.04283062645011601,0.2,0.55,0.9,1.8,0.19609967497291442,0.9,1.35,x,x,x,x,4.3,0.0028701657458563537,5,4.7,4.7,3.5
Drought in South-West Angola,Drought,AGO002,Angola,AGO,5,1,5,5,1.5,0.07971014492753623,0.4,0.95,3.7,3.1,0.8243636363636364,4.1,3.5999999999999996,0,0,0,0,0,0,0,0,0,2.2
Nagorno-Karabakh Conflict in Armenia,"Conflict,Displacement",ARM002,Armenia,ARM,1.1,0.1545135230066737,0.7,0.9,0.7,0.5441767068273092,2.7,1.7000000000000002,1.3,0.1,0.020910209102091022,0.1,0.1,2,0.7941176470588235,5,3.5,1.4,0.0002941176470588235,5,3.2,3.4,2.1
Nagorno-Karabakh conflict in Azerbaijan,"Conflict,Displacement",AZE002,Azerbaijan,AZE,2.5,0.38179112783228286,1.8,2.15,1.5,0.2814741035856574,1.4,1.45,1.8,3.3,1,5,4.15,2.8,0.03184713375796178,1.1,2,1,1.7692852087756546e-06,0.1,0.6,1.3,3
Complex in Burundi,"Violence,Displacement,Floods",BDI001,Burundi,BDI,2.3,1,5,3.65,3.7,1,5,4.35,4,4.4,1,5,4.7,4,0.04853846153846154,1.6,2.8,3.1,1.0923076923076922e-05,0.5,1.8,2.3,3.8
Conflict in Burkina Faso,"Conflict,Displacement,Violence",BFA002,Burkina Faso,BFA,3.7,0.6067251461988304,3,3.35,1.9,0.17792635928866601,0.8,1.35,2.5,3.5,1,5,4.25,4.7,0.5153966597077244,5,4.9,4.7,0.0005258350730688935,5,4.9,4.9,4.6
