,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,0.8,1.3,1.1,0,1.5,84.2,0,Very High
AFG005,1.8,0.8,2.8,1.7,1.3,203.5,1,High
AGO002,1.4,1.8,2.5,0,1.7,180.3,0,High
ARM002,2.4,2.3,4.8,0,1.9,348.1,0,Medium
AZE002,3.6,x,3.9,3.3,x,286.4,2,Low
BDI001,1.5,2,2.5,0,1.8,182.2,0,High
BFA002,1.9,2.3,3.4,0,1.9,245,0,High
BGD002,1.5,1.8,2.7,0,1.7,197.3,0,High
BRA001,0.6,1.8,0.1,0,1.7,9.4,0,Very High
BRA002,1.2,1.8,0.1,1.7,1.7,9.4,1,High
BRA003,0.7,2,0.1,0,1.8,9.4,0,Very High
CAF001,0.8,2,0.4,0,1.8,29.2,0,Very High
CHL002,0.8,1.8,0.6,0,1.7,44.5,0,Very High
CMR001,1.2,2,1.7,0,1.8,122.1,0,High
CMR002,1.3,1.8,2.1,0,1.7,152.6,0,High
CMR003,1.4,2,2.1,0,1.8,152.6,0,High
CMR004,2.1,2.3,3.9,0,1.9,282,0,Medium
COD001,1.6,1,3.8,0,1.4,276.2,0,High
COG001,1.7,2,3.1,0,1.8,223.8,0,High
COL001,0.6,1.8,0.1,0,1.7,9.4,0,Very High
COL002,1.2,1.8,0.1,1.7,1.7,9.4,1,High
CRI002,2.1,2.3,0.6,3.3,1.9,41.8,2,Medium
DJI001,0.9,2.3,0.4,0,1.9,28.6,0,Very High
DJI002,0.8,2,0.3,0,1.8,22.6,0,Very High
DJI003,2,2.3,0.4,3.3,1.9,30.8,2,High
DOM002,2,2.3,0.4,3.3,1.9,27.3,2,High
DZA002,1.4,2.5,1.7,0,2,125.1,0,High
DZA003,2.7,4.3,2,1.7,2.7,143.1,1,Medium
DZA004,1.4,3.5,0.7,0,2.4,54.8,0,High
ECU002,0.8,1.8,0.6,0,1.7,44.5,0,Very High
EGY002,1,2.5,0.4,0,2,31.5,0,Very High
ERI001,1.3,3,0.9,0,2.2,63.6,0,High
ESP002,1,2.5,0.4,0,2,31.3,0,Very High
ETH001,0.6,1.3,0.5,0,1.5,33.9,0,Very High
ETH003,1.5,1.8,1.1,1.7,1.7,81.1,1,High
ETH004,0.7,1.3,0.8,0,1.5,56.3,0,Very High
ETH005,1,2.3,0.7,0,1.9,51.5,0,Very High
GMB002,1.2,1.8,1.8,0,1.7,134.1,0,High
GRC002,2.1,3.5,2.7,0,2.4,200,0,Medium
GTM001,0.9,2.3,0.4,0,1.9,31.9,0,Very High
HND001,0.9,2.3,0.4,0,1.9,32.7,0,Very High
HTI001,1.5,2.3,0.6,1.7,1.9,41.8,1,High
HTI002,1,2.3,0.6,0,1.9,41.8,0,Very High
HUN002,0.9,2.3,0.5,0,1.9,39.9,0,Very High
IDN002,2.5,3,4.5,0,2.2,328.4,0,Medium
IDN007,1.3,3,0.9,0,2.2,63.9,0,High
IDN008,0.7,1.3,0.7,0,1.5,51.5,0,Very High
IND002,4.3,2.8,5,5,2.1,639.3,3,Very Low
IRN004,3.3,4.3,3.8,1.7,2.7,279.9,1,Low
IRQ001,1.7,3.5,1.7,0,2.4,127.5,0,High
IRQ002,1.2,1,2.6,0,1.4,187.5,0,High
IRQ003,2.5,3.5,2.3,1.7,2.4,171.4,1,Medium
ITA002,0.9,2.3,0.4,0,1.9,31.3,0,Very High
JOR002,2.2,3.8,2.8,0,2.5,205.7,0,Medium
KEN001,2.2,2.3,0.9,3.3,1.9,69.5,2,Medium
KEN002,2.4,2,1.9,3.3,1.8,141.3,2,Medium
KEN003,2.7,1.8,1.4,5,1.7,106.3,3,Medium
LBN002,2.4,3.5,2,1.7,2.4,143.2,1,Medium
LBN004,2.4,3.5,2,1.7,2.4,146.9,1,Medium
LBY001,0.5,1,0.4,0,1.4,28.9,0,Very High
LBY002,0.8,2,0.4,0,1.8,28.9,0,Very High
LKA002,1.1,1.8,1.4,0,1.7,100.3,0,High
LSO003,2.5,2,0.4,5,1.8,27.8,3,Medium
MAR002,2,4,1.9,0,2.6,139.5,0,High
MDA002,1,2.3,0.6,0,1.9,42.6,0,Very High
MDG002,0.4,0.8,0.5,0,1.3,37.2,0,Very High
MEX001,1.5,4,0.4,0,2.6,30.2,0,High
MEX002,1.4,3.8,0.5,0,2.5,38.9,0,High
MEX003,1.4,3.8,0.4,0,2.5,30.2,0,High
MLI001,0.2,0.5,0.2,0,1.2,13,0,Very High
MMR001,1.1,2.3,1.1,0,1.9,82.9,0,High
MMR002,1.3,2.3,1.6,0,1.9,120.1,0,High
MMR003,1.1,2,1.3,0,1.8,98.7,0,High
MMR004,1,2,0.9,0,1.8,68.7,0,Very High
MOZ001,1.3,2.5,1.3,0,2,96.7,0,High
MOZ004,1.6,3,1.7,0,2.2,122,0,High
MRT002,0.8,1.5,0.8,0,1.6,58.4,0,Very High
MRT003,1.3,0.8,1.5,1.7,1.3,113.7,1,High
MWI002,0.7,1,1.1,0,1.4,78.1,0,Very High
MYS001,1.9,2.8,2.8,0,2.1,205.1,0,High
NAM002,2.9,2,5,1.7,1.8,416.5,1,Medium
NER001,0.2,0.5,0.2,0,1.2,13,0,Very High
NER002,0.7,0.3,1.8,0,1.1,129.2,0,Very High
NER003,0.8,1,1.4,0,1.4,100.4,0,Very High
NER004,1,1.8,1.2,0,1.7,91.7,0,Very High
NGA001,1.9,3.8,2,0,2.5,144,0,High
NGA003,2.3,3.8,3,0,2.5,218.9,0,Medium
NGA004,2.4,2.5,3,1.7,2,219,1,Medium
NGA007,1.6,2,2.8,0,1.8,202.2,0,High
NGA008,2,2.3,1.9,1.7,1.9,141.6,1,High
NIC001,1.5,2.3,0.5,1.7,1.9,38.9,1,High
PAK001,1.3,1.8,2.1,0,1.7,155.4,0,High
PAK004,5,x,5,5,x,432,3,Very Low
PAK005,1.3,2.3,1.6,0,1.9,120.6,0,High
PAN002,1,2.5,0.4,0,2,27.3,0,Very High
PER002,0.8,1.8,0.6,0,1.7,44.5,0,Very High
PHL001,1.2,3.3,0.3,0,2.3,26,0,High
PHL003,2.5,3,4.6,0,2.2,335.3,0,Medium
PHL012,0.8,2,0.4,0,1.8,32.3,0,Very High
PHL013,0.7,2,0,0,1.8,0,0,Very High
PNG003,0.9,1.5,1.1,0,1.6,82.6,0,Very High
POL002,0.8,2,0.4,0,1.8,28.7,0,Very High
PRK001,2.5,2.5,5,0,2,801.4,0,Medium
PSE002,1.3,0.8,3.1,0,1.3,226.5,0,High
REG001,2,2.3,3.7,0,1.9,269.7,0,High
REG002,1.7,2.8,2.3,0,2.1,165.5,0,High
REG003,4.2,x,5,3.3,x,1016.4,2,Very Low
REG004,1.5,2.5,2.1,0,2,153.1,0,High
REG006,2.4,3.5,2.1,1.7,2.4,153.4,1,Medium
REG007,0.9,2.3,0.3,0,1.9,26.1,0,Very High
REG008,0.9,2.3,0.4,0,1.9,28.5,0,Very High
REG011,1,2,1.1,0,1.8,77.9,0,Very High
REG012,0.8,2.3,0.1,0,1.9,9.2,0,Very High
REG013,1.9,3.3,2.5,0,2.3,183.7,0,High
REG014,1.5,3.5,0.9,0,2.4,70,0,High
ROU002,0.9,2.3,0.4,0,1.9,28.7,0,Very High
RWA002,2.5,2.5,1.8,3.3,2,130.9,2,Medium
SDN001,0.5,0.8,0.7,0,1.3,53.3,0,Very High
SDN005,1.1,2.3,1,0,1.9,71.5,0,High
SDN006,0.8,2,0.5,0,1.8,34,0,Very High
SDN008,1,1.5,1.5,0,1.6,113.1,0,Very High
SEN002,0.4,0.3,0.9,0,1.1,63.3,0,Very High
SLV001,0.9,2.3,0.5,0,1.9,38.9,0,Very High
SOM001,1.5,1.8,2.6,0,1.7,191.8,0,High
SOM002,1,2,1,0,1.8,75.2,0,Very High
SSD001,1.1,2.5,0.8,0,2,61,0,High
SSD003,1.5,3.5,1,0,2.4,74.1,0,High
SVK002,0.9,2.3,0.5,0,1.9,39.9,0,Very High
SWZ001,1.7,0.8,2.7,1.7,1.3,196.6,1,High
SYR001,1.2,0.8,2.7,0,1.3,194.8,0,High
TCD001,2.8,3.3,5,0,2.3,381.3,0,Medium
TCD003,2.4,3.3,3.8,0,2.3,274.3,0,Medium
TCD004,2.1,2.5,3.7,0,2,271.8,0,Medium
TCD005,1.1,1.3,2,0,1.5,144.1,0,High
TCD006,2.8,3.5,5,0,2.4,841.1,0,Medium
THA001,2,2.5,3.4,0,2,249.5,0,High
THA002,3.5,2.3,5,3.3,1.9,770.5,2,Low
THA003,2.8,2.3,4.4,1.7,1.9,322.7,1,Medium
TTO002,0.8,1.8,0.6,0,1.7,44.5,0,Very High
TUN002,1,2.5,0.4,0,2,29,0,Very High
TUR001,1.6,2.5,2.3,0,2,165.8,0,High
TUR002,2.2,2.3,2.6,1.7,1.9,190.1,1,Medium
TUR003,1.6,2.5,2.2,0,2,162.6,0,High
TUR004,2.5,2.5,5,0,2,1181.3,0,Medium
TZA001,0.8,2.3,0.2,0,1.9,19.1,0,Very High
TZA002,0.2,0.5,0.2,0,1.2,19.1,0,Very High
TZA003,0.7,1,1.1,0,1.4,81.3,0,Very High
UGA001,1,2.3,0.7,0,1.9,49.8,0,Very High
UGA005,2.1,2.8,1.9,1.7,2.1,141.8,1,Medium
