,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
AFG001,1,1,1,1,1,1,1,1,1,1,734,100,100,100,99,103,100,99,99,98,84.2,,
AFG005,216,216,216,216,216,216,216,216,216,216,216,91,91,91,91,91,91,91,91,91,203.5,,
AGO002,153,215,215,4,411,215,215,215,215,215,4,94,94,94,94,94,94,94,94,94,180.3,,
ARM002,237,237,237,237,1,237,237,237,734,734,734,93,93,93,93,93,93,93,93,93,348.1,,
AZE002,190,210,210,688,1,210,215,210,210,210,818,92,92,92,92,92,92,92,92,92,286.4,,
BDI001,246,246,246,4,4,246,246,246,246,246,246,92,92,92,92,92,92,92,92,92,182.2,,
BFA002,141,141,141,32,32,141,141,141,141,141,1446,94,94,94,94,94,94,94,94,94,245,,
BGD002,274,2,2,2,2,209,209,2,209,209,1037,92,92,92,92,92,92,92,92,92,197.3,,
BRA001,0,0,0,0,0,0,0,0,0,0,0,94,94,94,94,94,94,94,94,94,9.4,,
BRA002,0,0,0,0,0,0,0,0,0,0,0,94,94,94,94,94,94,94,94,94,9.4,,
BRA003,0,0,0,0,0,0,0,0,0,0,0,94,94,94,94,94,94,94,94,94,9.4,,
CAF001,1449,22,22,22,22,22,22,22,22,22,22,94,94,94,94,94,94,94,94,94,29.2,,
CHL002,39,39,39,39,39,39,39,39,39,39,39,94,94,94,94,94,94,94,94,94,44.5,,
CMR001,611,215,132,60,60,132,132,132,132,132,215,94,94,94,94,94,94,94,94,94,122.1,,
CMR002,1260,193,193,60,60,193,193,193,193,193,154,94,94,94,94,94,94,94,94,94,152.6,,
CMR003,316,193,193,60,60,193,193,193,193,193,154,94,94,94,94,94,94,94,94,94,152.6,,
CMR004,316,193,193,60,60,193,193,193,193,193,1448,94,94,94,94,94,94,94,94,94,282,,
COD001,848,62,194,62,62,62,210,210,210,210,1448,94,94,94,94,94,94,94,94,94,276.2,,
COG001,153,216,216,153,4,216,216,216,216,754,153,94,94,94,94,94,94,94,94,94,223.8,,
COL001,0,0,0,0,0,0,0,0,0,0,0,94,94,94,94,94,94,94,94,94,9.4,,
COL002,0,0,0,0,0,0,0,0,0,0,0,94,94,94,94,94,94,94,94,94,9.4,,
CRI002,36,36,36,36,36,36,36,36,36,36,36,94,94,94,94,94,94,94,94,94,41.8,,
DJI001,64,64,64,4,42,4,4,4,4,4,64,92,92,92,92,92,92,92,92,92,28.6,,
DJI002,64,64,4,4,42,4,4,4,4,4,64,92,92,92,92,92,92,92,92,92,22.6,,
DJI003,64,4,4,64,64,4,4,4,4,4,64,92,92,92,92,92,92,92,92,92,30.8,,
DOM002,36,7,7,7,36,7,7,7,36,36,36,94,94,94,94,94,94,94,94,94,27.3,,
DZA002,184,4,160,160,4,4,160,160,160,160,184,99,99,99,99,99,99,99,99,99,125.1,,
DZA003,184,184,184,160,4,160,160,160,160,160,184,99,99,99,99,99,99,99,99,99,143.1,,
DZA004,261,4,4,160,4,4,4,4,4,4,261,99,99,99,99,99,99,99,99,99,54.8,,
ECU002,39,39,39,39,39,39,39,39,39,39,39,94,94,94,94,94,94,94,94,94,44.5,,
EGY002,184,4,4,4,4,4,4,4,4,4,184,99,99,99,99,99,99,99,99,99,31.5,,
ERI001,258,258,40,40,6,40,40,40,40,40,258,92,92,92,92,92,92,92,92,92,63.6,,
ESP002,184,4,4,4,4,4,4,4,4,4,184,97,97,97,97,97,97,97,97,97,31.3,,
