Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Complex crisis in Afghanistan,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",AFG001,Afghanistan,AFG,652867,43100000,37600000,20329000,2949,x,2266,x,x,#N/A,13114,5500000,9200000,13700000,14700000,0,5,x,x,1.0,1.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0
Earthquake in Khost and Paktika,Earthquake,AFG005,Afghanistan,AFG,23751,1846000,362000,x,4429,x,1039,x,x,#N/A,x,1484000,0,362000,0,0,2,#N/A,#N/A,1.0,1.0,1.0,0.0,2.0,2.0,0.0,3.0,3.0
Drought in South-West Angola,Drought,AGO002,Angola,AGO,1246700,2750000,2267000,0,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,483000,683000,1167000,417000,0,1,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Nagorno-Karabakh Conflict in Armenia,"Conflict,Displacement",ARM002,Armenia,ARM,4399,1626000,34000,27000,x,x,10,x,x,#N/A,x,1593000,7000,27000,0,0,2,x,x,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Nagorno-Karabakh conflict in Azerbaijan,"Conflict,Displacement",AZE002,Azerbaijan,AZE,31560,2826000,2826000,91000,x,x,3,x,x,#N/A,x,0,2826000,0,0,0,3,x,x,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
Complex in Burundi,"Violence,Displacement,Floods",BDI001,Burundi,BDI,25680,13000000,13000000,638000,x,283000,144,x,x,#N/A,444,0,11200000,1692000,108000,0,5,x,x,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
Conflict in Burkina Faso,"Conflict,Displacement,Violence",BFA002,Burkina Faso,BFA,274000,21537000,3517000,1797000,x,x,1774,x,x,#N/A,x,18020000,0,2837000,680000,0,4,x,x,1.0,3.0,3.0,2.0,2.0,2.0,3.0,1.0,3.0
Rohingya refugee crisis,"Conflict,Violence,Displacement",BGD002,Bangladesh,BGD,730.46,1493000,1493000,952000,0,0,20,x,x,#N/A,x,0,0,1493000,0,0,3,0,0,2.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0
Country level Brazil,"Displacement,Floods",BRA001,Brazil,BRA,8358140,135053000,476000,642000,x,x,3104,x,x,#N/A,x,134576000,161000,316000,0,0,5,x,x,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Venezuela displacement in Brazil,Displacement,BRA002,Brazil,BRA,8358140,73043000,407000,604000,x,x,x,x,x,#N/A,x,72637000,108000,298000,0,0,5,x,x,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Floods in rainy season 2022,Floods,BRA003,Brazil,BRA,8358140,52842000,70000,18000,x,x,16,x,x,#N/A,x,52772000,52000,18000,0,0,5,x,x,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
Complex crisis in CAR,"Conflict,Displacement",CAF001,CAR,CAF,623000,5350000,5350000,1268000,17,x,201,x,x,#N/A,x,0,1950000,2100000,1300000,0,4,x,x,1.0,3.0,2.0,2.0,0.0,2.0,3.0,1.0,3.0
Venezuela displacement in Chile,Displacement,CHL002,Chile,CHL,743532,19116000,11650000,562000,x,x,1,x,x,#N/A,x,7467000,11169000,481000,0,0,3,x,x,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0
Multiple crises in Cameroon,"Conflict,Displacement",CMR001,Cameroon,CMR,440640,27600000,3755000,2024000,150,x,560,x,x,#N/A,x,23845000,0,2072000,1683000,0,3,x,x,1.0,3.0,3.0,0.0,2.0,3.0,3.0,1.0,3.0
