Crisis,Crisis ID,Country,Indicator,Figure,Source and Date,Reliability,Reliability Score,Link,Justification,Helper,Date of entry,Type of entry
Complex crisis in Mali,MLI001,Mali,Buildings damaged,x,,x,x,,No data available,MLI001Buildings damaged,2019-01-24,Humanitarian development
Complex crisis in Mali,MLI001,Mali,Buildings destroyed,1,Complex crisis in Mali,Low,3,MLI001,Complex crisis in Mali,MLI001Buildings destroyed,2019-01-24,Humanitarian development
Complex crisis in Mali,MLI001,Mali,Economic Losses,x,,x,x,,No data available,MLI001Economic Losses,2019-01-24,Humanitarian development
Complex crisis in Mali,MLI001,Mali,People facing limited access constraints,x,,x,x,,No data available,MLI001People facing limited access constraints,2019-01-24,Humanitarian development
Complex crisis in Mali,MLI001,Mali,People facing restricted access constraints,x,,x,x,,No data available,MLI001People facing restricted access constraints,2019-01-24,Humanitarian development
Drought in Senegal,SEN002,Senegal,Buildings damaged,0,,Medium,2,,,SEN002Buildings damaged,2019-01-24,Humanitarian development
Drought in Senegal,SEN002,Senegal,Buildings destroyed,0,,Medium,2,,,SEN002Buildings destroyed,2019-01-24,Humanitarian development
Drought in Senegal,SEN002,Senegal,Economic Losses,x,,Low,3,,"No recent number reflecting agricultural losses, or the impact of the drought on smallholder agricutlure and transhumance patterns disrupting rural economies",SEN002Economic Losses,2019-01-24,Humanitarian development
Drought in Senegal,SEN002,Senegal,Illness cases reported,0,,Medium,2,,,SEN002Illness cases reported,2019-01-24,Humanitarian development
Drought in Senegal,SEN002,Senegal,Injuries reported,0,,Medium,2,,,SEN002Injuries reported,2019-01-24,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,Buildings damaged,x,,x,x,,,PRK001Buildings damaged,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,Buildings destroyed,x,,x,x,,,PRK001Buildings destroyed,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,Crisis affected groups,1,,Medium,2,,Country population,PRK001Crisis affected groups,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,Economic Losses,x,,x,x,,,PRK001Economic Losses,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,Illness cases reported,x,,x,x,,,PRK001Illness cases reported,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,Injuries reported,x,,x,x,,,PRK001Injuries reported,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,People facing limited access constraints,x,,x,x,,,PRK001People facing limited access constraints,2019-01-28,Humanitarian development
Complex crisis in DPRK,PRK001,DPRK,People facing restricted access constraints,x,,x,x,,,PRK001People facing restricted access constraints,2019-01-28,Humanitarian development
Conflict in Yemen,YEM001,Yemen,Buildings damaged,x,,x,x,,,YEM001Buildings damaged,2019-01-28,Humanitarian development
Conflict in Yemen,YEM001,Yemen,Buildings destroyed,x,,x,x,,,YEM001Buildings destroyed,2019-01-28,Humanitarian development
Conflict in Yemen,YEM001,Yemen,Economic Losses,x,,x,x,,,YEM001Economic Losses,2019-01-28,Humanitarian development
Conflict in Yemen,YEM001,Yemen,People facing limited access constraints,x,,x,x,,,YEM001People facing limited access constraints,2019-01-28,Humanitarian development
Conflict in Yemen,YEM001,Yemen,People facing restricted access constraints,x,,x,x,,,YEM001People facing restricted access constraints,2019-01-28,Humanitarian development
Complex crisis in Afghanistan,AFG001,Afghanistan,Buildings damaged,x,,x,x,,,AFG001Buildings damaged,2019-01-30,Humanitarian development
Complex crisis in Afghanistan,AFG001,Afghanistan,Economic Losses,13114,"Economic Institute of Peace, World Bank",Medium,2,"http://visionofhumanity.org/app/uploads/2018/11/Economic-Value-of-Peace-2018.pdf, https://data.worldbank.org/indicator/NY.GDP.MKTP.CD","Based on Economic Insitute of Peace estimates the economic costs due to conflict in Afghanistan at 63% of the GDP (2017), subsequent calculation based on 2017 World Bank figures. This does not include any estimations for economic losses due to the drought.",AFG001Economic Losses,2019-01-30,Humanitarian development
Complex crisis in Afghanistan,AFG001,Afghanistan,Illness cases reported,x,,x,x,,,AFG001Illness cases reported,2019-01-30,Humanitarian development
Complex crisis in Afghanistan,AFG001,Afghanistan,People facing limited access constraints,x,,x,x,,,AFG001People facing limited access constraints,2019-01-30,Humanitarian development
Complex crisis in Afghanistan,AFG001,Afghanistan,People facing restricted access constraints,x,,x,x,,,AFG001People facing restricted access constraints,2019-01-30,Humanitarian development
Syrian conflict,SYR001,Syria,Crisis affected groups,5,,High,1,,Every kind of group is affected by this crisis as it covers the entire country and those displaced by it.,SYR001Crisis affected groups,2019-01-30,Humanitarian development
Syrian conflict,SYR001,Syria,Illness cases reported,x,x,x,x,,"There are too many illnesses in Syria, which are reported very sporadically to be able to adequately captured here.",SYR001Illness cases reported,2019-01-30,Humanitarian development
Syrian conflict,SYR001,Syria,People facing limited access constraints,x,,x,x,,"This number is not known though it should not be assumed that most of the populaytion outside of hard to reach areas are not also affected by strong access constraints - espeacially in areas with ongoing conflict, and when considering that the Israeli, Turkish, Lebanese and Jordanian borders are closed.",SYR001People facing limited access constraints,2019-01-30,Humanitarian development
