,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
AFG001,60,60,60,4,4,60,60,60,60,60,793,159,159,159,158,162,159,158,158,157,132,,
AFG005,275,275,275,275,275,275,275,275,275,275,275,150,150,150,150,150,150,150,150,150,262.5,,
AGO002,212,274,274,9,470,274,274,274,274,274,9,153,153,153,153,153,153,153,153,153,228.5,,
ARM002,296,296,296,296,3,296,296,296,793,793,793,152,152,152,152,152,152,152,152,152,401.4,,
AZE002,249,269,269,31,3,269,274,269,269,269,877,151,151,151,151,151,151,151,151,151,268.1,,
BDI001,14,14,14,14,14,14,14,14,14,14,31,151,151,151,151,151,151,151,151,151,29.4,,
BFA002,31,31,31,31,31,31,31,31,31,31,1505,153,153,153,153,153,153,153,153,153,190.6,,
BGD002,333,31,31,31,31,268,268,31,268,268,1096,151,151,151,151,151,151,151,151,151,244.3,,
BRA001,1,1,1,1,1,1,1,1,1,1,1,153,153,153,153,153,153,153,153,153,16.2,,
BRA002,1,1,1,1,1,1,1,1,1,1,1,153,153,153,153,153,153,153,153,153,16.2,,
BRA003,1,1,1,1,1,1,1,1,1,1,1,153,153,153,153,153,153,153,153,153,16.2,,
CAF001,31,31,31,31,31,31,31,31,31,31,31,153,153,153,153,153,153,153,153,153,43.2,,
CHL002,31,31,31,31,31,31,31,31,31,31,31,153,153,153,153,153,153,153,153,153,43.2,,
CMR001,670,274,191,31,31,191,191,191,191,191,274,153,153,153,153,153,153,153,153,153,163.5,,
CMR002,1319,252,252,31,31,252,252,252,252,252,213,153,153,153,153,153,153,153,153,153,194,,
CMR003,375,252,252,31,31,252,252,252,252,252,213,153,153,153,153,153,153,153,153,153,194,,
CMR004,375,252,252,31,31,252,252,252,252,252,1507,153,153,153,153,153,153,153,153,153,323.4,,
COD001,31,31,31,31,31,31,31,31,31,31,1507,153,153,153,153,153,153,153,153,153,190.8,,
COG001,212,275,275,2,9,275,275,275,275,813,2,153,153,153,153,153,153,153,153,153,235.4,,
COL001,2,2,2,2,2,2,2,2,2,2,2,153,153,153,153,153,153,153,153,153,17.1,,
COL002,59,59,59,59,59,59,59,59,59,59,59,153,153,153,153,153,153,153,153,153,68.4,,
CRI002,0,0,0,0,0,0,0,0,0,0,0,153,153,153,153,153,153,153,153,153,15.3,,
DJI001,123,3,3,3,101,3,3,3,38,38,123,151,151,151,151,151,151,151,151,151,46.6,,
DJI002,123,123,3,3,101,3,3,3,3,3,123,151,151,151,151,151,151,151,151,151,39.6,,
DJI003,123,3,3,123,123,3,3,3,3,3,123,151,151,151,151,151,151,151,151,151,53.8,,
DOM002,95,66,66,66,95,66,66,66,95,95,95,153,153,153,153,153,153,153,153,153,86.3,,
DZA002,243,4,2,2,4,4,2,2,2,2,243,158,158,158,158,158,158,158,158,158,42.1,,
DZA003,243,243,243,219,4,219,219,219,219,219,243,158,158,158,158,158,158,158,158,158,196.2,,
