,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,1.2,1.3,2.2,0,1.5,160.4,0,High
AGO002,1.8,1.8,3.5,0,1.7,255.5,0,High
ARM002,2,2.3,3.6,0,1.9,265.5,0,High
AZE002,2.5,3.8,1.9,1.7,2.5,137.9,1,Medium
BDI001,0.7,2,0.2,0,1.8,17,0,Very High
BFA002,1.8,2.3,3.1,0,1.9,225,0,High
BGD002,0.7,1.8,0.2,0,1.7,15.5,0,Very High
BRA001,0.6,1.8,0.1,0,1.7,8.6,0,Very High
BRA002,1.4,2.3,0.1,1.7,1.9,8.6,1,High
BRA003,1.5,2.8,0.1,1.7,2.1,8.6,1,High
CAF001,1.1,2.3,1.1,0,1.9,77.6,0,High
CHL002,0.6,1.8,0.1,0,1.7,8.7,0,Very High
CMR001,1.6,2,2.7,0,1.8,197.7,0,High
CMR002,1.6,1.8,3.1,0,1.7,228.2,0,High
CMR003,1.7,2,3.1,0,1.8,228.2,0,High
CMR004,2.4,2.3,4.9,0,1.9,357.6,0,Medium
COD001,1.8,2.3,3.1,0,1.9,225.2,0,High
COG001,0.8,2,0.3,0,1.8,21.1,0,Very High
COL001,0.2,0.3,0.2,0,1.1,14,0,Very High
COL002,1.2,1.8,0.2,1.7,1.7,14,1,High
CRI002,2,2.3,0.4,3.3,1.9,29.3,2,High
DJI001,1.2,2.3,1.2,0,1.9,87.9,0,High
DJI002,1,2,1.1,0,1.8,80.9,0,Very High
DJI003,2.3,2.3,1.3,3.3,1.9,95.1,2,Medium
DOM002,2,2.3,0.4,3.3,1.9,33,2,High
DZA002,1.1,2.5,0.9,0,2,69.9,0,High
DZA003,3.1,4.3,3.2,1.7,2.7,230.5,1,Low
DZA004,1.5,3.5,0.9,0,2.4,67.8,0,High
ECU002,0.6,1.8,0.1,0,1.7,8.6,0,Very High
EGY002,1,2.5,0.4,0,2,32.1,0,Very High
ERI001,1.2,3,0.7,0,2.2,54,0,High
ESP002,1,2.5,0.4,0,2,31.9,0,Very High
ETH001,0.6,1,0.7,0,1.4,54,0,Very High
ETH003,1.7,2,1.5,1.7,1.8,107.5,1,High
ETH004,0.9,1.3,1.4,0,1.5,101,0,Very High
ETH005,0.8,1.3,1.1,0,1.5,83.8,0,Very High
GRC002,1.9,3.5,2.2,0,2.4,159.7,0,High
GTM001,0.8,2.3,0,0,1.9,1.5,0,Very High
HND001,0.8,2.3,0,0,1.9,1.4,0,Very High
HTI001,0.2,0.3,0.4,0,1.1,26.6,0,Very High
HTI002,0.9,2.3,0.3,0,1.9,19.4,0,Very High
HUN002,0.9,2.3,0.4,0,1.9,32.1,0,Very High
IDN002,1.5,3,1.6,0,2.2,116.7,0,High
IDN007,1.4,3.3,0.8,0,2.3,57.2,0,High
IDN008,0.7,1.3,0.8,0,1.5,57.2,0,Very High
IND002,4.1,2.3,5,5,1.9,727.4,3,Very Low
IRN004,3.1,4,2,3.3,2.6,149.6,2,Low
IRQ001,1.7,3.5,1.7,0,2.4,121.8,0,High
IRQ002,1.1,1.3,2,0,1.5,147.6,0,High
IRQ003,1.9,3.5,2.2,0,2.4,162.2,0,High
ITA002,0.9,2.3,0.4,0,1.9,32.1,0,Very High
JOR002,1.8,3.5,1.8,0,2.4,128.9,0,High
KEN001,2.2,2.5,0.7,3.3,2,49.7,2,Medium
KEN002,2.1,2,1,3.3,1.8,71,2,Medium
KEN003,3,2,2,5,1.8,144.9,3,Medium
LBN002,2.3,3.5,1.8,1.7,2.4,132.1,1,Medium
LBN004,2.3,3.3,1.9,1.7,2.3,135.8,1,Medium
LBY001,0.5,1,0.4,0,1.4,31.8,0,Very High
LBY002,0.8,2,0.4,0,1.8,31.8,0,Very High
LKA002,1.5,1.8,2.6,0,1.7,191.6,0,High
MAR002,2.3,4,2.9,0,2.6,214.2,0,Medium
MDA002,0.9,2.3,0.4,0,1.9,32.1,0,Very High
MDG001,0.6,1.8,0.1,0,1.7,7.5,0,Very High
MDG002,0.9,0.8,0.2,1.7,1.3,19,1,Very High
MDG008,0.8,2.3,0,0,1.9,1.4,0,Very High
MEX001,1.6,4,0.8,0,2.6,59,0,High
MEX002,1.5,3.8,0.8,0,2.5,59,0,High
MEX003,1.5,3.8,0.8,0,2.5,59,0,High
MLI001,0.5,0.5,1,0,1.2,76,0,Very High
MMR001,0.7,2,0,0,1.8,2.3,0,Very High
MMR002,1.7,2.3,2.7,0,1.9,196.3,0,High
MMR003,1.5,2.3,2.2,0,1.9,159.1,0,High
MMR004,1.3,2,2,0,1.8,144.9,0,High
MMR005,1.4,2.5,0,1.7,2,0.9,1,High
MNG002,1.5,2.3,0.6,1.7,1.9,42.2,1,High
MOZ001,0.8,2.5,0,0,2,1.4,0,Very High
MOZ004,1,3,0,0,2.2,1.4,0,Very High
MOZ009,0.8,2.3,0,0,1.9,1.4,0,Very High
MOZ010,0.8,2.3,0,0,1.9,1.4,0,Very High
MRT002,0.6,1.5,0.3,0,1.6,23.1,0,Very High
MRT003,1.7,0.8,2.7,1.7,1.3,199.5,1,High
MWI002,0.4,1,0.1,0,1.4,6.3,0,Very High
MWI005,0.2,0.5,0.1,0,1.2,6.3,0,Very High
MYS001,1.9,2.8,2.8,0,2.1,205.1,0,High
NAM002,1.7,0.5,2.9,1.7,1.2,214.3,1,High
NER001,0.5,0.5,1,0,1.2,75.8,0,Very High
NER002,0.9,0.3,2.3,0,1.1,165.8,0,Very High
NER003,1.1,1,2.2,0,1.4,163.2,0,High
NER004,1.3,1.8,2.1,0,1.7,154.5,0,High
NGA001,1.9,3.8,2,0,2.5,146.6,0,High
NGA003,2.2,3.8,2.8,0,2.5,206.1,0,Medium
NGA004,2.2,2.3,2.6,1.7,1.9,188.6,1,Medium
NGA007,2,3.5,2.6,0,2.4,189.4,0,High
NGA008,2,2.3,2.1,1.7,1.9,156.3,1,High
NIC001,2,2.3,1.9,1.7,1.9,138.9,1,High
PAK001,1.4,1.8,2.4,0,1.7,177.6,0,High
PAK004,3.2,1.3,5,3.3,1.5,468.3,2,Low
PAK005,1.7,2.3,2.9,0,1.9,211.8,0,High
PAN002,0.8,2.5,0,0,2,2.3,0,Very High
PER002,0.6,1.8,0.1,0,1.7,8.7,0,Very High
PHL001,1.1,3.3,0,0,2.3,2.3,0,High
PHL003,1.9,3.8,1.9,0,2.5,140,0,High
PHL012,1,2,0.9,0,1.8,69.1,0,Very High
PNG003,1.3,1.5,2.3,0,1.6,170.8,0,High
POL002,0.8,2,0.4,0,1.8,31.8,0,Very High
PRK001,2.1,3.5,2.7,0,2.4,196.9,0,Medium
PSE002,1.1,0.8,2.5,0,1.3,180.9,0,High
REG001,1.4,1.8,2.3,0,1.7,165.8,0,High
REG002,2.1,2.8,3.6,0,2.1,265.7,0,Medium
REG003,3.3,3.3,5,1.7,2.3,975.7,1,Low
REG004,1.7,2.5,2.5,0,2,179.6,0,High
REG006,2.4,3.5,2,1.7,2.4,149.5,1,Medium
REG007,0.9,2.3,0.4,0,1.9,29,0,Very High
REG008,0.9,2.3,0.4,0,1.9,29,0,Very High
REG011,0.7,2,0.2,0,1.8,15.5,0,Very High
REG012,0.7,2,0,0,1.8,1.4,0,Very High
REG013,1.4,3,1.1,0,2.2,78.7,0,High
REG014,1.3,2.3,1.5,0,1.9,111.2,0,High
REG015,1.6,4,0.8,0,2.6,55.9,0,High
ROU002,0.9,2.3,0.4,0,1.9,31.9,0,Very High
RWA002,2.7,2.8,1.9,3.3,2.1,142.6,2,Medium
SDN001,0.3,0.8,0,0,1.3,1.4,0,Very High
SDN005,0.8,1.5,0.9,0,1.6,63.9,0,Very High
SDN008,0.9,1.5,1.1,0,1.6,77.5,0,Very High
SEN002,0.4,0.3,1,0,1.1,70.5,0,Very High
SLV001,0.8,2.3,0,0,1.9,2.3,0,Very High
SOM001,0.7,2,0.2,0,1.8,12.9,0,Very High
SOM002,1.1,2.3,1,0,1.9,75.9,0,High
SSD001,1.2,2.5,1.2,0,2,88.7,0,High
SVK002,0.9,2.3,0.4,0,1.9,31.9,0,Very High
SWZ001,2.1,0.8,3.9,1.7,1.3,286.6,1,Medium
SYR001,1.1,0.8,2.6,0,1.3,188.3,0,High
SYR002,1.6,4.3,0.5,0,2.7,39.4,0,High
TCD001,2.8,3.3,5,0,2.3,461.4,0,Medium
TCD003,2.8,3.5,4.9,0,2.4,354.4,0,Medium
TCD004,2.4,2.5,4.8,0,2,351.9,0,Medium
TCD005,1.5,1.3,3.1,0,1.5,224.2,0,High
THA001,2.4,3,4.1,0,2.2,302.1,0,Medium
THA002,3.5,2.3,5,3.3,1.9,858.7,2,Low
THA003,2.3,2.8,4.1,0,2.1,302.1,0,Medium
TTO002,0.6,1.8,0.1,0,1.7,8.7,0,Very High
TUN002,1,2.5,0.4,0,2,31.9,0,Very High
TUR001,1.7,2.5,2.5,0,2,185.9,0,High
TUR002,2.3,2.3,3,1.7,1.9,223,1,Medium
TUR003,1.7,2.5,2.5,0,2,185.9,0,High
TUR004,2.2,3.8,2.8,0,2.5,205.3,0,Medium
TUR005,1.6,4.3,0.5,0,2.7,39.2,0,High
TZA001,0.6,1.5,0.4,0,1.6,29.2,0,Very High
TZA002,0.6,1.3,0.4,0,1.5,29.2,0,Very High
TZA003,0.9,1,1.8,0,1.4,131.8,0,Very High
UGA005,2.1,2.8,1.7,1.7,2.1,124.6,1,Medium
UKR002,0.9,1.8,0.8,0,1.7,58,0,Very High
VEN001,0.9,2.5,0.2,0,2,15.9,0,Very High
VUT003,2.2,2.8,0.6,3.3,2.1,41.6,2,Medium
YEM001,0.6,0.8,0.9,0,1.3,63.5,0,Very High
YEM002,0.9,2.5,0.2,0,2,14.8,0,Very High
ZMB002,1.7,0.5,4.6,0,1.2,339.3,0,High
ZWE001,0.8,1.5,1,0,1.6,73.6,0,Very High
