,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
AFG001,36,36,36,36,0,36,36,36,36,36,32,10,10,10,10,10,10,10,10,10,29.4,,
AFG006,37,37,37,37,0,37,37,0,0,37,32,10,10,10,10,10,10,10,10,10,22.7,,
AGO002,456,518,518,0,714,518,518,518,518,518,0,197,197,197,197,197,197,197,197,197,401.9,,
ARM002,134,0,0,0,30,0,0,0,0,0,134,3,3,3,3,3,3,3,3,3,16.7,,
AZE002,133,0,0,0,30,0,0,0,0,0,1121,3,3,3,3,3,3,3,3,3,115.4,,
BDI001,134,134,134,1,1,134,134,134,134,134,134,3,3,3,3,3,3,3,3,3,94.3,,
BFA002,275,148,148,0,0,148,148,148,148,148,0,199,199,199,199,199,199,199,199,199,108.7,,
BGD002,34,0,0,0,0,34,34,0,34,34,34,197,197,197,197,197,197,197,197,197,36.7,,
BGD009,34,34,34,34,34,34,34,34,34,34,34,93,93,93,93,93,93,93,93,93,39.9,,
BGD010,15,0,0,0,0,15,0,0,15,15,15,3,3,3,3,3,3,3,3,3,6.3,,
BGD011,15,15,15,15,15,15,15,15,15,15,15,3,3,3,3,3,3,3,3,3,13.8,,
BGR002,36,36,36,36,36,36,36,36,36,36,36,22,22,22,22,22,22,22,22,22,34.6,,
BLR002,36,36,36,36,36,36,36,36,36,36,36,22,22,22,22,22,22,22,22,22,34.6,,
BRA001,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,6,6,6,6,6,0.6,,
BRA002,61,61,61,61,61,61,61,61,61,61,61,6,6,6,6,6,6,6,6,6,55.5,,
BRA003,61,61,61,61,61,61,61,61,61,61,61,6,6,6,6,6,6,6,6,6,55.5,,
