Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Complex crisis in Afghanistan,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",AFG001,Afghanistan,AFG,652867,43100000,43100000,23314000,2949,x,635,x,x,#N/A,13114,0,13900000,14500000,14700000,0,5,x,x,1.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0
Drought in South-West Angola,Drought,AGO002,Angola,AGO,1246700,2750000,2267000,0,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,483000,683000,1167000,417000,0,1,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0
Nagorno-Karabakh Conflict in Armenia,"Conflict,Displacement",ARM002,Armenia,ARM,12168,475000,225000,65000,2,x,3,x,x,#N/A,x,250000,152000,73000,0,0,2,x,x,0.0,2.0,1.0,0.0,0.0,2.0,2.0,1.0,0.0
Nagorno-Karabakh conflict in Azerbaijan,"Conflict,Displacement",AZE002,Azerbaijan,AZE,16458,1037000,206000,128000,48,x,16,x,x,#N/A,x,831000,142000,63000,0,0,3,x,x,2.0,2.0,2.0,0.0,2.0,1.0,2.0,2.0,2.0
Complex in Burundi,"Violence,Displacement,Floods",BDI001,Burundi,BDI,25680,12289000,5330000,637000,x,283000,85,x,x,#N/A,444,6959000,4174000,1156000,0,0,5,x,x,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0
Conflict in Burkina Faso,"Conflict,Displacement,Violence",BFA002,Burkina Faso,BFA,166000,21537000,4618000,2211000,1,x,4246,x,x,#N/A,x,16919000,0,2582000,1947000,89000,4,x,x,0.0,3.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0
Mutliple crises in Bangladesh,"Conflict,Violence,Displacement,Floods",BGD001,Bangladesh,BGD,19100,3901000,2801000,1176000,x,x,91,28070,x,#N/A,35100000,1100000,700000,1843000,257000,0,x,x,x,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,2.0
Rohingya refugee crisis,"Conflict,Violence,Displacement",BGD002,Bangladesh,BGD,730.46,1501000,1501000,963000,x,x,40,x,x,#N/A,x,0,0,1243000,257000,0,3,x,x,2.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,0.0
Floods and Monsoon Rain in Chattogram Division,Floods,BGD009,Bangladesh,BGD,18370,2400000,1300000,213000,0,x,51,28070,x,#N/A,35100000,1100000,700000,600000,0,0,4,x,x,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
