,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,0.9,2.3,0.4,0,1.9,31.9,0,Very High
AFG006,1.4,1.8,0.8,1.7,1.7,58.2,1,High
AGO002,2.3,1.8,5,0,1.7,504.8,0,Medium
ARM002,1.1,2.5,0.9,0,2,65.1,0,High
AZE002,2.6,3.8,2.2,1.7,2.5,163.8,1,Medium
BDI001,0.7,2,0.2,0,1.8,15.5,0,Very High
BFA002,0.4,1,0.3,0,1.4,23.8,0,Very High
BGD001,0.4,1,0.1,0,1.4,6.9,0,Very High
BGD002,0.4,1,0.1,0,1.4,6.9,0,Very High
BGD012,0.4,1,0.1,0,1.4,6.9,0,Very High
BGR002,1.9,2,0.3,3.3,1.8,21.9,2,High
BLR002,0.9,2.3,0.3,0,1.9,21.9,0,Very High
BRA001,0.9,2,0.6,0,1.8,42.8,0,Very High
BRA002,0.8,2.3,0.2,0,1.9,15.8,0,Very High
BRA004,1.4,1.8,0.6,1.7,1.7,42.8,1,High
CAF001,0.2,0.3,0.3,0,1.1,23.7,0,Very High
CHL002,0.7,1.8,0.2,0,1.7,14.7,0,Very High
CMR001,0.7,1.8,0.2,0,1.7,16.6,0,Very High
CMR002,0.6,1.5,0.2,0,1.6,16.6,0,Very High
CMR003,0.6,1.5,0.2,0,1.6,16.6,0,Very High
CMR004,0.7,1.8,0.2,0,1.7,16.6,0,Very High
COD001,0.2,0.3,0.3,0,1.1,23.7,0,Very High
COG001,0.7,1.8,0.2,0,1.7,16.6,0,Very High
COL001,0.8,2,0.3,0,1.8,25.4,0,Very High
COL002,0.9,2.3,0.3,0,1.9,25.4,0,Very High
CRI002,1.6,3.5,1.3,0,2.4,96.5,0,High
CZE002,0.9,2.3,0.3,0,1.9,21.9,0,Very High
DJI001,1.1,2.3,0.9,0,1.9,67.5,0,High
DJI002,1,2,0.9,0,1.8,67.5,0,Very High
DJI003,1.1,2.3,0.9,0,1.9,67.5,0,High
DOM002,2.1,2.3,0.6,3.3,1.9,43.4,2,Medium
DZA002,1.6,3.8,1.1,0,2.5,80,0,High
DZA003,1.8,4.3,1.1,0,2.7,80,0,High
DZA004,1.7,3.8,1.2,0,2.5,87.7,0,High
ECU002,0.8,2.3,0.2,0,1.9,15.4,0,Very High
EGY004,1,2.5,0.6,0,2,44.8,0,Very High
ERI001,1.5,3.3,1.2,0,2.3,86.8,0,High
ESP002,1.2,2.5,1.1,0,2,81.6,0,High
EST002,0.9,2.3,0.3,0,1.9,21.9,0,Very High
ETH001,0.8,2,0.3,0,1.8,25.7,0,Very High
ETH003,1.8,2.8,1,1.7,2.1,74.3,1,High
ETH004,1.1,3,0.3,0,2.2,25.7,0,High
ETH005,1.3,2.8,1,0,2.1,74.3,0,High
GRC002,1.9,2.8,2.8,0,2.1,206.6,0,High
GTM001,1,2.8,0.3,0,2.1,25.9,0,Very High
HND001,1.4,3.8,0.3,0,2.5,25.4,0,High
HTI001,1.1,3,0.3,0,2.2,25.4,0,High
HUN002,0.9,2.3,0.3,0,1.9,20.3,0,Very High
IDN002,1.7,3.5,1.6,0,2.4,116,0,High
IRN004,3.6,4,3.4,3.3,2.6,251.7,2,Low
IRQ001,1.4,2,2.2,0,1.8,161.7,0,High
IRQ002,1.6,2.5,2.3,0,2,170,0,High
IRQ003,1.7,2,3,0,1.8,220.8,0,High
ITA002,1.1,2.3,1.1,0,1.9,81.6,0,High
JOR002,1.3,3.8,0.2,0,2.5,15.5,0,High
KEN001,1.3,3.5,0.3,0,2.4,24.6,0,High
KEN002,1.3,2,0.2,1.7,1.8,15.5,1,High
KEN003,0.8,2.3,0.2,0,1.9,15.5,0,Very High
LBN002,1.4,2,2.3,0,1.8,168.9,0,High
LBN004,1.5,2,2.4,0,1.8,172.6,0,High
LBY001,1,2.3,0.7,0,1.9,48.4,0,Very High
LBY002,1.1,2,1.2,0,1.8,90.6,0,High
LBY003,0.8,1.8,0.7,0,1.7,48.5,0,Very High
LKA001,0.9,1.8,0.8,0,1.7,59.4,0,Very High
LKA002,1.4,1.8,0.8,1.7,1.7,62.1,1,High
LKA003,0.9,1.8,0.8,0,1.7,61.9,0,Very High
LTU002,0.9,2.3,0.3,0,1.9,21.9,0,Very High
LVA002,0.9,2.3,0.3,0,1.9,21.9,0,Very High
MAR001,1.4,3.8,0.5,0,2.5,39.1,0,High
MAR002,1.7,4,1.1,0,2.6,81.3,0,High
MAR003,1.4,3,1.1,0,2.2,81.1,0,High
MDA002,0.8,2,0.3,0,1.8,20.3,0,Very High
MDG001,0.9,2.3,0.4,0,1.9,27.3,0,Very High
MDG002,0.9,2.3,0.4,0,1.9,27.3,0,Very High
MDG008,1.1,2.8,0.4,0,2.1,27.3,0,High
MEX001,1.5,4,0.6,0,2.6,43.4,0,High
MEX002,1.5,3.8,0.6,0,2.5,43.4,0,High
MEX003,1.5,3.8,0.6,0,2.5,43.4,0,High
MLI001,0.2,0.3,0.3,0,1.1,23.7,0,Very High
MMR001,0.7,1.8,0.3,0,1.7,22.7,0,Very High
MMR002,0.7,1.8,0.3,0,1.7,22.7,0,Very High
MMR003,0.7,1.8,0.3,0,1.7,22.4,0,Very High
MMR004,0.7,1.8,0.3,0,1.7,22.7,0,Very High
MNG004,0.8,2,0.5,0,1.8,36.7,0,Very High
MOZ001,0.9,2.5,0.2,0,2,13,0,Very High
MOZ004,1.1,2.8,0.4,0,2.1,27.2,0,High
MRT002,0.7,1.5,0.7,0,1.6,53.5,0,Very High
MRT003,0.6,0.8,0.9,0,1.3,64.3,0,Very High
MWI002,0.8,1.8,0.7,0,1.7,52.3,0,Very High
MWI005,1.1,2.5,0.7,0,2,52.3,0,High
MYS001,0.9,2.5,0.3,0,2,20,0,Very High
NAM002,2.4,1.5,4,1.7,1.6,294.1,1,Medium
NER001,0.7,1.8,0.2,0,1.7,16.5,0,Very High
NER002,1,0.3,2.7,0,1.1,197.1,0,Very High
NER003,1,0.3,2.7,0,1.1,197.1,0,Very High
NER004,1,0.3,2.7,0,1.1,197.1,0,Very High
NGA001,1.4,4,0.3,0,2.6,25.5,0,High
NGA003,0.9,2.3,0.3,0,1.9,25.6,0,Very High
NGA004,1.2,3.3,0.3,0,2.3,25.6,0,High
NGA007,1.3,3.5,0.3,0,2.4,25.5,0,High
NGA008,1.9,2.3,1.6,1.7,1.9,118.6,1,High
NIC001,1.4,2.3,0.2,1.7,1.9,15.5,1,High
NPL003,1.4,2,2.1,0,1.8,152.3,0,High
PAK001,1.5,1.8,2.8,0,1.7,206.4,0,High
PAK004,2.5,1.3,2.8,3.3,1.5,204.4,2,Medium
PAK005,1.2,2.5,1.1,0,2,79.7,0,High
PAN002,1.2,2.5,1,0,2,70.4,0,High
PER002,0.8,2.3,0.2,0,1.9,15.5,0,Very High
PHL003,1.9,3.5,0.5,1.7,2.4,38.1,1,High
PNG003,1,2,1,0,1.8,74.7,0,Very High
POL002,0.8,2,0.3,0,1.8,20.3,0,Very High
PRK001,2.8,3.5,5,0,2.4,406.3,0,Medium
PSE002,0.8,2,0.3,0,1.8,25.4,0,Very High
PSE003,0.3,0.5,0.3,0,1.2,25.4,0,Very High
PSE004,0.7,1.8,0.3,0,1.7,25.4,0,Very High
REG001,1,0.3,2.7,0,1.1,195.9,0,Very High
REG002,2.6,2.8,5,0,2.1,581.2,0,Medium
REG004,2.5,2.5,5,0,2,441.7,0,Medium
REG006,2.5,2.8,3,1.7,2.1,220.4,1,Medium
REG007,1.1,2.3,1,0,1.9,77.4,0,High
