,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
AFG001,12,12,12,12,12,12,12,12,12,12,61,162,162,162,162,162,162,162,162,162,31.9,,
AFG006,12,12,12,12,152,12,12,12,12,12,184,162,162,162,162,162,162,162,162,162,58.2,,
AGO002,608,670,670,4,866,670,670,670,670,670,4,154,154,154,154,154,154,154,154,154,504.8,,
ARM002,121,30,30,30,0,30,30,30,30,30,286,155,155,155,155,155,155,155,155,155,65.1,,
AZE002,285,30,30,30,0,30,30,30,30,30,1273,155,155,155,155,155,155,155,155,155,163.8,,
BDI001,0,0,0,0,0,0,0,0,0,0,0,155,155,155,155,155,155,155,155,155,15.5,,
BFA002,12,12,12,4,4,12,12,12,12,12,4,154,154,154,154,154,154,154,154,154,23.8,,
BGD001,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6.9,,
BGD002,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6.9,,
BGD012,7,7,7,7,7,7,7,7,7,7,7,6,6,6,6,6,6,6,6,6,6.9,,
BGR002,5,5,5,5,5,5,5,5,5,5,5,174,174,174,174,174,174,174,174,174,21.9,,
BLR002,5,5,5,5,5,5,5,5,5,5,5,174,174,174,174,174,174,174,174,174,21.9,,
BRA001,30,30,30,30,30,30,30,30,30,30,30,158,158,158,158,158,158,158,158,158,42.8,,
BRA002,0,0,0,0,0,0,0,0,0,0,0,158,158,158,158,158,158,158,158,158,15.8,,
BRA004,30,30,30,30,30,30,30,30,30,30,30,158,158,158,158,158,158,158,158,158,42.8,,
CAF001,12,12,12,4,4,12,12,12,12,12,4,153,153,153,153,153,153,153,153,153,23.7,,
CHL002,0,0,0,0,0,0,0,0,0,0,0,147,147,147,147,147,147,147,147,147,14.7,,
CMR001,12,0,0,4,4,0,0,0,0,0,4,154,154,154,154,154,154,154,154,154,16.6,,
CMR002,300,0,0,4,4,0,0,0,0,0,4,154,154,154,154,154,154,154,154,154,16.6,,
CMR003,300,0,0,4,4,0,0,0,0,0,4,154,154,154,154,154,154,154,154,154,16.6,,
CMR004,300,0,0,4,4,0,0,0,0,0,4,154,154,154,154,154,154,154,154,154,16.6,,
COD001,12,12,12,4,4,12,12,12,12,12,4,153,153,153,153,153,153,153,153,153,23.7,,
COG001,0,0,0,4,4,0,0,0,0,0,4,154,154,154,154,154,154,154,154,154,16.6,,
COL001,11,11,11,11,11,11,11,11,11,11,11,155,155,155,155,155,155,155,155,155,25.4,,
COL002,11,11,11,11,11,11,11,11,11,11,11,155,155,155,155,155,155,155,155,155,25.4,,
CRI002,90,90,90,90,90,90,90,90,90,90,90,155,155,155,155,155,155,155,155,155,96.5,,
CZE002,5,5,5,5,5,5,5,5,5,5,5,174,174,174,174,174,174,174,174,174,21.9,,
DJI001,0,0,0,0,0,0,0,0,0,0,519,156,156,156,156,156,156,156,156,156,67.5,,
DJI002,0,0,0,0,0,0,0,0,0,0,519,156,156,156,156,156,156,156,156,156,67.5,,
DJI003,0,0,0,0,0,0,0,0,0,0,519,156,156,156,156,156,156,156,156,156,67.5,,
DOM002,31,31,31,31,31,31,31,31,31,31,31,155,155,155,155,155,155,155,155,155,43.4,,
DZA002,305,0,0,0,0,0,0,0,0,0,639,161,161,161,161,161,161,161,161,161,80,,
DZA003,305,0,0,0,0,0,0,0,0,0,639,161,161,161,161,161,161,161,161,161,80,,
DZA004,305,0,0,0,0,0,0,0,0,0,716,161,161,161,161,161,161,161,161,161,87.7,,
ECU002,0,0,0,0,0,0,0,0,0,0,0,154,154,154,154,154,154,154,154,154,15.4,,
EGY004,279,1,1,1,1,1,1,1,1,1,279,161,161,161,161,161,161,161,161,161,44.8,,
ERI001,0,0,0,0,0,0,0,0,0,0,713,155,155,155,155,155,155,155,155,155,86.8,,
ESP002,639,1,1,1,1,1,1,1,1,1,639,169,169,169,169,169,169,169,169,169,81.6,,
EST002,5,5,5,5,5,5,5,5,5,5,5,174,174,174,174,174,174,174,174,174,21.9,,
ETH001,11,11,11,11,11,11,11,11,11,11,11,158,158,158,158,158,158,158,158,158,25.7,,
ETH003,11,11,11,11,497,11,11,11,11,11,11,158,158,158,158,158,158,158,158,158,74.3,,
ETH004,11,11,11,11,11,11,11,11,11,11,11,158,158,158,158,158,158,158,158,158,25.7,,
ETH005,11,11,11,11,497,11,11,11,11,11,11,158,158,158,158,158,158,158,158,158,74.3,,
