,,,,,,,,,,,,,,,,,
,,,,,# of people in none/minimal conditions - Level 1,# of people in stressed conditions - level 2,# of people in moderate conditions - level 3,# of people severe conditions - level 4,# of people extreme conditions - level 5,People in Need,% of people in none/minimal conditions - Level 1,% of people in stressed conditions - level 2,% of people in moderate conditions - level 3,% of people severe conditions - level 4,% of people extreme conditions - level 5,Concentration of conditions,Conditions of people affected
,,,,MAX,,,,,,7,0.05,0.05,0.05,0.05,0.05,,
,,,,MIN,,,,,,4,,,,,,,
CRISIS,DRIVERS,CRISIS ID,COUNTRY,Iso3,,,,,,,,,,,,,
Complex crisis in Afghanistan,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",AFG001,Afghanistan,AFG,0,20.8,11.4,12.3,0,5,0,0.46741573033707867,0.25617977528089886,0.27640449438202247,0,4,4.5
Earthquake in Herat Province,Earthquake,AFG006,Afghanistan,AFG,1.9,1.325,0.232,0.043,0,2.4,0.5428571428571428,0.37857142857142856,0.06628571428571428,0.012285714285714285,0,3,2.7
Drought in South-West Angola,Drought,AGO002,Angola,AGO,0.483,0.683,1.167,0.417,0,3.7,0.17563636363636365,0.24836363636363637,0.4243636363636364,0.15163636363636362,0,4,3.85
Nagorno-Karabakh Conflict in Armenia,"Conflict,Displacement",ARM002,Armenia,ARM,1.863,0.152,0.15,0,0,2,0.8605080831408776,0.07020785219399538,0.06928406466512702,0,0,3,2.5
Nagorno-Karabakh conflict in Azerbaijan,"Conflict,Displacement",AZE002,Azerbaijan,AZE,0.689,0.201,0.005,0,0,0,0.7698324022346369,0.2245810055865922,0.00558659217877095,0,0,2,1
Complex in Burundi,"Violence,Displacement,Floods",BDI001,Burundi,BDI,5.498,5.556,1.13,0.105,0,3.5,0.4473919765644072,0.4521116445601758,0.09195215233135325,0.008544226544063798,0,3,3.25
Conflict in Burkina Faso,"Conflict,Displacement,Violence",BFA002,Burkina Faso,BFA,17,0,3.528,2.646,0.126,4.7,0.7296137339055794,0,0.15141630901287553,0.11356223175965666,0.005407725321888412,4,4.35
Mutliple crises in Bangladesh,"Conflict,Violence,Displacement,Floods",BGD001,Bangladesh,BGD,70.027,60.895,28.746,11.139,0,5,0.4099773428489465,0.3565134918358147,0.1682952103836494,0.06521395493158945,0,4,4.5
Rohingya refugee crisis,"Conflict,Violence,Displacement",BGD002,Bangladesh,BGD,0,0,1.3,0.222,x,3.6,0,0,0.8541392904073587,0.14586070959264127,x,4,3.8
Chronic Food Security Crisis in Bangladesh,"Food Security,Socio-political,Cyclone,Floods,Other seasonal event",BGD012,Bangladesh,BGD,70.027,60.895,27.446,10.917,0,5,0.4136633487905012,0.35971881737897626,0.16212895413060815,0.06448887969991435,0,4,4.5
Displacement from Russia-Ukraine conflict in Bulgaria,"Conflict,Displacement",BGR002,Bulgaria,BGR,6.465,0,0.073,0,0,1.4,0.9888345059651269,0,0.01116549403487305,0,0,1,1.2
Displacement from Russia-Ukraine conflict in Belarus,"Displacement,Conflict",BLR002,Belarus,BLR,10.672,0,0.339,0,0,2.6,0.9692126055762419,0,0.03078739442375806,0,0,1,1.8
Country level Brazil,"Displacement,Floods",BRA001,Brazil,BRA,108.725,0.138,0.961,0,0,3.3,0.9899930798368298,0.001256555944055944,0.00875036421911422,0,0,1,2.15
Venezuela displacement in Brazil,Displacement,BRA002,Brazil,BRA,105.384,0.138,0.361,0,0,2.6,0.9952872510223548,0.001303325368567192,0.0034094236090779447,0,0,1,1.8
Drought in the Amazonas,Drought,BRA004,Brazil,BRA,3.341,0,0.6,0,0,3,0.8477543770616595,0,0.1522456229383405,0,0,3,3
Complex crisis in CAR,"Conflict,Displacement",CAF001,CAR,CAF,3.3,0,2.5,0.3,0,4.1,0.5409836065573771,0,0.4098360655737705,0.04918032786885246,0,3,3.55
Venezuela displacement in Chile,Displacement,CHL002,Chile,CHL,6.472,12.758,0.373,0,0,2.6,0.3301367067945317,0.6507855539685778,0.01902672923893083,0,0,2,2.3
Multiple crises in Cameroon,"Conflict,Displacement",CMR001,Cameroon,CMR,20.347,0,2.372,1.086,0,4.2,0.854736399915984,0,0.09964293215710986,0.04562066792690611,0,3,3.6
Lake Chad basin crisis in Cameroon,Conflict,CMR002,Cameroon,CMR,3.979,0,0.384,0.816,0,3.5,0.7682950376520564,0,0.07414558795134196,0.15755937439660167,0,4,3.75
Anglophone Crisis in Cameroon,Conflict,CMR003,Cameroon,CMR,10.862,0,1.53,0.27,0,3.8,0.8578423629758332,0,0.12083399147054177,0.02132364555362502,0,3,3.4
