,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
AFG001,5,5,5,5,5,5,5,5,5,5,5,76,76,76,76,76,76,76,76,76,12.1,,
AFG006,5,5,5,5,5,5,5,5,5,5,5,76,76,76,76,76,76,76,76,76,12.1,,
AGO002,31,31,31,4,989,31,31,31,31,31,4,54,54,54,54,54,54,54,54,54,123.7,,
ARM002,3,3,3,3,3,3,3,3,3,3,3,80,80,80,80,80,80,80,80,80,10.7,,
AZE002,4,4,4,4,4,3,3,3,3,3,1396,79,79,79,79,79,79,79,79,79,150.2,,
BDI001,4,4,4,4,4,4,4,4,4,4,4,78,78,78,78,78,78,78,78,78,11.4,,
BEN002,141,141,141,4,4,141,141,141,141,141,4,69,69,69,69,69,69,69,69,69,92.7,,
BFA002,135,135,135,4,4,135,135,135,135,135,4,69,69,69,69,69,69,69,69,69,89.1,,
BGD001,6,6,6,6,6,6,6,6,6,6,6,32,32,32,32,32,32,32,32,32,8.6,,
BGD002,6,6,6,6,6,6,6,6,6,6,6,79,79,79,79,79,79,79,79,79,13.3,,
BGD012,6,6,6,6,6,6,6,6,6,6,6,30,30,30,30,30,30,30,30,30,8.4,,
BGD013,6,6,6,6,6,6,6,6,6,6,6,79,79,79,79,79,79,79,79,79,13.3,,
BGD014,6,6,6,6,6,6,6,6,6,6,6,32,32,32,32,32,32,32,32,32,8.6,,
BGR002,9,9,9,9,9,9,9,9,9,9,9,74,74,74,74,74,74,74,74,74,15.5,,
BLR002,9,9,9,9,9,9,9,9,9,9,9,74,74,74,74,74,74,74,74,74,15.5,,
BRA001,31,31,31,31,31,31,31,31,31,31,31,75,75,75,75,75,75,75,75,75,35.4,,
BRA002,31,31,31,31,31,31,31,31,31,31,31,75,75,75,75,75,75,75,75,75,35.4,,
BRA004,31,31,31,31,31,31,31,31,31,31,31,75,75,75,75,75,75,75,75,75,35.4,,
CAF001,107,107,107,4,4,107,107,107,107,107,4,73,73,73,73,73,73,73,73,73,72.7,,
CHL002,5,5,5,5,5,5,5,5,5,5,5,74,74,74,74,74,74,74,74,74,11.9,,
CMR001,135,86,86,4,4,86,86,86,86,86,4,69,69,69,69,69,69,69,69,69,59.7,,
CMR002,423,86,86,4,4,86,86,86,86,86,4,71,71,71,71,71,71,71,71,71,59.9,,
CMR003,423,86,86,4,4,86,86,86,86,86,4,72,71,71,71,72,72,71,71,71,60,,
CMR004,423,86,86,4,4,86,86,86,86,86,4,69,69,69,69,69,69,56,69,69,59.7,,
COD001,135,107,107,4,4,107,107,107,107,107,4,73,73,73,73,73,73,73,73,73,72.7,,
COG001,123,123,123,4,4,123,123,123,123,123,4,61,61,61,61,61,61,61,61,61,81.1,,
COL001,5,5,5,5,5,5,5,5,5,5,5,74,74,74,74,74,74,74,74,74,11.9,,
COL002,5,5,5,5,5,5,5,5,5,5,5,74,74,74,74,74,74,74,74,74,11.9,,
CRI002,5,5,5,5,5,5,5,5,5,5,5,74,74,74,74,74,74,74,74,74,11.9,,
CZE002,9,9,9,9,9,9,9,9,9,9,9,74,74,74,74,74,74,74,74,74,15.5,,
DJI001,7,7,7,7,7,7,7,7,7,7,642,78,78,78,78,78,78,78,78,78,77.6,,
DJI002,7,7,7,7,7,7,7,7,7,7,642,78,78,78,78,78,78,78,78,78,77.6,,
DJI003,7,7,7,7,7,7,7,7,7,7,642,78,78,78,78,78,78,78,78,78,77.6,,
DOM002,5,5,5,5,5,5,5,5,5,5,5,74,74,74,74,74,74,74,74,74,11.9,,
DZA002,428,5,5,5,5,5,5,5,5,5,762,82,82,82,82,82,82,82,82,82,88.4,,
DZA003,428,5,5,5,5,5,5,5,5,5,762,82,82,82,82,82,82,82,82,82,88.4,,
DZA004,428,5,5,5,5,5,5,5,5,5,839,82,82,82,82,82,82,82,82,82,96.1,,
ECU002,5,5,5,5,5,5,5,5,5,5,5,74,74,74,74,74,74,74,74,74,11.9,,
EGY004,402,5,5,5,5,5,5,5,5,5,402,82,82,82,82,82,82,82,82,82,52.4,,
ERI001,4,4,4,4,4,4,4,4,4,4,836,79,79,79,79,79,79,79,79,79,94.7,,
ESP002,762,5,5,5,5,5,5,5,5,5,762,75,75,75,75,75,75,75,75,75,87.7,,
EST002,9,9,9,9,9,9,9,9,9,9,9,74,74,74,74,74,74,74,74,74,15.5,,
ETH001,3,3,3,3,3,3,3,3,3,3,134,74,74,74,74,74,74,74,74,74,23.2,,
ETH003,3,3,3,3,620,3,3,3,3,3,134,74,74,74,74,74,74,74,74,74,84.9,,
ETH004,3,3,3,3,3,3,3,3,3,3,134,74,74,74,74,74,74,74,74,74,23.2,,
ETH005,3,3,3,3,620,3,3,3,3,3,134,74,74,74,74,74,74,74,74,74,84.9,,
GRC002,62,62,62,62,62,62,62,62,62,62,62,80,80,80,80,80,80,80,80,80,63.8,,
GTM001,5,5,5,5,5,5,5,5,5,5,5,74,74,74,74,74,74,74,74,74,11.9,,
HND001,5,5,5,5,5,5,5,5,5,5,5,74,74,74,74,74,74,74,74,74,11.9,,
HTI001,5,5,5,5,5,5,5,5,5,5,5,74,74,74,74,74,74,74,74,74,11.9,,
HUN002,9,9,9,9,9,9,9,9,9,9,9,74,74,74,74,74,74,74,74,74,15.5,,
IDN002,6,6,6,6,6,6,6,6,6,6,6,75,75,75,75,75,75,75,75,75,12.9,,
IRN004,69,69,69,69,69,69,69,69,69,69,69,65,65,65,65,65,65,65,65,65,68.6,,
IRQ001,4,4,4,4,4,4,4,4,4,4,4,79,79,79,79,79,79,79,79,79,11.5,,
IRQ002,4,4,4,4,4,4,4,4,4,4,4,73,73,73,73,73,73,73,73,73,10.9,,
IRQ003,4,4,4,4,275,4,4,4,4,4,4,79,79,79,79,79,79,79,79,79,38.6,,
ITA002,762,5,5,5,5,5,5,5,5,5,762,75,75,75,75,75,75,75,75,75,87.7,,
JOR002,4,4,4,4,4,4,4,4,4,4,4,79,79,79,79,79,79,79,79,79,11.5,,
KEN001,4,4,4,4,214,4,4,4,4,4,4,80,80,80,80,80,80,80,80,80,32.6,,
KEN002,4,4,4,4,4,4,4,4,4,4,4,80,80,80,80,80,80,80,80,80,11.6,,
KEN003,4,4,4,4,4,4,4,4,4,4,4,80,80,80,80,80,80,80,80,80,11.6,,
LBN002,10,10,10,10,10,10,10,10,10,10,10,75,75,75,75,75,75,75,75,75,16.5,,
LBN006,10,10,10,10,10,10,10,10,10,10,10,75,75,75,75,75,75,75,75,75,16.5,,
LBY001,6,6,6,6,6,6,6,6,6,6,6,18,18,18,18,18,18,18,18,18,7.2,,
LBY002,6,6,6,6,6,6,6,6,6,6,762,76,76,76,76,76,76,76,76,76,88.6,,
LBY003,6,6,6,6,6,6,6,6,6,6,341,76,76,76,76,76,76,76,76,76,46.5,,
LBY004,6,6,6,6,6,6,6,6,6,6,6,19,19,19,19,19,19,19,19,19,7.3,,
LKA004,6,6,6,6,6,6,6,6,6,6,6,75,75,75,75,75,75,75,75,75,12.9,,
LSO004,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,
