,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,0.8,2.3,0.2,0,1.9,12.1,0,Very High
AFG006,1.8,1.8,0.2,3.3,1.7,12.1,2,High
AGO002,0.8,0.8,1.7,0,1.3,123.7,0,Very High
ARM002,0.9,2.5,0.1,0,2,10.7,0,Very High
AZE002,2.5,3.8,2,1.7,2.5,150.2,1,Medium
BDI001,0.7,2,0.1,0,1.8,11.4,0,Very High
BEN002,0.5,0.3,1.3,0,1.1,92.7,0,Very High
BFA002,0.7,1,1.2,0,1.4,89.1,0,Very High
BGD001,0.4,1,0.1,0,1.4,8.6,0,Very High
BGD002,0.4,1,0.2,0,1.4,13.3,0,Very High
BGD012,0.4,1,0.1,0,1.4,8.4,0,Very High
BGD013,0.7,1.8,0.2,0,1.7,13.3,0,Very High
BGD014,0.7,2,0.1,0,1.8,8.6,0,Very High
BGR002,0.7,2,0.2,0,1.8,15.5,0,Very High
BLR002,0.8,2.3,0.2,0,1.9,15.5,0,Very High
BRA001,0.8,2,0.5,0,1.8,35.4,0,Very High
BRA002,1,2.5,0.5,0,2,35.4,0,Very High
BRA004,2.5,3.8,0.5,3.3,2.5,35.4,2,Medium
CAF001,0.9,1.8,1,0,1.7,72.7,0,Very High
CHL002,0.6,1.8,0.1,0,1.7,11.9,0,Very High
CMR001,0.9,1.8,0.8,0,1.7,59.7,0,Very High
CMR002,0.9,1.8,0.8,0,1.7,59.9,0,Very High
CMR003,0.9,1.8,0.8,0,1.7,60,0,Very High
CMR004,0.9,1.8,0.8,0,1.7,59.7,0,Very High
COD001,0.9,1.8,1,0,1.7,72.7,0,Very High
COG001,1,1.8,1.1,0,1.7,81.1,0,Very High
COL001,0.7,2,0.1,0,1.8,11.9,0,Very High
COL002,0.9,2.5,0.1,0,2,11.9,0,Very High
CRI002,1.2,3.5,0.1,0,2.4,11.9,0,High
CZE002,0.8,2.3,0.2,0,1.9,15.5,0,Very High
DJI001,1.1,2.3,1.1,0,1.9,77.6,0,High
DJI002,1,2,1.1,0,1.8,77.6,0,Very High
DJI003,1.1,2.3,1.1,0,1.9,77.6,0,High
DOM002,1.9,2.3,0.1,3.3,1.9,11.9,2,High
DZA002,1.6,3.5,1.2,0,2.4,88.4,0,High
DZA003,1.8,4.3,1.2,0,2.7,88.4,0,High
DZA004,1.7,3.8,1.3,0,2.5,96.1,0,High
ECU002,0.8,2.3,0.1,0,1.9,11.9,0,Very High
EGY004,1.1,2.5,0.7,0,2,52.4,0,High
ERI001,1.5,3.3,1.3,0,2.3,94.7,0,High
ESP002,1.2,2.5,1.2,0,2,87.7,0,High
EST002,0.8,2.3,0.2,0,1.9,15.5,0,Very High
ETH001,0.9,2.5,0.3,0,2,23.2,0,Very High
ETH003,2,3,1.2,1.7,2.2,84.9,1,High
ETH004,1.1,3,0.3,0,2.2,23.2,0,High
ETH005,1.2,2.5,1.2,0,2,84.9,0,High
GRC002,1.1,2.5,0.9,0,2,63.8,0,High
GTM001,1,2.8,0.1,0,2.1,11.9,0,Very High
HND001,1.3,3.8,0.1,0,2.5,11.9,0,High
HTI001,1,3,0.1,0,2.2,11.9,0,Very High
HUN002,0.8,2.3,0.2,0,1.9,15.5,0,Very High
IDN002,1.1,3,0.2,0,2.2,12.9,0,High
IRN004,2.7,4,0.9,3.3,2.6,68.6,2,Medium
IRQ001,0.8,2.3,0.1,0,1.9,11.5,0,Very High
IRQ002,0.9,2.5,0.1,0,2,10.9,0,Very High
IRQ003,0.8,2,0.5,0,1.8,38.6,0,Very High
ITA002,1.2,2.3,1.2,0,1.9,87.7,0,High
JOR002,1.3,3.8,0.1,0,2.5,11.5,0,High
KEN001,1.3,3.5,0.4,0,2.4,32.6,0,High
KEN002,1.3,2,0.1,1.7,1.8,11.6,1,High
KEN003,0.8,2.3,0.1,0,1.9,11.6,0,Very High
LBN002,0.8,2.3,0.2,0,1.9,16.5,0,Very High
LBN006,0.7,2,0.2,0,1.8,16.5,0,Very High
LBY001,0.7,2,0.1,0,1.8,7.2,0,Very High
LBY002,1.1,2,1.2,0,1.8,88.6,0,High
LBY003,0.8,1.8,0.6,0,1.7,46.5,0,Very High
LBY004,0.2,0.5,0.1,0,1.2,7.3,0,Very High
LKA004,0.7,1.8,0.2,0,1.7,12.9,0,Very High
LSO004,1.4,2.5,0.1,1.7,2,5,1,High
LTU002,0.8,2.3,0.2,0,1.9,15.5,0,Very High
LVA002,0.8,2.3,0.2,0,1.9,15.5,0,Very High
