,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,0.5,1,0.6,0,1.4,41.9,0,Very High
AFG006,1.4,1.8,0.6,1.7,1.7,42.6,1,High
AGO002,2.3,1.8,5,0,1.7,432,0,Medium
ARM002,0.9,2.5,0.3,0,2,26.1,0,Very High
AZE002,2.4,3.8,1.7,1.7,2.5,124.8,1,Medium
BDI001,0.8,2,0.4,0,1.8,30.1,0,Very High
BFA002,0.7,0.3,1.8,0,1.1,132.4,0,Very High
BGD002,0.6,1.8,0.1,0,1.7,11,0,Very High
BGD010,0.7,1.5,0.6,0,1.6,42.2,0,Very High
BGR002,0.8,2.3,0.1,0,1.9,9.3,0,Very High
BLR002,0.8,2.3,0.1,0,1.9,9.3,0,Very High
BRA001,0.8,1.8,0.5,0,1.7,36.5,0,Very High
BRA002,0.9,2.3,0.5,0,1.9,36.5,0,Very High
BRA003,1.4,3.8,0.5,0,2.5,36.5,0,High
BRA004,1.3,1.8,0.5,1.7,1.7,36.5,1,High
CAF001,0.9,2,0.8,0,1.8,56.7,0,Very High
CHL002,0.8,2.3,0.1,0,1.9,5.7,0,Very High
CMR001,0.8,1,1.3,0,1.4,98.2,0,Very High
CMR002,0.7,0.8,1.3,0,1.3,98.2,0,Very High
CMR003,0.8,1,1.3,0,1.4,98.2,0,Very High
CMR004,0.8,1,1.3,0,1.4,98.2,0,Very High
COD001,0.6,0.3,1.4,0,1.1,101.7,0,Very High
COG001,1.4,1.8,2.3,0,1.7,167.2,0,High
COL001,0.7,2,0.1,0,1.8,6.5,0,Very High
COL002,0.9,2.5,0.1,0,2,6.5,0,Very High
CRI002,1.2,3.5,0.1,0,2.4,6.5,0,High
CZE002,0.8,2.3,0.1,0,1.9,9.3,0,Very High
DJI001,1,2.3,0.7,0,1.9,49.5,0,Very High
DJI002,0.9,2,0.7,0,1.8,49.5,0,Very High
DJI003,1,2.3,0.7,0,1.9,49.5,0,Very High
DOM002,2.3,2.3,1.2,3.3,1.9,86.3,2,Medium
