Crisis,DRIVERS,CRISIS ID,COUNTRY,ISO3,Landmass affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related Injuries,Total # of illness cases reported,Total # of crisis related fatalities,Building partially damaged,Building totally damaged,Total Building in the affected area,Econimic losses,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of groups affected by crisis,people in need facing limited access constraints,people in need facing restricted access constraints,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)"
0,,,,,sq. Km,Number,Number,Number,Number,,Number,Number,Number,Number,million USD,Number,Number,Number,Number,Number,Number,Number,Number,,,,,,,,,
Complex crisis in Afghanistan,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",AFG001,Afghanistan,AFG,652860,44500000,44500000,22915000,2618,x,1015,21300,3330,#N/A,x,0,20800000,11400000,12300000,0,4,x,543000,1.0,2.0,3.0,3.0,2.0,2.0,0.0,3.0,3.0
Earthquake in Herat Province,Earthquake,AFG006,Afghanistan,AFG,54778,3500000,1600000,0,2100,x,0,21300,3330,#N/A,x,1900000,1325000,232000,43000,0,2,x,x,1.0,0.0,1.0,3.0,0.0,2.0,0.0,3.0,3.0
Drought in South-West Angola,Drought,AGO002,Angola,AGO,639313,7361000,2800000,0,#N/A,#N/A,0,#N/A,#N/A,#N/A,#N/A,4561000,0,2800000,0,0,1,#N/A,#N/A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.0
Nagorno-Karabakh Conflict in Armenia,"Conflict,Displacement",ARM002,Armenia,ARM,16556,2165000,302000,150000,2,x,4,x,x,#N/A,x,1863000,152000,150000,0,0,2,x,x,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Nagorno-Karabakh conflict in Azerbaijan,"Conflict,Displacement",AZE002,Azerbaijan,AZE,16458,895000,206000,142000,248,x,1,x,x,#N/A,x,689000,201000,5000,0,0,3,x,x,1.0,0.0,2.0,0.0,2.0,1.0,0.0,2.0,0.0
Complex in Burundi,"Violence,Displacement,Floods",BDI001,Burundi,BDI,25680,12289000,6005000,601000,x,285,97,x,x,#N/A,444,6284000,4820000,1063000,122000,0,5,x,x,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0
Conflict in northern region,"Conflict,Displacement,Violence",BEN002,Benin,BEN,47633,2115000,308000,25000,x,x,120,x,x,#N/A,x,1807000,249000,59000,0,0,3,x,x,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0
Conflict in Burkina Faso,"Conflict,Displacement,Violence",BFA002,Burkina Faso,BFA,274220,23300000,6300000,2343000,1,x,4571,x,x,#N/A,x,17000000,0,3528000,2646000,126000,4,x,x,1.0,3.0,3.0,3.0,2.0,2.0,3.0,1.0,3.0
Mutliple crises in Bangladesh,"Conflict,Violence,Displacement,Floods",BGD001,Bangladesh,BGD,147570,170814000,100787000,1528000,x,x,48,197335,40338,#N/A,592000000,70027000,60403000,29245000,11139000,0,5,x,x,2.0,2.0,1.0,0.0,1.0,2.0,0.0,1.0,3.0
Rohingya refugee crisis,"Conflict,Violence,Displacement",BGD002,Bangladesh,BGD,710.46,1529000,1529000,985000,x,x,22,x,x,#N/A,x,0,0,1307000,222000,x,3,x,x,2.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0,1.0
Chronic Food Security Crisis in Bangladesh,"Food Security,Socio-political,Cyclone,Floods,Other seasonal event",BGD012,Bangladesh,BGD,147570,169285000,99258000,0,0,x,0,x,x,#N/A,x,70027000,60895000,27446000,10917000,0,1,x,x,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
Cyclone Remal,"Cyclone,Floods",BGD013,Bangladesh,BGD,43363.76,43814000,4600000,278000,x,x,16,133528,40338,#N/A,592000000,39214000,3297000,1303000,x,x,4,x,x,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
2024 Monsoon Floods in Bangladesh,Floods,BGD014,Bangladesh,BGD,31141,33488000,4450000,265000,x,x,10,63807,x,#N/A,x,29038000,3050000,1400000,x,x,4,x,x,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
