INFORM Severity Index - all countries. Release: June 2024,,,,,,,,,,,,,,,,,,,,
CRISIS,CRISIS ID,COUNTRY,ISO3,DRIVERS,INFORM Severity Index,INFORM Severity category,INFORM Severity category,Trend (last 3 months),Reliability,Impact of the crisis,Geographical,Human,Conditions of people affected,People in need,Concentration of conditions,Complexity of the crisis,Society and safety,Operating environment,Regions,Last updated
Weights,,,,,,,,,,,,,,,,,,,,
(a-z),,,(a-z),,(1-5),(1-5),(Very Low-Very High),(Decreasing-Stable-Increasing),(Very Low-Very High),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),(1-5),,
Complex crisis in Afghanistan,AFG001,Afghanistan,AFG,"Conflict,Violence,Displacement,Drought,Earthquake,Socio-political",4.4,5,Very High,Stable,Very High,4.7,4.9,4.6,4.5,5,4,4,3.9,4,Asia,2024-06-23 00:00:00
Drought in South-West Angola,AGO002,Angola,AGO,Drought,3.2,4,High,Stable,Medium,2.8,3.7,2.2,3.85,3.7,4,2.4,3.1,1.5,Africa,2024-06-30 00:00:00
Nagorno-Karabakh Conflict in Armenia,ARM002,Armenia,ARM,"Conflict,Displacement",2.2,3,Medium,Stable,Very High,2.2,2.4,2.1,2.5,2,3,1.7,1.9,1.5,Middle east,2024-06-23 00:00:00
Nagorno-Karabakh conflict in Azerbaijan,AZE002,Azerbaijan,AZE,"Conflict,Displacement",1.6,2,Low,Decreasing,Medium,1.7,0.9,2,1,0,2,2.4,2.3,2.5,Middle east,2024-06-23 00:00:00
Complex in Burundi,BDI001,Burundi,BDI,"Violence,Displacement,Floods",3.3,4,High,Stable,Very High,3.4,4,3.1,3.25,3.5,3,3.3,3,3.5,Africa,2024-06-27 00:00:00
Conflict in northern region,BEN002,Benin,BEN,"Conflict,Displacement,Violence",1.9,2,Low,-,Very High,2.2,1.7,2.4,1.65,1.3,2,2.2,2.3,2,Africa,2024-06-23 00:00:00
Conflict in Burkina Faso,BFA002,Burkina Faso,BFA,"Conflict,Displacement,Violence",4.1,5,Very High,Increasing,Very High,4.3,4.7,4.1,4.35,4.7,4,3.6,3.2,4,Africa,2024-06-30 00:00:00
Mutliple crises in Bangladesh,BGD001,Bangladesh,BGD,"Conflict,Violence,Displacement,Floods",4,4,High,-,Very High,3.8,4.7,3.2,4.5,5,4,3.4,2.6,4,Asia,2024-06-20 00:00:00
Displacement from Russia-Ukraine conflict in Bulgaria,BGR002,Bulgaria,BGR,"Conflict,Displacement",1.5,2,Low,Decreasing,Very High,2.5,4,1.5,1.2,1.4,1,1.2,1.4,1,Europe,2024-06-18 00:00:00
Displacement from Russia-Ukraine conflict in Belarus,BLR002,Belarus,BLR,"Displacement,Conflict",1.8,2,Low,Increasing,Very High,2.6,4.3,1.3,1.05,1.1,1,2.1,2.2,2,Europe,2024-06-27 00:00:00
Country level Brazil,BRA001,Brazil,BRA,"Displacement,Floods",2.5,3,Medium,Increasing,Very High,3.2,4.5,2.2,2.2,3.4,1,2.5,1.9,3,Americas,2024-06-17 00:00:00
Complex crisis in CAR,CAF001,CAR,CAF,"Conflict,Displacement",4.1,5,Very High,Stable,Very High,4.3,4.4,4.2,4.05,4.1,4,4,4,4,Africa,2024-06-30 00:00:00
Venezuela displacement in Chile,CHL002,Chile,CHL,Displacement,2.6,3,Medium,Stable,Very High,3.8,4.8,3,2.3,2.6,2,2,1.5,2.5,Americas,2024-06-18 00:00:00
Multiple crises in Cameroon,CMR001,Cameroon,CMR,"Conflict,Displacement",3.8,4,High,Decreasing,Very High,4.1,4.5,3.8,3.6,4.2,3,3.7,3.8,3.5,Africa,2024-06-30 00:00:00
Complex crisis in DRC,COD001,DRC,COD,"Conflict,Displacement,Socio-political",4.3,5,Very High,Decreasing,Very High,4.3,5,3.9,4.5,5,4,4.1,4.2,4,Africa,2024-06-30 00:00:00
Complex crisis in Congo,COG001,Congo,COG,Conflict,2.7,3,Medium,Increasing,Very High,2.9,4.2,2,2.95,2.9,3,2.3,2.6,2,Africa,2024-06-30 00:00:00
Complex crisis in Colombia,COL001,Colombia,COL,"Socio-political,Conflict,Violence,Floods,Displacement",3.8,4,High,Decreasing,Very High,4.4,5,4,4,5,3,3,2.9,3,Americas,2024-06-18 00:00:00
Nicaraguan refugees in Costa Rica,CRI002,Costa Rica,CRI,Displacement,2.2,3,Medium,Stable,High,2.3,0.9,2.9,2.65,2.3,3,1.5,1.4,1.5,Americas,2024-06-18 00:00:00
Displacement from Russia-Ukraine conflict in Czechia,CZE002,Czech Republic,CZE,"Conflict,Displacement",1.8,2,Low,Stable,Very High,2.9,4.2,2,1.8,2.6,1,0.8,0.6,1,Europe,2024-06-27 00:00:00
Multiple crises in Djibouti,DJI001,Djibouti,DJI,"Displacement,Drought",3,3,Medium,Increasing,High,2.7,3.2,2.5,3.25,2.5,4,2.8,2.5,3,Africa,2024-06-14 00:00:00
Venezuela displacement in Dominican Republic,DOM002,Dominican Republic,DOM,Displacement,1.8,2,Low,Stable,High,3.2,4.1,2.7,1.4,1.8,1,1.2,1.4,1,Americas,2024-06-18 00:00:00
Multiple crises in Algeria,DZA004,Algeria,DZA,Displacement,2.8,3,Medium,Stable,High,4.1,5,3.4,1.85,2.7,1,2.7,2.9,2.5,Africa,2024-06-29 00:00:00
Venezuela displacement in Ecuador,ECU002,Ecuador,ECU,Displacement,2.7,3,Medium,Increasing,Very High,3.3,4.6,2.4,2.55,3.1,2,2.3,2.1,2.5,Americas,2024-06-20 00:00:00
Refugees in Egypt,EGY004,Egypt,EGY,"Displacement,Conflict",2.1,3,Medium,Decreasing,High,2.2,3.9,0.9,2,3,1,2.3,2.5,2,Africa,2024-06-29 00:00:00
Complex crisis in Eritrea,ERI001,Eritrea,ERI,"Socio-political,Displacement",3.2,4,High,Decreasing,High,3,3.9,2.5,3.2,3.4,3,3.4,3.3,3.5,Africa,2024-06-27 00:00:00
Mixed migration flows in Spain,ESP002,Spain,ESP,Displacement,1.9,2,Low,Increasing,High,3.1,4,2.6,1.25,1.5,1,1.6,1.6,1.5,Europe,2024-06-29 00:00:00
Displacement from Russia-Ukraine conflict in Estonia,EST002,Estonia,EST,"Conflict,Displacement",1.2,2,Low,Stable,Very High,2.1,3.4,1.3,0.95,0.9,1,0.8,0.6,1,Europe,2024-06-27 00:00:00
Complex crisis in Ethiopia,ETH001,Ethiopia,ETH,"Displacement,Floods,Conflict",4.3,5,Very High,Increasing,Very High,4.6,5,4.3,4.5,5,4,3.9,3.8,4,Africa,2024-06-18 00:00:00
Mixed migration flows in Greece,GRC002,Greece,GRC,Displacement,2.1,3,Medium,Stable,Very High,1.8,0.6,2.3,2.55,2.1,3,1.6,1.6,1.5,Europe,2024-06-30 00:00:00
Complex crisis in Guatemala,GTM001,Guatemala,GTM,"Violence,Socio-political,Other seasonal event",3.5,4,High,Decreasing,High,3.4,4.4,2.8,3.75,4.5,3,3.3,3,3.5,Americas,2024-06-18 00:00:00
Complex crisis in Honduras,HND001,Honduras,HND,"Violence,Socio-political,Other seasonal event",3.5,4,High,Stable,High,3.8,4.2,3.5,4.05,4.1,4,2.5,2.9,2,Americas,2024-06-18 00:00:00
Complex crisis in Haiti,HTI001,Haiti,HTI,"Earthquake,Violence,Socio-political,Other seasonal event",4,4,High,Decreasing,High,3.9,4,3.9,4.3,4.6,4,3.7,3.4,4,Americas,2024-06-18 00:00:00
Displacement from Russia-Ukraine conflict in Hungary,HUN002,Hungary,HUN,"Conflict,Displacement",1.5,2,Low,Stable,Very High,2.6,4.2,1.4,1.15,1.3,1,1.1,1.2,1,Europe,2024-06-27 00:00:00
Papua Conflict,IDN002,Indonesia,IDN,"Socio-political,Violence,Conflict",2.5,3,Medium,Stable,Very High,2.9,2.1,3.3,1.85,1.7,2,3.1,2.6,3.5,Asia,2024-06-27 00:00:00
Afghan Refugees in Iran,IRN004,Iran,IRN,Displacement,3.8,4,High,Stable,Medium,3.6,2.7,4,4.2,4.4,4,3.2,3.7,2.5,Middle east,2024-06-27 00:00:00
Multiple crises in Iraq,IRQ001,Iraq,IRQ,"Violence,Displacement,Socio-political,Conflict",3,3,Medium,Decreasing,Very High,4,4.7,3.6,1.9,1.8,2,3.5,3.5,3.5,Middle east,2024-06-30 00:00:00
Mixed migration flows in Italy,ITA002,Italy,ITA,Displacement,2.2,3,Medium,Increasing,High,3.5,3.9,3.2,1.55,2.1,1,2,1.5,2.5,Europe,2024-06-29 00:00:00
Syrian refugees in Jordan,JOR002,Jordan,JOR,Displacement,2.8,3,Medium,Decreasing,High,2.8,3.1,2.6,3.3,3.6,3,2,2.5,1.5,Middle east,2024-06-30 00:00:00
Multiple crisis in Kenya ,KEN001,Kenya,KEN,"Drought,Displacement",3.5,4,High,Stable,High,4.2,4.3,4.1,3.4,3.8,3,3.2,3.4,3,Africa,2024-06-27 00:00:00
Complex crisis in Lebanon,LBN006,Lebanon,LBN,"Socio-political,Violence,Tecnological Disaster,Displacement",3.5,4,High,-,Very High,3.7,3.6,3.7,3.65,4.3,3,3,2.9,3,Middle east,2024-06-30 00:00:00
Complex crisis in Libya,LBY001,Libya,LBY,"Conflict,Displacement,Socio-political",4,4,High,Increasing,Very High,4.5,4.5,4.5,3.7,3.4,4,4,3.3,4.5,Africa,2024-06-29 00:00:00
Socio-economic crisis in Sri Lanka,LKA002,Sri Lanka,LKA,"Socio-political,Food Security",2.9,3,Medium,Decreasing,High,2.8,4.4,1.6,3.75,4.5,3,1.5,2,1,Asia,2024-05-27 00:00:00
Displacement from Russia-Ukraine conflict in Lithuania,LTU002,Lithuania,LTU,"Conflict,Displacement",1.3,2,Low,Stable,Very High,2.3,3.7,1.3,1.05,1.1,1,0.9,0.7,1,Europe,2024-06-27 00:00:00
Displacement from Russia-Ukraine conflict in Latvia,LVA002,Latvia,LVA,"Conflict,Displacement",1.3,2,Low,Stable,Very High,2.2,3.5,1.4,1.05,1.1,1,1,1,1,Europe,2024-06-27 00:00:00
Multiple crises in Morocco,MAR001,Morocco,MAR,"Displacement,Earthquake",2.8,3,Medium,Decreasing,High,3.8,4.9,2.9,2.45,2.9,2,2.5,3,2,Africa,2024-06-30 00:00:00
DIsplacement from Russia-Ukraine conflict in Moldova,MDA002,Moldova,MDA,"Displacement,Conflict",1.6,2,Low,Stable,Very High,2.3,3.5,1.6,1.4,1.8,1,1.4,1.8,1,Europe,2024-06-27 00:00:00
