,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,0.9,2.3,0.4,0,1.9,26.9,0,Very High
AFG006,1.5,1.8,1.1,1.7,1.7,77.7,1,High
AGO002,2.3,1.8,5,0,1.7,532,0,Medium
ARM002,1,2.5,0.4,0,2,27.3,0,Very High
AZE002,2.5,3.8,2.1,1.7,2.5,157.5,1,Medium
BDI001,0.7,2,0,0,1.8,4.3,0,Very High
BEN002,0.4,0.3,1,0,1.1,71.8,0,Very High
BFA002,0.5,1,0.6,0,1.4,44.5,0,Very High
BGD001,0.4,1,0.1,0,1.4,10.7,0,Very High
BGD002,0.4,1,0.1,0,1.4,10.7,0,Very High
BGD012,0.4,1,0.1,0,1.4,10.7,0,Very High
BGD013,0.6,1.8,0.1,0,1.7,10.7,0,Very High
BGR002,0.9,2,0.7,0,1.8,49.6,0,Very High
BLR002,0.8,2.3,0,0,1.9,3.9,0,Very High
BRA001,0.8,2,0.4,0,1.8,30.1,0,Very High
BRA002,1,2.5,0.4,0,2,30.1,0,Very High
BRA004,2,3.8,0.4,1.7,2.5,30.1,1,High
CAF001,0.7,1.8,0.4,0,1.7,28.1,0,Very High
CHL002,0.9,1.8,0.8,0,1.7,56.1,0,Very High
CMR001,0.7,1.8,0.2,0,1.7,15.1,0,Very High
CMR002,0.7,1.8,0.2,0,1.7,15.3,0,Very High
CMR003,0.7,1.8,0.2,0,1.7,15.4,0,Very High
CMR004,0.7,1.8,0.2,0,1.7,15.1,0,Very High
COD001,0.7,1.8,0.4,0,1.7,28.1,0,Very High
COG001,0.9,1.8,0.8,0,1.7,58.1,0,Very High
COL001,1,2,0.9,0,1.8,66,0,Very High
COL002,1.1,2.3,0.9,0,1.9,66,0,High
CRI002,1.8,3.5,1.9,0,2.4,137.1,0,High
CZE002,0.8,2.3,0,0,1.9,3.9,0,Very High
DJI001,1.1,2.3,1.1,0,1.9,83.6,0,High
DJI002,1,2,1.1,0,1.8,83.6,0,Very High
DJI003,1.1,2.3,1.1,0,1.9,83.6,0,High
DOM002,2,2.3,0.4,3.3,1.9,30,2,High
DZA002,1.5,3.5,1,0,2.4,72.8,0,High
DZA003,1.8,4.3,1,0,2.7,72.8,0,High
DZA004,1.5,3.5,1.1,0,2.4,80.5,0,High
ECU002,0.8,2.3,0.1,0,1.9,10.2,0,Very High
EGY004,1.6,2.5,0.5,1.7,2,36.8,1,High
ERI001,1.5,3.3,1.1,0,2.3,81.5,0,High
ESP002,1.7,2.5,1,1.7,2,75,1,High
EST002,0.8,2.3,0,0,1.9,3.9,0,Very High
ETH001,1,2.5,0.4,0,2,32.4,0,Very High
ETH003,2,3,1.2,1.7,2.2,85.2,1,High
ETH004,1.2,3.3,0.4,0,2.3,32.4,0,High
ETH005,1.2,2.5,1.2,0,2,85.2,0,High
GRC002,0.8,2.5,0,0,2,1.8,0,Very High
GTM001,1.2,2.8,0.9,0,2.1,66,0,High
HND001,1.6,3.8,0.9,0,2.5,66,0,High
HTI001,1.3,3,0.9,0,2.2,66,0,High
HUN002,0.8,2.3,0,0,1.9,3.9,0,Very High
IDN002,1,3,0,0,2.2,4,0,Very High
IRN004,2.5,4,0.1,3.3,2.6,6.6,2,Medium
IRQ001,0.8,2.3,0,0,1.9,1.7,0,Very High
IRQ002,0.8,2.5,0,0,2,1.1,0,Very High
IRQ003,0.8,2,0.3,0,1.8,23,0,Very High
ITA002,1.7,2.3,1,1.7,1.9,75,1,High
JOR002,1.3,3.8,0,0,2.5,1.7,0,High
KEN001,1.3,3.5,0.3,0,2.4,19.4,0,High
KEN002,1.2,2,0,1.7,1.8,4.5,1,High
KEN003,0.8,2.3,0,0,1.9,4.5,0,Very High
LBN002,0.8,2.3,0,0,1.9,1.3,0,Very High
LBN006,0.7,2,0,0,1.8,1.3,0,Very High
LBY001,0.9,2.3,0.4,0,1.9,30,0,Very High
LBY002,1,2,1,0,1.8,75.5,0,Very High
LBY003,0.7,1.8,0.4,0,1.7,30.1,0,Very High
LKA002,1.4,1.8,0.7,1.7,1.7,52.2,1,High
LTU002,0.8,2.3,0,0,1.9,3.9,0,Very High
LVA002,0.8,2.3,0,0,1.9,3.9,0,Very High
MAR001,1.4,3.8,0.4,0,2.5,29.8,0,High
MAR002,1.7,4,1,0,2.6,72,0,High
MAR003,1.1,3,0.4,0,2.2,29.8,0,High
MDA002,0.7,2,0,0,1.8,3.9,0,Very High
MDG001,0.7,1.8,0.4,0,1.7,28.8,0,Very High
MDG002,0.9,2.3,0.4,0,1.9,28.8,0,Very High
MDG009,0.9,2.3,0.4,0,1.9,28.8,0,Very High
MEX001,1.5,4,0.4,0,2.6,30,0,High
MEX002,1.4,3.8,0.4,0,2.5,30,0,High
MEX003,1.4,3.8,0.4,0,2.5,30,0,High
MLI001,0.2,0.3,0.3,0,1.1,21.1,0,Very High
MMR001,0.6,1.8,0,0,1.7,4.4,0,Very High
MMR002,0.6,1.8,0,0,1.7,4.4,0,Very High
MMR003,0.6,1.8,0,0,1.7,4.4,0,Very High
MMR004,0.6,1.8,0,0,1.7,4.4,0,Very High
MNG004,0.8,2,0.4,0,1.8,31.9,0,Very High
MOZ001,1,2.5,0.4,0,2,32.5,0,Very High
MOZ004,1.1,3,0.4,0,2.2,32.5,0,High
MOZ011,0.9,2.3,0.4,0,1.9,32.5,0,Very High
MRT002,0.6,1.3,0.6,0,1.5,45.4,0,Very High
MRT003,1.1,0.8,0.8,1.7,1.3,56.2,1,High
MWI002,0.9,1.8,0.9,0,1.7,68.6,0,Very High
MYS001,0.9,2.5,0.3,0,2,19.5,0,Very High
NAM002,2.4,1.5,4,1.7,1.6,291.7,1,Medium
NER001,0.6,1.5,0.3,0,1.6,22.9,0,Very High
NER002,0.6,1.5,0.3,0,1.6,22.9,0,Very High
NER003,0.6,1.5,0.3,0,1.6,22.9,0,Very High
NER004,0.6,1.5,0.3,0,1.6,22.9,0,Very High
NGA001,1.4,4,0.1,0,2.6,11.4,0,High
NGA003,0.8,2.3,0,0,1.9,4.5,0,Very High
NGA004,1,3,0,0,2.2,4.5,0,Very High
NGA007,1.2,3.5,0,0,2.4,4.5,0,High
NGA008,1.3,2.3,0,1.7,1.9,4.5,1,High
NIC001,1.4,2.5,0.1,1.7,2,9.3,1,High
NPL003,0.7,2,0,0,1.8,4,0,Very High
PAK001,1.5,1.8,2.8,0,1.7,206.7,0,High
PAK004,2.6,1.3,3.3,3.3,1.5,239.8,2,Medium
PAK005,1.4,2.5,1.6,0,2,120.1,0,High
PAN002,1,2.5,0.4,0,2,30,0,Very High
PER002,1,2.3,0.8,0,1.9,56.1,0,Very High
PHL003,1.2,3.3,0.2,0,2.3,16.4,0,High
PNG003,0.8,2,0.4,0,1.8,28.8,0,Very High
POL002,0.7,2,0,0,1.8,3.9,0,Very High
PRK001,2.8,3.5,5,0,2.4,441.5,0,Medium
PSE002,0.7,2,0,0,1.8,1.8,0,Very High
PSE003,0.3,1,0,0,1.4,1.8,0,Very High
PSE004,0.5,1.5,0,0,1.6,1.8,0,Very High
REG001,1.1,0.3,3,0,1.1,216.7,0,High
REG002,2.6,2.8,5,0,2.1,621.9,0,Medium
REG004,1.7,2.5,2.6,0,2,187.8,0,High
REG006,0.9,2.8,0,0,2.1,1.1,0,Very High
REG007,1.7,2.3,1,1.7,1.9,73.7,1,High
REG008,1.7,2.3,1,1.7,1.9,70.9,1,High
REG011,0.6,1.8,0,0,1.7,4,0,Very High
REG012,0.6,1.5,0.4,0,1.6,28.1,0,Very High
REG013,0.8,2.5,0,0,2,2.5,0,Very High
REG014,1.2,2.5,1.2,0,2,88.7,0,High
REG015,2.4,4,3.1,0,2.6,223.8,0,Medium
ROU002,0.8,2.3,0,0,1.9,3.9,0,Very High
RUS002,1.3,3.8,0,0,2.5,3.9,0,High
RWA002,2,2.8,0,3.3,2.1,3.7,2,High
SDN001,1,3,0,0,2.2,1.7,0,Very High
SDN005,0.5,1.5,0,0,1.6,1.7,0,Very High
SEN002,1.1,0.3,2.9,0,1.1,209.1,0,High
SLV001,1.1,2.5,0.9,0,2,66,0,High
SOM001,0.7,2,0.1,0,1.8,11.5,0,Very High
SOM002,0.8,2.5,0,0,2,4.5,0,Very High
SSD001,0.8,2.5,0,0,2,4.5,0,Very High
SVK002,0.8,2.3,0,0,1.9,3.9,0,Very High
