,,,,,,,,
Crisis ID,Reliability Index,Data Reliability,Recentness data,Information gaps,Data Reliability,Recentness data (# days),Information gaps (# indicator missing),Reliability
AFG001,0.4,1,0.3,0,1.4,24.3,0,Very High
AFG006,1.5,1.8,1,1.7,1.7,72.9,1,High
AGO002,2.3,1.8,5,0,1.7,480.6,0,Medium
ARM002,1,2.5,0.5,0,2,38.1,0,Very High
AZE002,2.5,3.8,1.9,1.7,2.5,136.8,1,Medium
BDI001,1,2,1.1,0,1.8,77.7,0,Very High
BFA002,0.9,0.3,2.4,0,1.1,175.3,0,Very High
BGD002,0.7,1.8,0.2,0,1.7,16.1,0,Very High
BGD010,0.7,1.8,0.2,0,1.7,16.1,0,Very High
BGR002,1.8,2,0.2,3.3,1.8,17.1,2,High
BLR002,0.8,2.3,0.2,0,1.9,17.1,0,Very High
BRA001,0.7,2,0.2,0,1.8,12.8,0,Very High
BRA002,0.7,1.8,0.2,0,1.7,12.8,0,Very High
BRA004,1.2,1.8,0.2,1.7,1.7,12.8,1,High
CAF001,1.1,2,1.4,0,1.8,99.6,0,High
CHL002,0.8,1.8,0.5,0,1.7,39.6,0,Very High
CMR001,1,1,1.9,0,1.4,141.1,0,Very High
CMR002,0.9,0.8,1.9,0,1.3,141.1,0,Very High
CMR003,1,1,1.9,0,1.4,141.1,0,Very High
CMR004,1,1,1.9,0,1.4,141.1,0,Very High
COD001,0.8,0.3,2,0,1.1,144.6,0,Very High
COG001,1.6,1.8,2.9,0,1.7,210.1,0,High
COL001,1,2,0.9,0,1.8,66.5,0,Very High
COL002,1.1,2.5,0.9,0,2,66.5,0,High
CRI002,1.5,3.5,0.9,0,2.4,66.5,0,High
CZE002,0.8,2.3,0.2,0,1.9,17.1,0,Very High
DJI001,1,2.3,0.8,0,1.9,62.3,0,Very High
DJI002,0.9,2,0.8,0,1.8,62.3,0,Very High
DJI003,1,2.3,0.8,0,1.9,62.3,0,Very High
DOM002,1.9,2.3,0.2,3.3,1.9,13.4,2,High
DZA002,1.4,2.5,1.6,0,2,119.9,0,High
DZA003,2.9,4.3,2.6,1.7,2.7,193.3,1,Medium
DZA004,1.8,3.5,2,0,2.4,148.8,0,High
ECU002,1.4,2,2.1,0,1.8,152.9,0,High
EGY004,1.1,2.5,0.7,0,2,52.4,0,High
ERI001,1.7,3.5,1.5,0,2.4,108.5,0,High
ESP002,1.2,2.5,1.2,0,2,89.2,0,High
EST002,0.8,2.3,0.2,0,1.9,17.1,0,Very High
ETH001,1.1,2.3,1.1,0,1.9,78.2,0,High
