,,,,,,,,,,,,,,,,,,,,,,,
Crisis ID,Area affected by disaster,People living in the affected area,Total # of people affected by the crisis,Total # of crisis related displaced people,Total # of crisis related fatalities,# of people affected facing minimal humanitarian needs (level 1),# of people affected facing stressed humanitarian needs (level 2),# of people affected facing moderate humanitarian conditions and needs (level 3),# of people affected facing severe humanitarian conditions and needs (level 4),# of people affected facing extreme humanitarian conditions and needs (level 5),# of different types of affected population groups,Impediments to entry into country (bureaucratic and administrative),Restriction of movement (impediments to freedom of movement and/or administrative restrictions),Interference into implementation of humanitarian activities,"Violence against personnel, facilities and assets",Denial of existence of humanitarian needs or entitlements to assistance,Restriction and obstruction of access to services and assistance,Ongoing insecurity/hostilities affecting humanitarian assistance,Presence of mines and improvised explosive devices ,"Physical constraints in the environment (obstacles related to terrain, climate, lack of infrastructure, etc.)",Updated_score,,
AFG001,31,158,7,31,7,7,7,7,7,7,31,132,132,132,132,132,132,132,132,132,24.3,,
AFG006,159,159,159,7,122,31,31,31,31,31,154,132,132,132,132,132,132,132,132,132,72.9,,
AGO002,578,640,640,3,836,640,640,640,640,640,3,124,124,124,124,124,124,124,124,124,480.6,,
ARM002,91,0,0,0,0,0,0,0,0,0,256,125,125,125,125,125,125,125,125,125,38.1,,
AZE002,255,0,0,0,0,0,0,0,0,0,1243,125,125,125,125,125,125,125,125,125,136.8,,
BDI001,256,65,65,3,3,65,65,65,65,65,256,125,125,125,125,125,125,125,125,125,77.7,,
BFA002,397,270,270,3,3,270,270,270,270,270,3,124,124,124,124,124,124,124,124,124,175.3,,
BGD002,65,4,4,4,4,4,4,4,4,4,4,125,125,125,125,125,125,125,125,125,16.1,,
BGD010,137,4,4,4,4,4,4,4,4,4,4,125,125,125,125,125,125,125,125,125,16.1,,
BGR002,3,3,3,3,3,3,3,3,3,3,3,144,144,144,144,144,144,144,144,144,17.1,,
BLR002,3,3,3,3,3,3,3,3,3,3,3,144,144,144,144,144,144,144,144,144,17.1,,
BRA001,0,0,0,0,0,0,0,0,0,0,0,128,128,128,128,128,128,128,128,128,12.8,,
BRA002,0,0,0,0,0,0,0,0,0,0,0,128,128,128,128,128,128,128,128,128,12.8,,
BRA004,0,0,0,0,0,0,0,0,0,0,0,128,128,128,128,128,128,128,128,128,12.8,,
CAF001,144,144,144,3,3,144,144,144,144,144,3,123,123,123,123,123,123,123,123,123,99.6,,
